DATE,QFRN628BIS
1970-01-01,6.1123
1970-04-01,6.2249
1970-07-01,6.3708
1970-10-01,6.3541
1971-01-01,6.3541
1971-04-01,6.5376
1971-07-01,6.8002
1971-10-01,6.8628
1972-01-01,6.9003
1972-04-01,7.1171
1972-07-01,7.4256
1972-10-01,7.5174
1973-01-01,7.5716
1973-04-01,7.8384
1973-07-01,8.222
1973-10-01,8.4013
1974-01-01,8.6222
1974-04-01,9.0017
1974-07-01,9.4853
1974-10-01,9.6688
1975-01-01,9.7105
1975-04-01,10.0648
1975-07-01,10.5652
1975-10-01,10.8237
1976-01-01,11.0738
1976-04-01,11.6534
1976-07-01,12.333
1976-10-01,12.6415
1977-01-01,12.8792
1977-04-01,13.4545
1977-07-01,14.1717
1977-10-01,14.4635
1978-01-01,14.6053
1978-04-01,15.0764
1978-07-01,15.706
1978-10-01,15.9812
1979-01-01,16.2022
1979-04-01,16.8734
1979-07-01,17.8616
1979-10-01,18.4953
1980-01-01,19.2416
1980-04-01,20.3799
1980-07-01,21.6348
1980-10-01,21.9517
1981-01-01,22.1644
1981-04-01,22.8273
1981-07-01,23.657
1981-10-01,23.6945
1982-01-01,23.5986
1982-04-01,24.1281
1982-07-01,24.912
1982-10-01,24.8869
1983-01-01,24.7744
1983-04-01,25.3497
1983-07-01,26.2045
1983-10-01,26.1794
1984-01-01,25.9752
1984-04-01,26.4046
1984-07-01,27.0884
1984-10-01,27.0342
1985-01-01,26.7923
1985-04-01,27.2551
1985-07-01,27.9931
1985-10-01,27.9723
1986-01-01,27.9014
1986-04-01,28.4684
1986-07-01,29.3065
1986-10-01,29.4524
1987-01-01,29.4941
1987-04-01,30.3363
1987-07-01,31.5829
1987-10-01,31.904
1988-01-01,32.2417
1988-04-01,33.4675
1988-07-01,35.1686
1988-10-01,35.7648
1989-01-01,36.3319
1989-04-01,37.6661
1989-07-01,39.3296
1989-10-01,39.7883
1990-01-01,39.9675
1990-04-01,41.1433
1990-07-01,42.661
1990-10-01,42.8194
1991-01-01,42.8236
1991-04-01,43.7158
1991-07-01,44.6831
1991-10-01,44.0243
1992-01-01,42.7985
1992-04-01,42.6818
1992-07-01,43.1363
1992-10-01,42.4567
1993-01-01,41.7729
1993-04-01,41.9813
1993-07-01,42.6943
1993-10-01,42.169
1994-01-01,41.5352
1994-04-01,41.9438
1994-07-01,42.6901
1994-10-01,42.144
1995-01-01,41.2058
1995-04-01,41.5227
1995-07-01,42.2857
1995-10-01,41.7604
1996-01-01,41.5537
1996-04-01,41.5537
1996-07-01,42.5672
1996-10-01,42.5672
1997-01-01,40.5402
1997-04-01,42.5672
1997-07-01,42.5672
1997-10-01,42.5672
1998-01-01,41.5537
1998-04-01,42.5672
1998-07-01,43.5807
1998-10-01,43.5807
1999-01-01,43.5807
1999-04-01,44.5942
1999-07-01,46.6212
1999-10-01,46.6212
2000-01-01,47.8076
2000-04-01,49.2107
2000-07-01,50.9146
2000-10-01,50.7141
2001-01-01,51.3155
2001-04-01,52.9191
2001-07-01,54.4225
2001-10-01,54.6229
2002-01-01,55.124
2002-04-01,57.0283
2002-07-01,59.3335
2002-10-01,59.9349
2003-01-01,61.1376
2003-04-01,63.4427
2003-07-01,66.1488
2003-10-01,67.2513
2004-01-01,69.4563
2004-04-01,72.2626
2004-07-01,75.7705
2004-10-01,77.5745
2005-01-01,79.98
2005-04-01,83.3876
2005-07-01,87.2964
2005-10-01,89.0003
2006-01-01,91.0048
2006-04-01,93.8111
2006-07-01,96.7176
2006-10-01,97.5194
2007-01-01,98.221
2007-04-01,99.9248
2007-07-01,102.23
2007-10-01,102.8314
2008-01-01,102.23
2008-04-01,102.6309
2008-07-01,102.8314
2008-10-01,99.4237
2009-01-01,95.7154
2009-04-01,94.4124
2009-07-01,95.9158
2009-10-01,96.2165
2010-01-01,96.9181
2010-04-01,98.8224
2010-07-01,101.5284
2010-10-01,102.7311
2011-01-01,103.3325
2011-04-01,105.337
2011-07-01,107.542
2011-10-01,106.5397
2012-01-01,105.1366
2012-04-01,105.1366
2012-07-01,105.8381
2012-10-01,104.3348
2013-01-01,103.0318
2013-04-01,102.9316
2013-07-01,103.8336
2013-10-01,102.7311
2014-01-01,101.5284
2014-04-01,101.7289
2014-07-01,102.5307
2014-10-01,100.5262
2015-01-01,99.6242
2015-04-01,99.7244
2015-07-01,101.1275
2015-10-01,100.426
2016-01-01,99.9248
2016-04-01,100.426
2016-07-01,102.6309
2016-10-01,102.0296
2017-01-01,102.7311
2017-04-01,103.7334
2017-07-01,105.9384
2017-10-01,105.4372
2018-01-01,105.7379
2018-04-01,106.6399
2018-07-01,108.8449
2018-10-01,108.8449
2019-01-01,108.8449
2019-04-01,110.0476
2019-07-01,112.5532
2019-10-01,112.9541
2020-01-01,114.1569
2020-04-01,115.7605
2020-07-01,118.0656
2020-10-01,119.569
2021-01-01,120.4711
2021-04-01,122.7762
2021-07-01,126.4846
2021-10-01,127.7875
2022-01-01,128.89
2022-04-01,131.095
2022-07-01,134.6029
2022-10-01,133.9013
2023-01-01,132.5983
