Date,YOY (%),index
1/1/1955,0,^N225
1/4/1955,0.030296179,^N225
1/7/1955,0.02971253,^N225
1/10/1955,0.036868127,^N225
1/1/1956,0.0355572,^N225
1/4/1956,0.057280089,^N225
1/7/1956,0.05413929,^N225
1/10/1956,0.066780639,^N225
1/1/1957,0.06260016,^N225
1/4/1957,0.052565432,^N225
1/7/1957,0.050507463,^N225
1/10/1957,0.056007047,^N225
1/1/1958,0.053063531,^N225
1/4/1958,0.059844129,^N225
1/7/1958,0.057115992,^N225
1/10/1958,0.052638781,^N225
1/1/1959,0.0500065,^N225
1/4/1959,0.059180389,^N225
1/7/1959,0.056516657,^N225
1/10/1959,0.049639505,^N225
1/1/1960,0.047291956,^N225
1/4/1960,0.075014678,^N225
1/7/1960,0.069764539,^N225
1/10/1960,0.098879781,^N225
1/1/1961,0.089969072,^N225
1/4/1961,0.078609267,^N225
1/7/1961,0.073681834,^N225
1/10/1961,0.046006141,^N225
1/1/1962,0.043982668,^N225
1/4/1962,0.041436358,^N225
1/7/1962,0.040231532,^N225
1/10/1962,0.034186667,^N225
1/1/1963,0.033056573,^N225
1/4/1963,0.031824081,^N225
1/7/1963,0.031189272,^N225
1/10/1963,0.033835086,^N225
1/1/1964,0.03272774,^N225
1/4/1964,0.035206058,^N225
1/7/1964,0.034015819,^N225
1/10/1964,0.036181015,^N225
1/1/1965,0.034924261,^N225
1/4/1965,0.012199246,^N225
1/7/1965,0.012190894,^N225
1/10/1965,0.017966458,^N225
1/1/1966,0.017643244,^N225
1/4/1966,0.020120712,^N225
1/7/1966,0.019941895,^N225
1/10/1966,0.027779543,^N225
1/1/1967,0.027023077,^N225
1/4/1967,0.039257329,^N225
1/7/1967,0.038190494,^N225
1/10/1967,0.041468178,^N225
1/1/1968,0.039812167,^N225
1/4/1968,0.042789817,^N225
1/7/1968,0.041038473,^N225
1/10/1968,0.04979049,^N225
1/1/1969,0.047433088,^N225
1/4/1969,0.056289441,^N225
1/7/1969,0.053884251,^N225
1/10/1969,0.050847159,^N225
1/1/1970,0.048386826,^N225
1/4/1970,0.0459008,^N225
1/7/1970,0.044369791,^N225
1/10/1970,0.03943799,^N225
1/1/1971,0.037938829,^N225
1/4/1971,0.036353861,^N225
1/7/1971,0.03546378,^N225
1/10/1971,0.032847325,^N225
1/1/1972,0.031802692,^N225
1/4/1972,0.044520532,^N225
1/7/1972,0.042622936,^N225
1/10/1972,0.092243827,^N225
1/1/1973,0.084451515,^N225
1/4/1973,0.081847114,^N225
1/7/1973,0.076495489,^N225
1/10/1973,0.041792781,^N225
1/1/1974,0.040116213,^N225
1/4/1974,0.008369592,^N225
1/7/1974,0.008391254,^N225
1/10/1974,-0.028966485,^N225
1/1/1975,-0.029829094,^N225
1/4/1975,0.00291139,^N225
1/7/1975,0.00293634,^N225
1/10/1975,0.004367394,^N225
1/1/1976,0.004346896,^N225
1/4/1976,0.008659165,^N225
1/7/1976,0.00858334,^N225
1/10/1976,0.010637498,^N225
1/1/1977,0.010526992,^N225
1/4/1977,0.011049995,^N225
1/7/1977,0.011050663,^N225
1/10/1977,0.012227053,^N225
1/1/1978,0.012080754,^N225
1/4/1978,0.016486897,^N225
1/7/1978,0.01639996,^N225
1/10/1978,0.020538316,^N225
1/1/1979,0.020126291,^N225
1/4/1979,0.028203096,^N225
1/7/1979,0.027735061,^N225
1/10/1979,0.033255708,^N225
1/1/1980,0.032185361,^N225
1/4/1980,0.03282255,^N225
1/7/1980,0.031779467,^N225
1/10/1980,0.02669403,^N225
1/1/1981,0.025999985,^N225
1/4/1981,0.023746654,^N225
1/7/1981,0.023454255,^N225
1/10/1981,0.020465262,^N225
1/1/1982,0.020054835,^N225
1/4/1982,0.015996847,^N225
1/7/1982,0.015919698,^N225
1/10/1982,0.012554735,^N225
1/1/1983,0.012398179,^N225
1/4/1983,0.009659523,^N225
1/7/1983,0.009672376,^N225
1/10/1983,0.008285534,^N225
1/1/1984,0.008216593,^N225
1/4/1984,0.006927398,^N225
1/7/1984,0.00687974,^N225
1/10/1984,0.006832732,^N225
1/1/1985,0.006786363,^N225
1/4/1985,0.005126598,^N225
1/7/1985,0.005156246,^N225
1/10/1985,0.005494694,^N225
1/1/1986,0.005464667,^N225
1/4/1986,0.006948942,^N225
1/7/1986,0.006977968,^N225
1/10/1986,0.01531411,^N225
1/1/1987,0.015082341,^N225
1/4/1987,0.030662223,^N225
1/7/1987,0.030079878,^N225
