DATE,DDEM01CNA156NWDB,index
2003-01-01,75.63701999999999,000001.SS
2004-01-01,114.2445,000001.SS
2005-01-01,97.63954,000001.SS
2006-01-01,101.1817,000001.SS
2007-01-01,140.7822,000001.SS
2008-01-01,219.5352,000001.SS
2009-01-01,219.156,000001.SS
2010-01-01,205.0166,000001.SS
2011-01-01,195.5971,000001.SS
2012-01-01,135.9667,000001.SS
2013-01-01,194.8772,000001.SS
2014-01-01,199.1579,000001.SS
2015-01-01,480.2873,000001.SS
2016-01-01,249.9073,000001.SS
2017-01-01,197.7133,000001.SS
2018-01-01,206.6544,000001.SS
2019-01-01,214.288,000001.SS
2020-01-01,258.5513,000001.SS
