DATE,DDEM01DEA156NWDB,index
1975-01-01,20.41828,^GDAXI
1976-01-01,19.78465,^GDAXI
1977-01-01,20.23314,^GDAXI
1978-01-01,22.46819,^GDAXI
1979-01-01,18.66658,^GDAXI
1980-01-01,19.72868,^GDAXI
1981-01-01,21.8931,^GDAXI
1982-01-01,21.45704,^GDAXI
1983-01-01,37.27095,^GDAXI
1984-01-01,34.3348,^GDAXI
1985-01-01,48.01805,^GDAXI
1986-01-01,58.92282,^GDAXI
1987-01-01,194.2692,^GDAXI
1988-01-01,137.651,^GDAXI
1989-01-01,95.31124,^GDAXI
1990-01-01,152.6781,^GDAXI
1991-01-01,118.0694,^GDAXI
1992-01-01,130.8471,^GDAXI
1993-01-01,119.8961,^GDAXI
1994-01-01,120.9361,^GDAXI
1995-01-01,100.4782,^GDAXI
1996-01-01,22.53511,^GDAXI
1997-01-01,119.7506,^GDAXI
1998-01-01,134.2224,^GDAXI
1999-01-01,91.36459,^GDAXI
2000-01-01,143.8494,^GDAXI
2001-01-01,121.395,^GDAXI
2002-01-01,127.0758,^GDAXI
2003-01-01,94.27764,^GDAXI
2004-01-01,98.89348,^GDAXI
2005-01-01,107.1483,^GDAXI
2006-01-01,119.1272,^GDAXI
2007-01-01,154.6095,^GDAXI
2008-01-01,377.2480000000001,^GDAXI
2009-01-01,138.3361,^GDAXI
2010-01-01,104.542,^GDAXI
2011-01-01,132.8497,^GDAXI
2012-01-01,84.09695,^GDAXI
2013-01-01,67.79648,^GDAXI
2014-01-01,72.99615,^GDAXI
2015-01-01,84.19469000000001,^GDAXI
2016-01-01,65.5061,^GDAXI
2017-01-01,68.8968,^GDAXI
2018-01-01,92.07924,^GDAXI
2019-01-01,64.35738,^GDAXI
2020-01-01,79.42218000000001,^GDAXI
