DATE,DDEM01HKA156NWDB,index
1975-01-01,5.9752790000000005,^HSI
1976-01-01,5.521362,^HSI
1977-01-01,3.114175,^HSI
1978-01-01,3.158709,^HSI
1979-01-01,4.833092,^HSI
1980-01-01,1.991757,^HSI
1981-01-01,1.991757,^HSI
1982-01-01,1.991757,^HSI
1983-01-01,1.991757,^HSI
1984-01-01,1.991757,^HSI
1985-01-01,1.991757,^HSI
1986-01-01,28.44637,^HSI
1987-01-01,83.97445,^HSI
1988-01-01,31.478990000000003,^HSI
1989-01-01,44.58472,^HSI
1990-01-01,41.47437,^HSI
1991-01-01,31.60911,^HSI
1992-01-01,45.61638,^HSI
1993-01-01,34.31154,^HSI
1994-01-01,46.65753,^HSI
1995-01-01,31.47423,^HSI
1996-01-01,37.00734,^HSI
1997-01-01,109.608,^HSI
1998-01-01,59.9435,^HSI
1999-01-01,37.43575,^HSI
2000-01-01,59.83276,^HSI
2001-01-01,47.0666,^HSI
2002-01-01,38.64286,^HSI
2003-01-01,38.18233,^HSI
2004-01-01,46.865390000000005,^HSI
2005-01-01,39.92369,^HSI
2006-01-01,44.05632,^HSI
2007-01-01,75.9421,^HSI
2008-01-01,118.02,^HSI
2009-01-01,61.30947,^HSI
2010-01-01,54.8661,^HSI
2011-01-01,63.63737,^HSI
2012-01-01,38.02077,^HSI
2013-01-01,40.86087,^HSI
2014-01-01,44.87852,^HSI
2015-01-01,64.95298000000001,^HSI
2016-01-01,42.31123,^HSI
2017-01-01,44.89427,^HSI
2018-01-01,59.3517,^HSI
2019-01-01,37.194390000000006,^HSI
2020-01-01,50.06767,^HSI
