Date,YOY (%),index
1/1/2000,0,^BSESN
1/1/2001,-0.266111071,^BSESN
1/1/2002,-0.314362729,^BSESN
1/1/2003,-0.19974939,^BSESN
1/1/2004,-0.008565921,^BSESN
1/1/2005,-0.164291594,^BSESN
1/1/2006,-0.061638364,^BSESN
1/1/2007,-0.218855587,^BSESN
1/1/2008,1.358397585,^BSESN
1/1/2009,-0.413747204,^BSESN
1/1/2010,-0.216705931,^BSESN
1/1/2011,-0.011355696,^BSESN
1/1/2012,-0.229622094,^BSESN
1/1/2013,-0.015479258,^BSESN
1/1/2014,0.000169711,^BSESN
1/1/2015,0.018231748,^BSESN
1/1/2016,0.007022758,^BSESN
1/1/2017,0.018311014,^BSESN
1/1/2018,0.204410451,^BSESN
1/1/2019,-0.009809781,^BSESN
1/1/2020,0.333284948,^BSESN
