DATE,DDEM01USA156NWDB,index
1975-01-01,19.50568,^GSPC
1976-01-01,19.62643,^GSPC
1977-01-01,19.88329,^GSPC
1978-01-01,26.20119,^GSPC
1979-01-01,27.36045,^GSPC
1980-01-01,30.13801,^GSPC
1981-01-01,32.90385,^GSPC
1982-01-01,34.879259999999995,^GSPC
1983-01-01,44.06344,^GSPC
1984-01-01,69.18292,^GSPC
1985-01-01,63.83631999999999,^GSPC
1986-01-01,85.96412,^GSPC
1987-01-01,113.6346,^GSPC
1988-01-01,70.68861,^GSPC
1989-01-01,69.2315,^GSPC
1990-01-01,65.69033,^GSPC
1991-01-01,51.44352,^GSPC
1992-01-01,55.66511,^GSPC
1993-01-01,65.40393,^GSPC
1994-01-01,71.01847,^GSPC
1995-01-01,74.49096999999999,^GSPC
1996-01-01,82.13547,^GSPC
1997-01-01,86.02991999999999,^GSPC
1998-01-01,95.22276,^GSPC
1999-01-01,127.3278,^GSPC
2000-01-01,197.1309,^GSPC
2001-01-01,149.3427,^GSPC
2002-01-01,154.2627,^GSPC
2003-01-01,112.4687,^GSPC
2004-01-01,117.0267,^GSPC
2005-01-01,151.7111,^GSPC
2006-01-01,156.2769,^GSPC
2007-01-01,215.0987,^GSPC
2008-01-01,407.6304,^GSPC
2009-01-01,227.5368,^GSPC
2010-01-01,208.4386,^GSPC
2011-01-01,262.4277,^GSPC
2012-01-01,173.2852,^GSPC
2013-01-01,138.3293,^GSPC
2014-01-01,148.028,^GSPC
2015-01-01,165.1479,^GSPC
2016-01-01,153.8133,^GSPC
2017-01-01,123.8637,^GSPC
2018-01-01,108.5126,^GSPC
2019-01-01,68.43193000000001,^GSPC
