Quarter,000001.SS,^BSESN,^BVSP,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI
Q1 1998,-2.0,-0.15653965,-0.186046512,0.68852459,0.242774566,0.198347107,-0.082802548,-0.111731844,-0.768361582,-2.0
Q1 1999,0.833333333,-0.108742004,1.03030303,0.75,-0.010050251,1.5,0.365269461,2.607476636,-1.5,7.428571429
Q1 2001,0.066666667,-0.298461538,0.116554054,0.512396694,0.209677419,0.659574468,-0.123324397,-0.078947368,1.322580645,-0.1
Q1 2002,0.207920792,-0.050607287,0.047244094,-0.119469027,-0.09039548,-0.283653846,0.438596491,-0.109510086,-0.231343284,1.115384615
Q1 2003,1.648648649,0.49271137,0.158949551,0.010050251,0.081632653,-0.117647059,-0.146153846,0.08125,-0.761904762,-0.211764706
Q1 2004,0.161993769,-0.487356322,-0.317769131,0.060301508,-0.282758621,0.5,0.186528497,0.0,0.0,2.235294118
Q1 2005,-0.011111111,0.135011442,0.089068826,0.245033113,0.142011834,-0.159722222,0.181818182,-2.103448276,-0.523809524,0.183333333
Q1 2006,-0.349344978,0.064073227,-0.187719298,-0.169902913,0.050691244,0.053763441,-0.110275689,-0.005464481,0.0,-0.178294574
Q1 2007,0.372727273,-0.007440476,0.003344482,0.0,0.038167939,0.238372093,0.235576923,-0.309278351,,3.5
Q1 2008,0.208157525,0.417422868,0.105263158,0.070921986,0.233606557,-0.157894737,-0.079439252,0.681114551,-0.013513514,-0.061728395
Q1 2009,-2.5625,-0.167464115,-0.053082192,-0.816901408,-0.252525253,-0.22826087,-25.66666667,-0.820512821,,-3.357142857
Q1 2010,0.871428571,-0.178175092,0.145969499,0.527272727,0.078740157,0.704225352,-0.148288973,1.120967742,-0.096153846,0.343137255
Q1 2011,0.1,0.011827957,0.086811352,0.195402299,0.118343195,0.104651163,0.938650307,0.293785311,-0.20754717,-0.071428571
Q1 2012,-0.266519824,0.921052632,-0.180064309,-0.110638298,-0.117088608,-0.062200957,-0.215017065,-0.210264901,3.818181818,0.253164557
Q1 2013,0.198019802,-0.118760757,0.055284553,-0.41025641,-0.098765432,-0.303030303,-0.333333333,0.367003367,1.3125,1.333333333
Q1 2014,-0.322709163,-0.022099448,0.123434705,0.107692308,-0.068571429,-0.007462687,0.234177215,-0.199124726,1.456521739,-0.428571429
Q1 2015,1.154929577,-0.192468619,0.144257703,-1.210526316,-0.411764706,-4.107142857,1.222222222,-0.29280397,-0.701244813,1.285714286
Q1 2016,0.276243094,-0.008460237,-0.133520075,-1.863636364,-0.014084507,-1.196078431,-0.175182482,0.047244094,-2.5,-0.724409449
Q1 2017,-0.540856031,0.188172043,-0.237383178,-0.126865672,0.357894737,0.049382716,-0.12,0.589147287,-0.196078431,0.257142857
Q1 2018,0.268965517,-0.223091977,-0.034965035,0.233082707,-0.158490566,-0.079136691,0.188405797,0.117647059,-0.537878788,0.081081081
Q1 2019,0.502923977,0.262121212,0.306878307,0.016129032,0.093406593,0.489051095,0.290322581,0.20746888,3.55,0.267857143
Q2 1998,3.666666667,0.807081807,-0.205194805,-0.213592233,-0.204651163,-0.420689655,0.166666667,-0.316561845,-1.243902439,-5.0
Q2 1999,-0.363636364,-0.622009569,0.364179104,-0.095238095,-0.14213198,-0.016666667,-0.061403509,0.453367876,0.0,0.237288136
Q2 2001,-0.0625,0.771929825,0.066565809,0.103825137,0.093333333,-0.106837607,-0.168195719,-0.357142857,0.0,0.153846154
Q2 2002,-0.245901639,-0.170575693,-0.058897243,-0.185929648,-0.080745342,-0.234899329,-0.109756098,0.126213592,-0.194174757,-1.045454545
Q2 2003,-0.520408163,-0.1875,-0.079904592,-0.074626866,-0.169811321,0.122222222,-0.04954955,1.317919075,1.1,-0.597014925
Q2 2004,0.394101877,0.430493274,0.294676806,0.137440758,0.384615385,0.05952381,0.305676856,-1.651006711,0.0,0.563636364
Q2 2005,0.0,-0.181451613,-0.185873606,-0.111702128,0.202072539,0.26446281,-0.096866097,2.25,-4.1,-0.161971831
Q2 2006,0.067114094,0.361290323,-0.142548596,0.134502924,0.105263158,-0.066326531,0.169014085,0.241758242,-4.2,0.339622642
Q2 2007,0.864238411,-0.032983508,0.246666667,-0.112,-0.279411765,-0.056338028,-0.081712062,0.208955224,,0.6
Q2 2008,-0.263096624,0.066581306,0.263888889,0.195364238,0.398671096,0.383333333,0.421319797,0.149171271,2.164383562,0.346491228
Q2 2009,0.193333333,0.366666667,-0.186256781,-6.615384615,-0.27027027,-2.219512195,1.837837838,-3.678571429,9.761904762,2.575757576
Q2 2010,0.194656489,-0.15603901,-0.125475285,0.0,-0.171532847,-0.082644628,-0.446428571,-0.790874525,0.0,-0.693430657
Q2 2011,0.22,-0.104144527,0.055299539,-0.067307692,0.029100529,0.105263158,0.148734177,0.746724891,-1.5,0.807692308
Q2 2012,-0.489489489,-0.037181996,0.019607843,-0.071770335,-0.157706093,-0.051020408,-0.386956522,-0.651991614,-2.0,-0.282828283
Q2 2013,0.103305785,0.059570313,-0.033898305,0.550724638,0.095890411,0.669565217,0.849056604,0.701970443,-2.0,
Q2 2014,0.3,0.021186441,0.035031847,-0.361111111,0.0,-0.360902256,0.020512821,0.092896175,0.026548673,-0.25
Q2 2015,0.130718954,-0.245250432,0.170134639,1.125,0.333333333,-0.08045977,-1.85,-0.087719298,-0.722222222,0.142857143
Q2 2016,-0.264069264,0.102389078,-0.058189655,-2.157894737,0.285714286,-6.0,-0.265486726,-0.131578947,0.366666667,-0.428571429
Q2 2017,0.169491525,-0.190045249,-0.335784314,-0.384615385,0.0,-0.188235294,-0.213636364,-0.053658537,0.0,-0.25
Q2 2018,0.163043478,0.413098237,0.623188406,0.396341463,0.040358744,0.4453125,0.199186992,0.221052632,0.508196721,0.5375
Q2 2019,0.073929961,-0.282112845,-0.348178138,-0.150793651,-0.005025126,-0.156862745,-0.095,0.134020619,-0.340659341,-0.563380282
Q3 1998,-0.214285714,0.258783784,-0.330065359,-0.50617284,-0.087719298,-0.428571429,-0.113095238,,-3.0,-0.625
Q3 1999,-0.571428571,-0.708860759,0.641137856,1.131578947,-0.094674556,0.220338983,0.196261682,-0.256684492,6.1,0.698630137
Q3 2001,-0.866666667,0.047029703,0.019858156,-0.168316832,-0.091463415,-0.110047847,-0.216911765,0.277777778,0.0,-0.533333333
Q3 2002,-0.206521739,0.043701799,0.125166445,0.203703704,0.081081081,0.105263158,0.390410959,0.043103448,0.120481928,-25.8
Q3 2003,2.787234043,-0.209134615,-0.09397278,0.14516129,-0.007575758,0.118811881,-0.033175355,-0.329177057,,0.666666667
Q3 2004,-0.2,0.432601881,0.007342144,-0.1125,-0.097222222,0.06741573,0.066889632,-0.432989691,-2.0,0.5
Q3 2005,-0.280898876,0.02955665,-0.03196347,0.107784431,0.047413793,0.215686275,0.372239748,0.173076923,1.677419355,0.117647059
Q3 2006,-0.251572327,0.093206951,-0.17884131,-0.453608247,-0.007936508,-0.409836066,-0.684337349,-0.07079646,0.3125,-0.816901408
Q3 2007,0.168738899,-0.145736434,0.101604278,0.801801802,0.12244898,0.378109453,0.5,0.907407407,-2.0,0.75
Q3 2008,-0.363349131,0.254501801,0.006279435,-0.263157895,-0.007125891,-0.28313253,-0.346428571,-0.703525641,-0.233766234,-0.153094463
Q3 2009,-0.659217877,-0.033641716,-0.073333333,-0.712328767,-0.222222222,,-0.914285714,-2.68,0.132743363,-0.296610169
Q3 2010,0.361022364,-0.137777778,0.130434783,-0.053571429,0.0969163,0.18018018,-0.056451613,3.472727273,-0.776595745,-0.547619048
Q3 2011,-0.165424739,0.113879004,0.014556041,0.211340206,0.105398458,0.095238095,-0.027548209,-0.28375,-0.34375,-1.234042553
Q3 2012,0.005882353,-0.024390244,0.048076923,-0.046391753,0.034042553,0.102150538,0.531914894,1.277108434,-0.20754717,-0.690140845
Q3 2013,0.209737828,0.019354839,-0.068580542,-0.46728972,-0.1375,-0.354166667,-0.510204082,-0.367583213,0.581081081,1.0
Q3 2014,-0.316742081,-0.31120332,0.013846154,-0.02173913,-0.190184049,-0.105882353,-0.165829146,0.28,-0.186781609,-1.333333333
Q3 2015,-0.300578035,0.446224256,0.038702929,-0.647058824,-0.5,0.1,0.0,-0.15,-0.243902439,0.0625
Q3 2016,0.294117647,-0.481424149,-0.099542334,0.636363636,0.444444444,0.6,0.975903614,-0.484848485,-1.243902439,0.05
Q3 2017,0.347826087,0.810055866,-0.003690037,0.472222222,0.069767442,-0.072463768,0.179190751,-0.170103093,-0.512195122,1.0
Q3 2018,0.168224299,-0.067736185,0.017857143,-0.034934498,-0.051724138,0.264864865,-0.145762712,0.13362069,0.543478261,-0.097560976
Q3 2019,0.358695652,0.274247492,-0.211180124,-0.289719626,-0.242424242,-0.337209302,-0.027624309,-0.003030303,-0.666666667,-1.806451613
Q4 1998,0.090909091,-0.496511004,-0.195121951,-0.4,0.275641026,-0.5,0.120805369,-1.424603175,0.0,1.333333333
Q4 1999,-0.666666667,0.224299065,0.18,0.901234568,-0.274509804,1.152777778,0.0703125,0.26618705,0.0,0.282258065
Q4 2001,-6.05,0.1678487,0.059805285,0.345238095,0.187919463,0.11827957,-0.464788732,2.017391304,0.861111111,-0.174603175
Q4 2002,-1.506849315,-0.155172414,0.712426036,0.020512821,-0.08125,-0.19047619,0.280788177,-0.55922865,-0.548387097,-0.314516129
Q4 2003,0.803370787,0.32218845,-0.448497854,-0.0657277,0.106870229,-0.008849558,-0.053921569,-0.446096654,0.476190476,-0.622222222
Q4 2004,-0.567307692,-0.043763676,0.080174927,-0.291079812,0.3,-0.242105263,-0.068965517,-1.527272727,-0.596153846,-0.069767442
Q4 2005,0.7890625,0.045454545,-0.103773585,0.113513514,-0.106995885,0.0,-0.082758621,0.5,-0.879518072,-0.030075188
Q4 2006,0.848739496,-0.028901734,-0.082822086,0.179245283,0.048,0.592592593,0.58778626,-0.076190476,,-0.615384615
Q4 2007,0.080547112,0.0,0.106796117,0.41,0.109090909,0.028880866,0.209039548,0.045307443,2.523809524,0.928571429
Q4 2008,-0.7617866,0.0,-0.088923557,-0.733082707,-0.289473684,-0.613445378,-0.991803279,0.686486486,,-0.946153846
Q4 2009,-3.295081967,0.411662315,0.100719424,-6.238095238,1.015873016,-4.55,-15.61111111,-0.507936508,-0.59375,-2.228915663
Q4 2010,0.17370892,-0.041237113,0.151923077,0.094339623,0.357429719,0.312977099,0.393162393,0.43902439,1.523809524,0.473684211
Q4 2011,-0.189285714,-0.43343983,-0.107604017,0.0,-0.265116279,-0.091304348,-0.169971671,0.054101222,-1.523809524,6.181818182
Q4 2012,0.18128655,0.210416667,0.128440367,-0.367567568,0.0,-0.195121951,-0.263888889,-0.214285714,-0.238095238,0.227272727
Q4 2013,-0.222910217,-0.345388788,-0.042808219,0.140350877,-0.154589372,0.080645161,0.645833333,0.04576659,0.179487179,-1.192307692
Q4 2014,-0.529801325,0.439759036,0.083459788,-1.844444444,-0.613636364,-1.368421053,-1.054216867,-0.212890625,-0.148409894,48.0
Q4 2015,0.495867769,-0.064873418,0.078549849,2.666666667,2.55,-0.420454545,7.058823529,0.149321267,-1.322580645,-0.066176471
