Date,YOY (%)
10/1/2023,-0.07870
9/1/2023,0.09350
8/1/2023,0.02950
7/1/2023,0.15980
6/1/2023,0.03520
5/1/2023,-0.11250
4/1/2023,0.01560
3/1/2023,-0.01950
2/1/2023,-0.02570
1/1/2023,-0.02070
12/1/2022,-0.00560
11/1/2022,-0.05970
10/1/2022,0.10410
9/1/2022,-0.10800
8/1/2022,-0.08370
7/1/2022,-0.04030
6/1/2022,-0.05860
5/1/2022,0.11120
4/1/2022,0.04890
3/1/2022,0.08060
2/1/2022,0.10320
1/1/2022,0.17980
12/1/2021,0.13950
11/1/2021,-0.19560
10/1/2021,0.12190
9/1/2021,0.09920
8/1/2021,-0.07100
7/1/2021,0.01530
6/1/2021,0.11110
5/1/2021,0.04290
4/1/2021,0.07390
3/1/2021,-0.03700
2/1/2021,0.18060
1/1/2021,0.07520
12/1/2020,0.06570
11/1/2020,0.25700
10/1/2020,-0.11660
9/1/2020,-0.06500
8/1/2020,0.05150
7/1/2020,0.02020
6/1/2020,0.09570
5/1/2020,0.54970
4/1/2020,-0.40690
3/1/2020,-0.54740
2/1/2020,-0.13580
1/1/2020,-0.15480
12/1/2019,0.10880
11/1/2019,0.01760
10/1/2019,0.00180
9/1/2019,-0.01730
8/1/2019,-0.05820
7/1/2019,0.00030
6/1/2019,0.08820
5/1/2019,-0.16460
4/1/2019,0.06230
3/1/2019,0.04470
2/1/2019,0.05630
1/1/2019,0.17720
12/1/2018,-0.11200
11/1/2018,-0.22230
10/1/2018,-0.10680
9/1/2018,0.05230
8/1/2018,0.02580
7/1/2018,-0.05440
6/1/2018,0.10740
5/1/2018,-0.02130
4/1/2018,0.05660
3/1/2018,0.05460
2/1/2018,-0.04450
1/1/2018,0.07280
12/1/2017,0.05180
11/1/2017,0.05130
10/1/2017,0.04560
9/1/2017,0.08260
8/1/2017,-0.06180
7/1/2017,0.08520
6/1/2017,-0.05210
5/1/2017,-0.02850
4/1/2017,-0.03250
3/1/2017,-0.07310
2/1/2017,0.01270
1/1/2017,-0.03260
12/1/2016,0.06570
11/1/2016,0.03960
10/1/2016,-0.03780
9/1/2016,0.06560
8/1/2016,0.05600
7/1/2016,-0.15290
6/1/2016,-0.02780
5/1/2016,0.05310
4/1/2016,0.16030
3/1/2016,0.08550
2/1/2016,-0.06470
1/1/2016,-0.12130
12/1/2015,-0.14760
11/1/2015,-0.13090
