Date,YOY (%)
2/1/1986,0.9
3/1/1986,0.99
6/1/1986,1.07
7/1/1986,1.09
8/1/1986,0.83
9/1/1986,1.01
10/1/1986,1.04
13/1/1986,1.13
14/1/1986,1.13
15/1/1986,1.06
16/1/1986,1.11
17/1/1986,1.08
20/1/1986,0
21/1/1986,1.17
22/1/1986,1.19
23/1/1986,1.22
24/1/1986,1.22
27/1/1986,1.17
28/1/1986,1.14
29/1/1986,1.03
30/1/1986,1.02
31/1/1986,1.09
3/2/1986,1.06
4/2/1986,1.08
5/2/1986,0.99
6/2/1986,0.9
7/2/1986,0.85
10/2/1986,0.92
11/2/1986,0.95
12/2/1986,0.95
13/2/1986,0.96
14/2/1986,1.04
17/2/1986,0
18/2/1986,0.98
19/2/1986,0.92
20/2/1986,0.89
21/2/1986,1.02
24/2/1986,0.98
25/2/1986,0.89
26/2/1986,0.93
27/2/1986,0.91
28/2/1986,0.86
3/3/1986,0.91
4/3/1986,0.91
5/3/1986,0.84
6/3/1986,1
7/3/1986,0.95
10/3/1986,0.95
11/3/1986,0.93
12/3/1986,0.82
13/3/1986,0.91
14/3/1986,0.96
17/3/1986,0.94
18/3/1986,0.96
19/3/1986,1.07
20/3/1986,1.12
21/3/1986,1.09
24/3/1986,1.15
25/3/1986,1.18
26/3/1986,1.15
27/3/1986,1.1
28/3/1986,0
31/3/1986,0
1/4/1986,0.98
2/4/1986,0.97
3/4/1986,0.98
4/4/1986,1.12
7/4/1986,1.01
8/4/1986,0.93
9/4/1986,0.87
10/4/1986,0.86
11/4/1986,0.92
14/4/1986,0.96
15/4/1986,1
16/4/1986,0.98
17/4/1986,0.72
18/4/1986,0.75
21/4/1986,0.82
22/4/1986,0.8
23/4/1986,0.72
24/4/1986,0.7
25/4/1986,0.8
28/4/1986,0.9
29/4/1986,0.79
30/4/1986,0.78
1/5/1986,0.76
2/5/1986,0.79
5/5/1986,0
6/5/1986,0.76
7/5/1986,0.77
8/5/1986,0.77
9/5/1986,0.79
12/5/1986,0.81
13/5/1986,0.97
14/5/1986,0.85
15/5/1986,0.83
16/5/1986,0.92
19/5/1986,0.92
20/5/1986,0.96
21/5/1986,0.86
22/5/1986,0.86
23/5/1986,0.88
26/5/1986,0
27/5/1986,0.9
28/5/1986,0.81
29/5/1986,0.76
30/5/1986,0.83
2/6/1986,0.76
3/6/1986,0.78
4/6/1986,0.67
5/6/1986,0.68
6/6/1986,0.87
9/6/1986,0.7
10/6/1986,0.84
11/6/1986,0.79
12/6/1986,0.84
13/6/1986,0.96
