Date,YOY (%),,,,
31/1/1978,0,,,,
28/2/1978,0.086780797,,,,
31/3/1978,0.08276905,,,,
28/4/1978,-0.013935393,,,,
31/5/1978,-0.007663742,,,,
30/6/1978,0.079456162,,,,
31/7/1978,0.078998447,,,,
31/8/1978,0.042975874,,,,
29/9/1978,0.021011685,,,,
31/10/1978,0.173775792,,,,
30/11/1978,0.105677905,,,,
29/12/1978,-0.00089148,,,,
31/1/1979,0.151609055,,,,
28/2/1979,0.478502033,,,,
30/3/1979,-0.010694423,,,,
30/4/1979,-0.146240085,,,,
31/5/1979,-0.058160744,,,,
29/6/1979,-0.023871451,,,,
31/7/1979,0.161931708,,,,
31/8/1979,0.068959875,,,,
28/9/1979,-0.016388719,,,,
31/10/1979,0.076215737,,,,
30/11/1979,-0.006900687,,,,
31/12/1979,-0.038404982,,,,
31/1/1980,-0.032661712,,,,
29/2/1980,-0.05386848,,,,
31/3/1980,-0.072436074,,,,
30/4/1980,-0.003605995,,,,
30/5/1980,0.009537586,,,,
30/6/1980,-0.002922776,,,,
31/7/1980,-0.022843643,,,,
29/8/1980,-0.100305015,,,,
30/9/1980,0.015711707,,,,
31/10/1980,0.054731285,,,,
28/11/1980,-0.020986888,,,,
31/12/1980,-0.057998963,,,,
30/1/1981,-0.001294258,,,,
27/2/1981,-0.055842656,,,,
31/3/1981,-0.01160811,,,,
30/4/1981,-0.1074162,,,,
29/5/1981,0.071639301,,,,
30/6/1981,-0.062873492,,,,
31/7/1981,-0.029028028,,,,
31/8/1981,0.089537713,,,,
30/9/1981,0.079557048,,,,
30/10/1981,0.20756206,,,,
30/11/1981,-0.025997093,,,,
31/12/1981,-0.006575555,,,,
29/1/1982,0.055435074,,,,
26/2/1982,0.072881246,,,,
31/3/1982,0.028717825,,,,
30/4/1982,-0.140505812,,,,
31/5/1982,0.042898101,,,,
30/6/1982,0.017383424,,,,
30/7/1982,-0.04261188,,,,
31/8/1982,0.034867096,,,,
30/9/1982,0.001797939,,,,
29/10/1982,-0.010652842,,,,
30/11/1982,-0.05143823,,,,
31/12/1982,-0.016528303,,,,
31/1/1983,0.029994908,,,,
28/2/1983,-0.034283185,,,,
31/3/1983,0.024044954,,,,
29/4/1983,0.003753934,,,,
31/5/1983,-0.025690814,,,,
30/6/1983,0.007594963,,,,
29/7/1983,0.000165653,,,,
31/8/1983,-0.062590136,,,,
30/9/1983,0.008181867,,,,
31/10/1983,0.002943302,,,,
30/11/1983,0.005330295,,,,
30/12/1983,-0.008661522,,,,
31/1/1984,-0.047224974,,,,
29/2/1984,-0.043330907,,,,
30/3/1984,0.008330337,,,,
30/4/1984,0.018031395,,,,
31/5/1984,0.038798326,,,,
29/6/1984,-0.024371056,,,,
31/7/1984,-0.005304463,,,,
31/8/1984,-0.019267253,,,,
28/9/1984,0.023955452,,,,
31/10/1984,-0.010971886,,,,
30/11/1984,-0.023897567,,,,
31/12/1984,-0.010866992,,,,
31/1/1985,-0.022680591,,,,
28/2/1985,0.058148274,,,,
29/3/1985,-0.040121911,,,,
30/4/1985,0.006105756,,,,
31/5/1985,-0.010157544,,,,
28/6/1985,-0.002365756,,,,
31/7/1985,0.002522658,,,,
30/8/1985,-0.000726386,,,,
30/9/1985,0.062365028,,,,
31/10/1985,0.10534843,,,,
29/11/1985,0.006023423,,,,
31/12/1985,-0.055973249,,,,
31/1/1986,-0.022980585,,,,
28/2/1986,0.014689227,,,,
31/3/1986,-0.025343576,,,,
30/4/1986,0.022167039,,,,
30/5/1986,0.06518298,,,,
30/6/1986,0.045183846,,,,
31/7/1986,-0.015103342,,,,
29/8/1986,0.009430111,,,,
30/9/1986,0.025954641,,,,
31/10/1986,-0.014816624,,,,
28/11/1986,0.00700984,,,,
31/12/1986,-0.023620694,,,,
30/1/1987,0.027363877,,,,
27/2/1987,-0.015737183,,,,
31/3/1987,-0.060897158,,,,
30/4/1987,-0.001933052,,,,
29/5/1987,0.016329212,,,,
30/6/1987,0.005067629,,,,
31/7/1987,0.018750757,,,,
31/8/1987,-0.006244894,,,,
30/9/1987,-0.003147585,,,,
30/10/1987,-0.044744584,,,,
30/11/1987,-0.029210494,,,,
31/12/1987,0.012355993,,,,
29/1/1988,-0.002642234,,,,
29/2/1988,-0.016529351,,,,
31/3/1988,-0.037452783,,,,
29/4/1988,0.011303558,,,,
31/5/1988,-0.015131361,,,,
30/6/1988,-0.015153107,,,,
29/7/1988,-0.000288229,,,,
31/8/1988,-0.003251903,,,,
30/9/1988,-0.019263433,,,,
31/10/1988,-0.002315973,,,,
30/11/1988,-0.003606874,,,,
30/12/1988,0.064397191,,,,
31/1/1989,0.017325257,,,,
28/2/1989,-0.013169481,,,,
31/3/1989,0.010364473,,,,
28/4/1989,-0.050448391,,,,
31/5/1989,-0.054585258,,,,
30/6/1989,-0.021254343,,,,
31/7/1989,-0.040672786,,,,
31/8/1989,0.01410469,,,,
29/9/1989,0.067656634,,,,
31/10/1989,-0.011282714,,,,
30/11/1989,-0.035964792,,,,
29/12/1989,-0.00868663,,,,
31/1/1990,-0.007696906,,,,
28/2/1990,0.027293292,,,,
30/3/1990,-0.061003664,,,,
30/4/1990,0.039977873,,,,
31/5/1990,0.013448926,,,,
29/6/1990,0.001430066,,,,
31/7/1990,0.047189962,,,,
31/8/1990,0.004678063,,,,
28/9/1990,-0.042337461,,,,
31/10/1990,-0.034325573,,,,
30/11/1990,0.027304642,,,,
31/12/1990,-0.014107051,,,,
31/1/1991,-0.009691186,,,,
28/2/1991,-0.018430769,,,,
29/3/1991,0.009694175,,,,
30/4/1991,-0.014126216,,,,
31/5/1991,-0.021242716,,,,
28/6/1991,-0.013062706,,,,
31/7/1991,-0.003537661,,,,
30/8/1991,0.009426792,,,,
30/9/1991,-0.039323585,,,,
31/10/1991,0.017981741,,,,
29/11/1991,0.022381834,,,,
31/12/1991,0.00411046,,,,
31/1/1992,0.00105024,,,,
28/2/1992,-0.002704932,,,,
31/3/1992,0.013558851,,,,
30/4/1992,0.006581093,,,,
29/5/1992,0.019792444,,,,
30/6/1992,0.074133311,,,,
31/7/1992,0.026943076,,,,
31/8/1992,0.078662146,,,,
30/9/1992,-0.031280104,,,,
30/10/1992,-0.080790697,,,,
