Quarter,Value,index,Percentage Change
Q1 1981,5.36,^HSI,0.034749035
Q2 1981,5.7,^HSI,0.063432836
Q3 1981,5.99,^HSI,0.050877193
Q4 1981,5.8,^HSI,-0.031719533
Q1 1982,5.83,^HSI,0.005172414
Q2 1982,5.9,^HSI,0.012006861
Q3 1982,6.6,^HSI,0.118644068
Q4 1982,6.53,^HSI,-0.010606061
Q1 1983,6.79,^HSI,0.039816233
Q2 1983,7.17,^HSI,0.055964654
Q3 1983,8.09,^HSI,0.128312413
Q4 1983,7.8,^HSI,-0.035846724
Q1 1984,7.81,^HSI,0.001282051
Q2 1984,7.85,^HSI,0.005121639
Q3 1984,7.82,^HSI,-0.003821656
Q4 1984,7.81,^HSI,-0.001278772
Q1 1985,7.79,^HSI,-0.002560819
Q2 1985,7.75,^HSI,-0.005134788
Q3 1985,7.79,^HSI,0.00516129
Q4 1985,7.81,^HSI,0.002567394
Q1 1986,7.8,^HSI,-0.00128041
Q2 1986,7.81,^HSI,0.001282051
Q3 1986,7.8,^HSI,-0.00128041
Q4 1986,7.77,^HSI,-0.003846154
Q1 1987,7.8,^HSI,0.003861004
Q2 1987,7.81,^HSI,0.001282051
Q3 1987,7.81,^HSI,0
Q4 1987,7.79,^HSI,-0.002560819
Q1 1988,7.81,^HSI,0.002567394
Q2 1988,7.81,^HSI,0
Q3 1988,7.81,^HSI,0
Q4 1988,7.8,^HSI,-0.00128041
Q1 1989,7.78,^HSI,-0.002564103
Q2 1989,7.8,^HSI,0.002570694
Q3 1989,7.81,^HSI,0.001282051
Q4 1989,7.81,^HSI,0
Q1 1990,7.8,^HSI,-0.00128041
Q2 1990,7.77,^HSI,-0.003846154
Q3 1990,7.77,^HSI,0
Q4 1990,7.8,^HSI,0.003861004
Q1 1991,7.79,^HSI,-0.001282051
Q2 1991,7.76,^HSI,-0.003851091
Q3 1991,7.75,^HSI,-0.00128866
Q4 1991,7.76,^HSI,0.001290323
Q1 1992,7.74,^HSI,-0.00257732
Q2 1992,7.73,^HSI,-0.00129199
Q3 1992,7.73,^HSI,0
Q4 1992,7.74,^HSI,0.001293661
Q1 1993,7.73,^HSI,-0.00129199
Q2 1993,7.76,^HSI,0.003880983
Q3 1993,7.73,^HSI,-0.003865979
Q4 1993,7.73,^HSI,0
Q1 1994,7.73,^HSI,0
Q2 1994,7.73,^HSI,0
Q3 1994,7.73,^HSI,0
