Quarter,Value,Percentage Change,index
Q1 1970,215838448137.66,,^GDAXI
Q2 1970,215838448137.66,,^GDAXI
Q3 1970,215838448137.66,,^GDAXI
Q4 1970,215838448137.66,,^GDAXI
Q1 1971,249985055484.3,0.03739915557461315,^GDAXI
Q2 1971,249985055484.3,0.03739915557461315,^GDAXI
Q3 1971,249985055484.3,0.03739915557461315,^GDAXI
Q4 1971,249985055484.3,0.03739915557461315,^GDAXI
Q1 1972,299801542047.48,0.04648247170082698,^GDAXI
Q2 1972,299801542047.48,0.04648247170082698,^GDAXI
Q3 1972,299801542047.48,0.04648247170082698,^GDAXI
Q4 1972,299801542047.48,0.04648247170082698,^GDAXI
Q1 1973,398374021953.9,0.07365538050119458,^GDAXI
Q2 1973,398374021953.9,0.07365538050119458,^GDAXI
Q3 1973,398374021953.9,0.07365538050119458,^GDAXI
Q4 1973,398374021953.9,0.07365538050119458,^GDAXI
Q1 1974,445303484241.55,0.028231788655829204,^GDAXI
Q2 1974,445303484241.55,0.028231788655829204,^GDAXI
Q3 1974,445303484241.55,0.028231788655829204,^GDAXI
Q4 1974,445303484241.55,0.028231788655829204,^GDAXI
Q1 1975,490636517211.23,0.05345847185373498,^GDAXI
Q2 1975,490636517211.23,0.05345847185373498,^GDAXI
Q3 1975,490636517211.23,0.05345847185373498,^GDAXI
Q4 1975,490636517211.23,0.05345847185373498,^GDAXI
Q1 1976,519754453161.41,0.014506287759965764,^GDAXI
Q2 1976,519754453161.41,0.014506287759965764,^GDAXI
Q3 1976,519754453161.41,0.014506287759965764,^GDAXI
Q4 1976,519754453161.41,0.014506287759965764,^GDAXI
Q1 1977,600498238019.04,0.03674916280641982,^GDAXI
Q2 1977,600498238019.04,0.03674916280641982,^GDAXI
Q3 1977,600498238019.04,0.03674916280641982,^GDAXI
Q4 1977,600498238019.04,0.03674916280641982,^GDAXI
Q1 1978,740469983446.93,0.053779084575414915,^GDAXI
Q2 1978,740469983446.93,0.053779084575414915,^GDAXI
