Quarter,Value,Percentage Change,index
Q1 1960,1320796651.69,,^HSI
Q2 1960,1320796651.69,,^HSI
Q3 1960,1320796651.69,,^HSI
Q4 1960,1320796651.69,,^HSI
Q1 1961,1383681651.14,0.01169329668329766,^HSI
Q2 1961,1383681651.14,0.01169329668329766,^HSI
Q3 1961,1383681651.14,0.01169329668329766,^HSI
Q4 1961,1383681651.14,0.01169329668329766,^HSI
Q1 1962,1612346412.26,0.03898538036729127,^HSI
Q2 1962,1612346412.26,0.03898538036729127,^HSI
Q3 1962,1612346412.26,0.03898538036729127,^HSI
Q4 1962,1612346412.26,0.03898538036729127,^HSI
Q1 1963,1935298266.45,0.04670054795658407,^HSI
Q2 1963,1935298266.45,0.04670054795658407,^HSI
Q3 1963,1935298266.45,0.04670054795658407,^HSI
Q4 1963,1935298266.45,0.04670054795658407,^HSI
Q1 1964,2206466461.26,0.033322144090020434,^HSI
Q2 1964,2206466461.26,0.033322144090020434,^HSI
Q3 1964,2206466461.26,0.033322144090020434,^HSI
Q4 1964,2206466461.26,0.033322144090020434,^HSI
Q1 1965,2435078534.03,0.024950573897839945,^HSI
Q2 1965,2435078534.03,0.024950573897839945,^HSI
Q3 1965,2435078534.03,0.024950573897839945,^HSI
Q4 1965,2435078534.03,0.024950573897839945,^HSI
Q1 1966,2489845016.65,0.005578152511197976,^HSI
Q2 1966,2489845016.65,0.005578152511197976,^HSI
Q3 1966,2489845016.65,0.005578152511197976,^HSI
Q4 1966,2489845016.65,0.005578152511197976,^HSI
Q1 1967,2692474989.13,0.01975675614749095,^HSI
Q2 1967,2692474989.13,0.01975675614749095,^HSI
Q3 1967,2692474989.13,0.01975675614749095,^HSI
Q4 1967,2692474989.13,0.01975675614749095,^HSI
Q1 1968,2716964388.42,0.002267277517335353,^HSI
Q2 1968,2716964388.42,0.002267277517335353,^HSI
Q3 1968,2716964388.42,0.002267277517335353,^HSI
Q4 1968,2716964388.42,0.002267277517335353,^HSI
Q1 1969,3189740055.14,0.040919211873103434,^HSI
Q2 1969,3189740055.14,0.040919211873103434,^HSI
Q3 1969,3189740055.14,0.040919211873103434,^HSI
Q4 1969,3189740055.14,0.040919211873103434,^HSI
Q1 1970,3800766535.62,0.04479870019043153,^HSI
Q2 1970,3800766535.62,0.04479870019043153,^HSI
Q3 1970,3800766535.62,0.04479870019043153,^HSI
Q4 1970,3800766535.62,0.04479870019043153,^HSI
Q1 1971,4476001946.01,0.04173838939208485,^HSI
Q2 1971,4476001946.01,0.04173838939208485,^HSI
Q3 1971,4476001946.01,0.04173838939208485,^HSI
Q4 1971,4476001946.01,0.04173838939208485,^HSI
Q1 1972,5710107420.14,0.06276474430656132,^HSI
Q2 1972,5710107420.14,0.06276474430656132,^HSI
Q3 1972,5710107420.14,0.06276474430656132,^HSI
Q4 1972,5710107420.14,0.06276474430656132,^HSI
Q1 1973,8030117555.62,0.0889789732712103,^HSI
Q2 1973,8030117555.62,0.0889789732712103,^HSI
Q3 1973,8030117555.62,0.0889789732712103,^HSI
Q4 1973,8030117555.62,0.0889789732712103,^HSI
Q1 1974,9388663645.76,0.03985360473148414,^HSI
Q2 1974,9388663645.76,0.03985360473148414,^HSI
Q3 1974,9388663645.76,0.03985360473148414,^HSI
Q4 1974,9388663645.76,0.03985360473148414,^HSI
Q1 1975,10048022369.91,0.05764607281661127,^HSI
Q2 1975,10048022369.91,0.05764607281661127,^HSI
