Quarter,Value,Percentage Change,index
Q1 1960,44307342950.4,,^N225
Q2 1960,44307342950.4,,^N225
Q3 1960,44307342950.4,,^N225
Q4 1960,44307342950.4,,^N225
Q1 1961,53508617739.38,0.0483100916116852,^N225
Q2 1961,53508617739.38,0.0483100916116852,^N225
Q3 1961,53508617739.38,0.0483100916116852,^N225
Q4 1961,53508617739.38,0.0483100916116852,^N225
Q1 1962,60723018683.73,0.03211913985104542,^N225
Q2 1962,60723018683.73,0.03211913985104542,^N225
Q3 1962,60723018683.73,0.03211913985104542,^N225
Q4 1962,60723018683.73,0.03211913985104542,^N225
Q1 1963,69498131797.33,0.03431768223468912,^N225
Q2 1963,69498131797.33,0.03431768223468912,^N225
Q3 1963,69498131797.33,0.03431768223468912,^N225
Q4 1963,69498131797.33,0.03431768223468912,^N225
Q1 1964,81749006381.51,0.04142865763887693,^N225
Q2 1964,81749006381.51,0.04142865763887693,^N225
Q3 1964,81749006381.51,0.04142865763887693,^N225
Q4 1964,81749006381.51,0.04142865763887693,^N225
Q1 1965,90950278257.78,0.027033864567055366,^N225
Q2 1965,90950278257.78,0.027033864567055366,^N225
Q3 1965,90950278257.78,0.027033864567055366,^N225
Q4 1965,90950278257.78,0.027033864567055366,^N225
Q1 1966,105628070343.11,0.03811497394464336,^N225
Q2 1966,105628070343.11,0.03811497394464336,^N225
Q3 1966,105628070343.11,0.03811497394464336,^N225
Q4 1966,105628070343.11,0.03811497394464336,^N225
Q1 1967,123781880217.6,0.040453411582829446,^N225
Q2 1967,123781880217.6,0.040453411582829446,^N225
Q3 1967,123781880217.6,0.040453411582829446,^N225
Q4 1967,123781880217.6,0.040453411582829446,^N225
Q1 1968,146601072685.51,0.043216865677037974,^N225
Q2 1968,146601072685.51,0.043216865677037974,^N225
Q3 1968,146601072685.51,0.043216865677037974,^N225
Q4 1968,146601072685.51,0.043216865677037974,^N225
Q1 1969,172204199480.89,0.041052182883740906,^N225
Q2 1969,172204199480.89,0.041052182883740906,^N225
Q3 1969,172204199480.89,0.041052182883740906,^N225
Q4 1969,172204199480.89,0.041052182883740906,^N225
Q1 1970,212609187919.44,0.05409940492425469,^N225
Q2 1970,212609187919.44,0.05409940492425469,^N225
Q3 1970,212609187919.44,0.05409940492425469,^N225
Q4 1970,212609187919.44,0.05409940492425469,^N225
Q1 1971,240151807460.24,0.03091191429486395,^N225
Q2 1971,240151807460.24,0.03091191429486395,^N225
Q3 1971,240151807460.24,0.03091191429486395,^N225
Q4 1971,240151807460.24,0.03091191429486395,^N225
Q1 1972,318031297492.35,0.07274523656954313,^N225
Q2 1972,318031297492.35,0.07274523656954313,^N225
Q3 1972,318031297492.35,0.07274523656954313,^N225
Q4 1972,318031297492.35,0.07274523656954313,^N225
Q1 1973,432082670450.72,0.07962492531743282,^N225
Q2 1973,432082670450.72,0.07962492531743282,^N225
Q3 1973,432082670450.72,0.07962492531743282,^N225
Q4 1973,432082670450.72,0.07962492531743282,^N225
Q1 1974,479625998613.41,0.026433327247938676,^N225
Q2 1974,479625998613.41,0.026433327247938676,^N225
Q3 1974,479625998613.41,0.026433327247938676,^N225
Q4 1974,479625998613.41,0.026433327247938676,^N225
Q1 1975,521541905673.25,0.04815815474468432,^N225
Q2 1975,521541905673.25,0.04815815474468432,^N225
Q3 1975,521541905673.25,0.04815815474468432,^N225
Q4 1975,521541905673.25,0.04815815474468432,^N225
Q1 1976,586161858999.67,0.02963173027520183,^N225
Q2 1976,586161858999.67,0.02963173027520183,^N225
Q3 1976,586161858999.67,0.02963173027520183,^N225
Q4 1976,586161858999.67,0.02963173027520183,^N225
Q1 1977,721411786536.81,0.053265963622499246,^N225
Q2 1977,721411786536.81,0.053265963622499246,^N225
Q3 1977,721411786536.81,0.053265963622499246,^N225
Q4 1977,721411786536.81,0.053265963622499246,^N225
Q1 1978,1013612173518.84,0.08872721979060016,^N225
Q2 1978,1013612173518.84,0.08872721979060016,^N225
Q3 1978,1013612173518.84,0.08872721979060016,^N225
Q4 1978,1013612173518.84,0.08872721979060016,^N225
Q1 1979,1055012119526.33,0.010047553132300768,^N225
Q2 1979,1055012119526.33,0.010047553132300768,^N225
Q3 1979,1055012119526.33,0.010047553132300768,^N225
Q4 1979,1055012119526.33,0.010047553132300768,^N225
Q1 1980,1105385973763.87,0.011717438939025548,^N225
Q2 1980,1105385973763.87,0.011717438939025548,^N225
Q3 1980,1105385973763.87,0.011717438939025548,^N225
Q4 1980,1105385973763.87,0.011717438939025548,^N225
Q1 1981,1218988935129.81,0.02476477663218213,^N225
Q2 1981,1218988935129.81,0.02476477663218213,^N225
Q3 1981,1218988935129.81,0.02476477663218213,^N225
Q4 1981,1218988935129.81,0.02476477663218213,^N225
Q1 1982,1134518001884.56,-0.017794348965411766,^N225
Q2 1982,1134518001884.56,-0.017794348965411766,^N225
Q3 1982,1134518001884.56,-0.017794348965411766,^N225
Q4 1982,1134518001884.56,-0.017794348965411766,^N225
Q1 1983,1243323592058.83,0.023158064587154303,^N225
Q2 1983,1243323592058.83,0.023158064587154303,^N225
Q3 1983,1243323592058.83,0.023158064587154303,^N225
Q4 1983,1243323592058.83,0.023158064587154303,^N225
Q1 1984,1318381627003.76,0.01476955657355039,^N225
Q2 1984,1318381627003.76,0.01476955657355039,^N225
Q3 1984,1318381627003.76,0.01476955657355039,^N225
Q4 1984,1318381627003.76,0.01476955657355039,^N225
Q1 1985,1398892744820.69,0.014936984646516605,^N225
Q2 1985,1398892744820.69,0.014936984646516605,^N225
Q3 1985,1398892744820.69,0.014936984646516605,^N225
Q4 1985,1398892744820.69,0.014936984646516605,^N225
Q1 1986,2078953333673.55,0.10410914886736533,^N225
Q2 1986,2078953333673.55,0.10410914886736533,^N225
Q3 1986,2078953333673.55,0.10410914886736533,^N225
Q4 1986,2078953333673.55,0.10410914886736533,^N225
Q1 1987,2532808573157.03,0.050602817247385135,^N225
Q2 1987,2532808573157.03,0.050602817247385135,^N225
Q3 1987,2532808573157.03,0.050602817247385135,^N225
Q4 1987,2532808573157.03,0.050602817247385135,^N225
Q1 1988,3071683013178.91,0.04941507128251987,^N225
Q2 1988,3071683013178.91,0.04941507128251987,^N225
Q3 1988,3071683013178.91,0.04941507128251987,^N225
Q4 1988,3071683013178.91,0.04941507128251987,^N225
Q1 1989,3054914166263.18,-0.0013778450706795065,^N225
Q2 1989,3054914166263.18,-0.0013778450706795065,^N225
Q3 1989,3054914166263.18,-0.0013778450706795065,^N225
Q4 1989,3054914166263.18,-0.0013778450706795065,^N225
Q1 1990,3132817652848.04,0.006314930257236728,^N225
Q2 1990,3132817652848.04,0.006314930257236728,^N225
Q3 1990,3132817652848.04,0.006314930257236728,^N225
Q4 1990,3132817652848.04,0.006314930257236728,^N225
Q1 1991,3584420077100.84,0.034249895906558026,^N225
Q2 1991,3584420077100.84,0.034249895906558026,^N225
Q3 1991,3584420077100.84,0.034249895906558026,^N225
Q4 1991,3584420077100.84,0.034249895906558026,^N225
Q1 1992,3908809463463.86,0.02189533711043068,^N225
Q2 1992,3908809463463.86,0.02189533711043068,^N225
Q3 1992,3908809463463.86,0.02189533711043068,^N225
Q4 1992,3908809463463.86,0.02189533711043068,^N225
Q1 1993,4454143876947.21,0.03318616573715838,^N225
Q2 1993,4454143876947.21,0.03318616573715838,^N225
Q3 1993,4454143876947.21,0.03318616573715838,^N225
Q4 1993,4454143876947.21,0.03318616573715838,^N225
Q1 1994,4998797547740.97,0.029265084893378868,^N225
Q2 1994,4998797547740.97,0.029265084893378868,^N225
Q3 1994,4998797547740.97,0.029265084893378868,^N225
Q4 1994,4998797547740.97,0.029265084893378868,^N225
Q1 1995,5545563663889.7,0.0262945919163593,^N225
Q2 1995,5545563663889.7,0.0262945919163593,^N225
Q3 1995,5545563663889.7,0.0262945919163593,^N225
Q4 1995,5545563663889.7,0.0262945919163593,^N225
Q1 1996,4923391533851.63,-0.02931395699467365,^N225
Q2 1996,4923391533851.63,-0.02931395699467365,^N225
Q3 1996,4923391533851.63,-0.02931395699467365,^N225
Q4 1996,4923391533851.63,-0.02931395699467365,^N225
Q1 1997,4492448605638.94,-0.022631769123254153,^N225
Q2 1997,4492448605638.94,-0.022631769123254153,^N225
Q3 1997,4492448605638.94,-0.022631769123254153,^N225
Q4 1997,4492448605638.94,-0.022631769123254153,^N225
Q1 1998,4098362709531.24,-0.022685327949160117,^N225
Q2 1998,4098362709531.24,-0.022685327949160117,^N225
Q3 1998,4098362709531.24,-0.022685327949160117,^N225
Q4 1998,4098362709531.24,-0.022685327949160117,^N225
Q1 1999,4635982224063.88,0.03129959954644912,^N225
Q2 1999,4635982224063.88,0.03129959954644912,^N225
Q3 1999,4635982224063.88,0.03129959954644912,^N225
Q4 1999,4635982224063.88,0.03129959954644912,^N225
Q1 2000,4968359075956.59,0.017462256384515262,^N225
Q2 2000,4968359075956.59,0.017462256384515262,^N225
Q3 2000,4968359075956.59,0.017462256384515262,^N225
Q4 2000,4968359075956.59,0.017462256384515262,^N225
Q1 2001,4374711694090.87,-0.03131552349816191,^N225
Q2 2001,4374711694090.87,-0.03131552349816191,^N225
Q3 2001,4374711694090.87,-0.03131552349816191,^N225
Q4 2001,4374711694090.87,-0.03131552349816191,^N225
Q1 2002,4182846045873.61,-0.011160447153548136,^N225
Q2 2002,4182846045873.61,-0.011160447153548136,^N225
Q3 2002,4182846045873.61,-0.011160447153548136,^N225
Q4 2002,4182846045873.61,-0.011160447153548136,^N225
Q1 2003,4519561645253.53,0.019544515613240332,^N225
Q2 2003,4519561645253.53,0.019544515613240332,^N225
Q3 2003,4519561645253.53,0.019544515613240332,^N225
Q4 2003,4519561645253.53,0.019544515613240332,^N225
Q1 2004,4893116005656.56,0.02006309204944645,^N225
Q2 2004,4893116005656.56,0.02006309204944645,^N225
Q3 2004,4893116005656.56,0.02006309204944645,^N225
Q4 2004,4893116005656.56,0.02006309204944645,^N225
Q1 2005,4831467035389.8,-0.0031649941022470207,^N225
Q2 2005,4831467035389.8,-0.0031649941022470207,^N225
Q3 2005,4831467035389.8,-0.0031649941022470207,^N225
Q4 2005,4831467035389.8,-0.0031649941022470207,^N225
Q1 2006,4601663122649.92,-0.012118513231233696,^N225
Q2 2006,4601663122649.92,-0.012118513231233696,^N225
Q3 2006,4601663122649.92,-0.012118513231233696,^N225
Q4 2006,4601663122649.92,-0.012118513231233696,^N225
Q1 2007,4579750920354.81,-0.0012021660680305857,^N225
Q2 2007,4579750920354.81,-0.0012021660680305857,^N225
Q3 2007,4579750920354.81,-0.0012021660680305857,^N225
