Quarter,Value,Percentage Change,index
Q1 1960,9522746719.22,,^SSMI
Q2 1960,9522746719.22,,^SSMI
Q3 1960,9522746719.22,,^SSMI
Q4 1960,9522746719.22,,^SSMI
Q1 1961,10712712465.05,0.02988357195355884,^SSMI
Q2 1961,10712712465.05,0.02988357195355884,^SSMI
Q3 1961,10712712465.05,0.02988357195355884,^SSMI
Q4 1961,10712712465.05,0.02988357195355884,^SSMI
Q1 1962,11879982758.56,0.02620207042865652,^SSMI
Q2 1962,11879982758.56,0.02620207042865652,^SSMI
Q3 1962,11879982758.56,0.02620207042865652,^SSMI
Q4 1962,11879982758.56,0.02620207042865652,^SSMI
Q1 1963,13063643795.79,0.02402057514166489,^SSMI
Q2 1963,13063643795.79,0.02402057514166489,^SSMI
Q3 1963,13063643795.79,0.02402057514166489,^SSMI
Q4 1963,13063643795.79,0.02402057514166489,^SSMI
Q1 1964,14480556571.55,0.02608638336628899,^SSMI
Q2 1964,14480556571.55,0.02608638336628899,^SSMI
Q3 1964,14480556571.55,0.02608638336628899,^SSMI
Q4 1964,14480556571.55,0.02608638336628899,^SSMI
Q1 1965,15346741669.76,0.0146259808079503,^SSMI
Q2 1965,15346741669.76,0.0146259808079503,^SSMI
Q3 1965,15346741669.76,0.0146259808079503,^SSMI
Q4 1965,15346741669.76,0.0146259808079503,^SSMI
Q1 1966,16480058704.85,0.01796032078579124,^SSMI
Q2 1966,16480058704.85,0.01796032078579124,^SSMI
Q3 1966,16480058704.85,0.01796032078579124,^SSMI
Q4 1966,16480058704.85,0.01796032078579124,^SSMI
Q1 1967,17740013179.26,0.01859961699343704,^SSMI
Q2 1967,17740013179.26,0.01859961699343704,^SSMI
Q3 1967,17740013179.26,0.01859961699343704,^SSMI
Q4 1967,17740013179.26,0.01859961699343704,^SSMI
Q1 1968,18942729779.1,0.01653533434188148,^SSMI
Q2 1968,18942729779.1,0.01653533434188148,^SSMI
Q3 1968,18942729779.1,0.01653533434188148,^SSMI
Q4 1968,18942729779.1,0.01653533434188148,^SSMI
Q1 1969,20524886616.48,0.020251469359793717,^SSMI
Q2 1969,20524886616.48,0.020251469359793717,^SSMI
Q3 1969,20524886616.48,0.020251469359793717,^SSMI
Q4 1969,20524886616.48,0.020251469359793717,^SSMI
Q1 1970,20524886616.48,0.020251469359793717,^SSMI
Q2 1970,20524886616.48,0.020251469359793717,^SSMI
Q3 1970,20524886616.48,0.020251469359793717,^SSMI
Q4 1970,20524886616.48,0.020251469359793717,^SSMI
Q1 1971,20524886616.48,0.020251469359793717,^SSMI
Q2 1971,20524886616.48,0.020251469359793717,^SSMI
Q3 1971,20524886616.48,0.020251469359793717,^SSMI
Q4 1971,20524886616.48,0.020251469359793717,^SSMI
Q1 1972,20524886616.48,0.020251469359793717,^SSMI
Q2 1972,20524886616.48,0.020251469359793717,^SSMI
Q3 1972,20524886616.48,0.020251469359793717,^SSMI
Q4 1972,20524886616.48,0.020251469359793717,^SSMI
Q1 1973,20524886616.48,0.020251469359793717,^SSMI
