Quarter,Value,Percentage Change,index
Q1 1960,73233967692.1,,^FTLC
Q2 1960,73233967692.1,,^FTLC
Q3 1960,73233967692.1,,^FTLC
Q4 1960,73233967692.1,,^FTLC
Q1 1961,77741965703.35,0.015056525416836442,^FTLC
Q2 1961,77741965703.35,0.015056525416836442,^FTLC
Q3 1961,77741965703.35,0.015056525416836442,^FTLC
Q4 1961,77741965703.35,0.015056525416836442,^FTLC
Q1 1962,81247564156.82,0.01108917778886842,^FTLC
Q2 1962,81247564156.82,0.01108917778886842,^FTLC
Q3 1962,81247564156.82,0.01108917778886842,^FTLC
Q4 1962,81247564156.82,0.01108917778886842,^FTLC
Q1 1963,86561961812.32,0.015963658044387596,^FTLC
Q2 1963,86561961812.32,0.015963658044387596,^FTLC
Q3 1963,86561961812.32,0.015963658044387596,^FTLC
Q4 1963,86561961812.32,0.015963658044387596,^FTLC
Q1 1964,94407558351.16,0.021918763524877205,^FTLC
Q2 1964,94407558351.16,0.021918763524877205,^FTLC
Q3 1964,94407558351.16,0.021918763524877205,^FTLC
Q4 1964,94407558351.16,0.021918763524877205,^FTLC
Q1 1965,101824755078.99,0.01909601647606185,^FTLC
Q2 1965,101824755078.99,0.01909601647606185,^FTLC
Q3 1965,101824755078.99,0.01909601647606185,^FTLC
Q4 1965,101824755078.99,0.01909601647606185,^FTLC
Q1 1966,108572752102.05,0.016178149732814395,^FTLC
Q2 1966,108572752102.05,0.016178149732814395,^FTLC
Q3 1966,108572752102.05,0.016178149732814395,^FTLC
Q4 1966,108572752102.05,0.016178149732814395,^FTLC
Q1 1967,113116888210.79,0.010314322020811062,^FTLC
Q2 1967,113116888210.79,0.010314322020811062,^FTLC
Q3 1967,113116888210.79,0.010314322020811062,^FTLC
Q4 1967,113116888210.79,0.010314322020811062,^FTLC
Q1 1968,107759910067.89,-0.012066654574042102,^FTLC
Q2 1968,107759910067.89,-0.012066654574042102,^FTLC
Q3 1968,107759910067.89,-0.012066654574042102,^FTLC
Q4 1968,107759910067.89,-0.012066654574042102,^FTLC
Q1 1969,116464702803.22,0.019615277185155877,^FTLC
Q2 1969,116464702803.22,0.019615277185155877,^FTLC
Q3 1969,116464702803.22,0.019615277185155877,^FTLC
Q4 1969,116464702803.22,0.019615277185155877,^FTLC
Q1 1970,130671946244.3,0.02919629524655254,^FTLC
Q2 1970,130671946244.3,0.02919629524655254,^FTLC
Q3 1970,130671946244.3,0.02919629524655254,^FTLC
Q4 1970,130671946244.3,0.02919629524655254,^FTLC
Q1 1971,148113896325.14,0.03182341997237215,^FTLC
Q2 1971,148113896325.14,0.03182341997237215,^FTLC
