Quarter,Value,index,Percentage Change
Q2 1985,100,^BVSP,0
Q3 1985,200,^BVSP,1
Q4 1985,400,^BVSP,1
Q1 1986,150,^BVSP,-0.625
Q2 1986,200,^BVSP,0.333333333
Q3 1986,100,^BVSP,-0.5
Q4 1986,60,^BVSP,-0.4
Q1 1987,160,^BVSP,1.666666667
Q2 1987,233.33,^BVSP,0.4583125
Q3 1987,316.67,^BVSP,0.357176531
Q4 1987,400,^BVSP,0.263144598
Q1 1988,400,^BVSP,0
Q2 1988,465,^BVSP,0.1625
Q3 1988,780,^BVSP,0.677419355
Q4 1988,1142.5,^BVSP,0.46474359
Q1 1989,933.85,^BVSP,-0.182625821
Q2 1989,1051.33,^BVSP,0.125801788
Q3 1989,1420.91,^BVSP,0.351535674
Q4 1989,2425.96,^BVSP,0.707328402
Q1 1990,6816.96,^BVSP,1.810005111
Q2 1990,4750.58,^BVSP,-0.303123386
Q3 1990,2685.48,^BVSP,-0.434704815
Q4 1990,1140.25,^BVSP,-0.57540179
Q1 1991,375.17,^BVSP,-0.670975663
Q2 1991,369.96,^BVSP,-0.013887038
Q3 1991,411.52,^BVSP,0.112336469
Q4 1991,497.32,^BVSP,0.208495334
Q1 1992,662.16,^BVSP,0.331456607
Q2 1992,937.94,^BVSP,0.416485442
Q3 1992,1130.94,^BVSP,0.205770092
Q4 1992,1161.79,^BVSP,0.027278193
Q1 1993,1316.42,^BVSP,0.133096343
Q2 1993,1581.7,^BVSP,0.201516233
Q3 1993,2031.27,^BVSP,0.284232155
Q4 1993,2693.84,^BVSP,0.326185096
Q1 1994,3828.49,^BVSP,0.421201705
Q2 1994,4005.08,^BVSP,0.046125235
Q3 1994,1703.17,^BVSP,-0.574747571
Q4 1994,631.54,^BVSP,-0.62919732
Q1 1995,169.05,^BVSP,-0.732320993
Q2 1995,27.45,^BVSP,-0.837622005
Q3 1995,24.21,^BVSP,-0.118032787
Q4 1995,21.97,^BVSP,-0.092523751
Q1 1996,19.17,^BVSP,-0.127446518
Q2 1996,14.84,^BVSP,-0.225873761
Q3 1996,12.02,^BVSP,-0.190026954
Q4 1996,9.39,^BVSP,-0.218801997
Q1 1997,8.58,^BVSP,-0.086261981
Q2 1997,6.08,^BVSP,-0.291375291
Q3 1997,5.42,^BVSP,-0.108552632
Q4 1997,4.73,^BVSP,-0.127306273
Q1 1998,3.85,^BVSP,-0.186046512
Q2 1998,3.06,^BVSP,-0.205194805
Q3 1998,2.05,^BVSP,-0.330065359
Q4 1998,1.65,^BVSP,-0.195121951
Q1 1999,3.35,^BVSP,1.03030303
Q2 1999,4.57,^BVSP,0.364179104
Q3 1999,7.5,^BVSP,0.641137856
Q4 1999,8.85,^BVSP,0.18
Q1 2000,6.77,^BVSP,-0.235028249
Q2 2000,7.06,^BVSP,0.042836041
Q3 2000,6.65,^BVSP,-0.058073654
Q4 2000,5.92,^BVSP,-0.109774436
Q1 2001,6.61,^BVSP,0.116554054
Q2 2001,7.05,^BVSP,0.066565809
Q3 2001,7.19,^BVSP,0.019858156
Q4 2001,7.62,^BVSP,0.059805285
Q1 2002,7.98,^BVSP,0.047244094
Q2 2002,7.51,^BVSP,-0.058897243
Q3 2002,8.45,^BVSP,0.125166445
Q4 2002,14.47,^BVSP,0.712426036
Q1 2003,16.77,^BVSP,0.158949551
Q2 2003,15.43,^BVSP,-0.079904592
Q3 2003,13.98,^BVSP,-0.09397278
Q4 2003,7.71,^BVSP,-0.448497854
Q1 2004,5.26,^BVSP,-0.317769131
Q2 2004,6.81,^BVSP,0.294676806
Q3 2004,6.86,^BVSP,0.007342144
Q4 2004,7.41,^BVSP,0.080174927
Q1 2005,8.07,^BVSP,0.089068826
Q2 2005,6.57,^BVSP,-0.185873606
Q3 2005,6.36,^BVSP,-0.03196347
Q4 2005,5.7,^BVSP,-0.103773585
Q1 2006,4.63,^BVSP,-0.187719298
Q2 2006,3.97,^BVSP,-0.142548596
Q3 2006,3.26,^BVSP,-0.17884131
Q4 2006,2.99,^BVSP,-0.082822086
Q1 2007,3,^BVSP,0.003344482
