Quarter,Value,index,Percentage Change
Q4 1981,14.03,^HSI,-0.117054751
Q1 1982,11.3,^HSI,-0.194583036
Q2 1982,10.46,^HSI,-0.074336283
Q3 1982,8.87,^HSI,-0.152007648
Q4 1982,7.94,^HSI,-0.104847802
Q1 1983,11.33,^HSI,0.426952141
Q2 1983,8.71,^HSI,-0.231244484
Q3 1983,12.22,^HSI,0.402985075
Q4 1983,12.13,^HSI,-0.007364975
Q1 1984,9.12,^HSI,-0.248145095
Q2 1984,9.76,^HSI,0.070175439
Q3 1984,4.62,^HSI,-0.526639344
Q4 1984,4.26,^HSI,-0.077922078
Q1 1985,4.18,^HSI,-0.018779343
Q2 1985,2.86,^HSI,-0.315789474
Q3 1985,3.47,^HSI,0.213286713
Q4 1985,3.14,^HSI,-0.095100865
Q1 1986,2.78,^HSI,-0.114649682
Q2 1986,4.32,^HSI,0.553956835
Q3 1986,3.96,^HSI,-0.083333333
Q4 1986,4.88,^HSI,0.232323232
Q1 1987,5.41,^HSI,0.108606557
Q2 1987,5.03,^HSI,-0.070240296
Q3 1987,6.45,^HSI,0.282306163
Q4 1987,6.4,^HSI,-0.007751938
Q1 1988,7.69,^HSI,0.2015625
Q2 1988,8.17,^HSI,0.062418726
Q3 1988,7.99,^HSI,-0.022031824
Q4 1988,9.84,^HSI,0.231539424
Q1 1989,10.05,^HSI,0.021341463
Q2 1989,10.68,^HSI,0.062686567
Q3 1989,10.46,^HSI,-0.020599251
Q4 1989,9.95,^HSI,-0.04875717
Q1 1990,9.62,^HSI,-0.033165829
Q2 1990,9.88,^HSI,0.027027027
Q3 1990,11.09,^HSI,0.122469636
Q4 1990,11.31,^HSI,0.019837692
Q1 1991,12.5,^HSI,0.105216622
Q2 1991,11.35,^HSI,-0.092
Q3 1991,10.4,^HSI,-0.083700441
Q4 1991,10.16,^HSI,-0.023076923
Q1 1992,9.16,^HSI,-0.098425197
Q2 1992,9.42,^HSI,0.028384279
Q3 1992,9.79,^HSI,0.039278132
Q4 1992,10.15,^HSI,0.036772217
Q1 1993,8.39,^HSI,-0.173399015
Q2 1993,8.61,^HSI,0.026221692
Q3 1993,8.92,^HSI,0.036004646
Q4 1993,7.2,^HSI,-0.192825112
Q1 1994,8.57,^HSI,0.190277778
Q2 1994,8.9,^HSI,0.038506418
Q3 1994,8.98,^HSI,0.008988764
Q4 1994,10.31,^HSI,0.148106904
Q1 1995,9.71,^HSI,-0.058195926
Q2 1995,9.06,^HSI,-0.066941298
Q3 1995,8.67,^HSI,-0.043046358
Q4 1995,6.66,^HSI,-0.23183391
Q1 1996,7.05,^HSI,0.058558559
Q2 1996,6.27,^HSI,-0.110638298
Q3 1996,5.72,^HSI,-0.087719298
Q4 1996,6.24,^HSI,0.090909091
Q1 1997,5.56,^HSI,-0.108974359
Q2 1997,6.28,^HSI,0.129496403
Q3 1997,5.66,^HSI,-0.098726115
Q4 1997,5.37,^HSI,-0.051236749
Q1 1998,4.77,^HSI,-0.111731844
Q2 1998,3.26,^HSI,-0.316561845
Q4 1998,-1.07,^HSI,-1.424603175
Q1 1999,-3.86,^HSI,2.607476636
Q2 1999,-5.61,^HSI,0.453367876
Q3 1999,-4.17,^HSI,-0.256684492
Q4 1999,-5.28,^HSI,0.26618705
Q1 2000,-4.37,^HSI,-0.172348485
Q2 2000,-3.22,^HSI,-0.263157895
Q3 2000,-3.11,^HSI,-0.034161491
Q4 2000,-1.52,^HSI,-0.511254019
Q1 2001,-1.4,^HSI,-0.078947368
Q2 2001,-0.9,^HSI,-0.357142857
Q3 2001,-1.15,^HSI,0.277777778
Q4 2001,-3.47,^HSI,2.017391304
Q1 2002,-3.09,^HSI,-0.109510086
Q2 2002,-3.48,^HSI,0.126213592
Q3 2002,-3.63,^HSI,0.043103448
Q4 2002,-1.6,^HSI,-0.55922865
Q1 2003,-1.73,^HSI,0.08125
Q2 2003,-4.01,^HSI,1.317919075
Q3 2003,-2.69,^HSI,-0.329177057
Q4 2003,-1.49,^HSI,-0.446096654
