Quarter,Value,index,Percentage Change
Q1 1961,1.52,^BSESN,1.338461538
Q2 1961,0.84,^BSESN,-0.447368421
Q3 1961,2.33,^BSESN,1.773809524
Q4 1961,3.45,^BSESN,0.480686695
Q1 1962,3.21,^BSESN,-0.069565217
Q2 1962,3.75,^BSESN,0.168224299
Q3 1962,4.76,^BSESN,0.269333333
Q4 1962,2.29,^BSESN,-0.518907563
Q1 1963,2.48,^BSESN,0.082969432
Q2 1963,2.41,^BSESN,-0.028225806
Q3 1963,2.96,^BSESN,0.228215768
Q4 1963,7.74,^BSESN,1.614864865
Q1 1964,9.9,^BSESN,0.279069767
Q2 1964,14.12,^BSESN,0.426262626
Q3 1964,18.23,^BSESN,0.291076487
Q4 1964,17.77,^BSESN,-0.025233132
Q1 1965,11.03,^BSESN,-0.37929094
Q2 1965,8.93,^BSESN,-0.190389846
Q3 1965,5.52,^BSESN,-0.381858903
Q4 1965,4.82,^BSESN,-0.126811594
Q1 1966,9.44,^BSESN,0.958506224
Q2 1966,11.99,^BSESN,0.270127119
Q3 1966,11.54,^BSESN,-0.037531276
Q4 1966,13.94,^BSESN,0.20797227
Q1 1967,15.43,^BSESN,0.106886657
Q2 1967,13.24,^BSESN,-0.141931303
Q3 1967,12.97,^BSESN,-0.020392749
Q4 1967,11.69,^BSESN,-0.098689283
Q1 1968,5.9,^BSESN,-0.495295124
Q3 1968,1.47,^BSESN,0.065217391
Q4 1968,-5.54,^BSESN,-4.768707483
Q1 1969,-2.23,^BSESN,-0.597472924
Q2 1969,2.86,^BSESN,-2.282511211
Q3 1969,-1.08,^BSESN,-1.624277457
Q4 1969,4.2,^BSESN,-4.888888889
Q1 1970,5.82,^BSESN,0.385714286
Q2 1970,3.87,^BSESN,-0.335051546
Q3 1970,6.2,^BSESN,0.602067183
Q4 1970,3.91,^BSESN,-0.369354839
Q1 1971,1.67,^BSESN,-0.572890026
Q2 1971,2.21,^BSESN,0.323353293
Q3 1971,3.67,^BSESN,0.660633484
Q4 1971,5.41,^BSESN,0.474114441
Q1 1972,6,^BSESN,0.109057301
Q2 1972,7.86,^BSESN,0.31
Q3 1972,6.63,^BSESN,-0.15648855
Q4 1972,8.26,^BSESN,0.245852187
Q1 1973,13.32,^BSESN,0.612590799
Q2 1973,18.48,^BSESN,0.387387387
Q3 1973,21.55,^BSESN,0.166125541
Q4 1973,25.67,^BSESN,0.191183295
Q1 1974,28.01,^BSESN,0.091156993
Q2 1974,28.07,^BSESN,0.002142092
Q3 1974,31.88,^BSESN,0.135732098
Q4 1974,23.54,^BSESN,-0.261606023
Q1 1975,14.15,^BSESN,-0.398895497
Q2 1975,4.18,^BSESN,-0.70459364
Q3 1975,-5.62,^BSESN,-1.625139043
Q4 1975,-8.57,^BSESN,0.524911032
