Quarter,Value,index,Percentage Change
Q1 1961,4.64,^N225,0.240641711
Q2 1961,5.42,^N225,0.168103448
Q3 1961,6.88,^N225,0.269372694
Q4 1961,8.2,^N225,0.191860465
Q1 1962,7.8,^N225,-0.048780488
Q2 1962,7.81,^N225,0.001282051
Q3 1962,4.6,^N225,-0.411011524
Q4 1962,5.95,^N225,0.293478261
Q1 1963,6.43,^N225,0.080672269
Q2 1963,6.15,^N225,-0.043545879
Q3 1963,7.08,^N225,0.151219512
Q4 1963,3.73,^N225,-0.473163842
Q1 1964,3.91,^N225,0.048257373
Q2 1964,2.65,^N225,-0.322250639
Q3 1964,5.57,^N225,1.101886792
Q4 1964,6.87,^N225,0.233393178
Q1 1965,7.95,^N225,0.15720524
Q2 1965,6.9,^N225,-0.132075472
Q3 1965,5.89,^N225,-0.146376812
Q4 1965,5.2,^N225,-0.117147708
Q1 1966,4.98,^N225,-0.042307692
Q2 1966,6.15,^N225,0.234939759
Q3 1966,3.91,^N225,-0.364227642
Q4 1966,4.56,^N225,0.166240409
Q1 1967,3.13,^N225,-0.313596491
Q2 1967,1.99,^N225,-0.364217252
Q3 1967,5.17,^N225,1.59798995
Q4 1967,5.29,^N225,0.023210832
Q1 1968,5.24,^N225,-0.009451796
Q2 1968,5.68,^N225,0.083969466
Q3 1968,4.74,^N225,-0.165492958
Q4 1968,3.44,^N225,-0.274261603
Q1 1969,4.63,^N225,0.345930233
Q2 1969,7.14,^N225,0.542116631
Q3 1969,5.97,^N225,-0.163865546
Q4 1969,7.75,^N225,0.298157454
Q1 1970,7.68,^N225,-0.009032258
Q2 1970,5.75,^N225,-0.251302083
Q3 1970,6.56,^N225,0.140869565
Q4 1970,6.27,^N225,-0.044207317
Q1 1971,5.83,^N225,-0.070175439
Q2 1971,6.82,^N225,0.169811321
Q3 1971,6.62,^N225,-0.029325513
Q4 1971,4.04,^N225,-0.389728097
Q1 1972,5.2,^N225,0.287128713
Q2 1972,4.86,^N225,-0.065384615
Q3 1972,4.14,^N225,-0.148148148
Q4 1972,6.57,^N225,0.586956522
Q1 1973,9.3,^N225,0.415525114
Q2 1973,11.88,^N225,0.277419355
Q3 1973,14.2,^N225,0.195286195
Q4 1973,22.13,^N225,0.558450704
Q1 1974,23.4,^N225,0.057388161
Q2 1974,23.83,^N225,0.018376068
Q3 1974,24.63,^N225,0.033571129
Q4 1974,17.43,^N225,-0.292326431
Q1 1975,13.36,^N225,-0.23350545
Q2 1975,11.09,^N225,-0.16991018
Q3 1975,9.58,^N225,-0.136158702
Q4 1975,8.79,^N225,-0.082463466
Q1 1976,9.51,^N225,0.081911263
Q2 1976,9.79,^N225,0.029442692
Q3 1976,8.74,^N225,-0.107252298
Q4 1976,9.34,^N225,0.068649886
Q1 1977,8.68,^N225,-0.070663812
Q2 1977,7.72,^N225,-0.110599078
Q3 1977,7.71,^N225,-0.001295337
Q4 1977,4.6,^N225,-0.403372244
Q1 1978,4.31,^N225,-0.063043478
Q2 1978,4.46,^N225,0.034802784
Q3 1978,3.58,^N225,-0.197309417
Q4 1978,3.61,^N225,0.008379888
Q1 1979,2.91,^N225,-0.193905817
Q2 1979,4.42,^N225,0.518900344
Q3 1979,4.35,^N225,-0.015837104
Q4 1979,6.52,^N225,0.498850575
Q1 1980,8.04,^N225,0.233128834
Q2 1980,7.45,^N225,-0.073383085
Q3 1980,7.63,^N225,0.024161074
Q4 1980,7.4,^N225,-0.030144168
Q1 1981,4.96,^N225,-0.32972973
Q2 1981,4.35,^N225,-0.122983871
Q3 1981,4.14,^N225,-0.048275862
Q4 1981,3.18,^N225,-0.231884058
Q1 1982,3.02,^N225,-0.050314465
Q2 1982,1.95,^N225,-0.354304636
Q3 1982,3.08,^N225,0.579487179
Q4 1982,2.18,^N225,-0.292207792
Q1 1983,2.04,^N225,-0.064220183
Q2 1983,2.3,^N225,0.12745098
Q3 1983,1.49,^N225,-0.352173913
Q4 1983,1.88,^N225,0.261744966
Q1 1984,2.25,^N225,0.196808511
Q2 1984,2.5,^N225,0.111111111
Q3 1984,2.09,^N225,-0.164
Q4 1984,2.59,^N225,0.23923445
Q1 1985,2.32,^N225,-0.104247104
Q2 1985,2.44,^N225,0.051724138
Q3 1985,1.92,^N225,-0.213114754
Q4 1985,1.56,^N225,-0.1875
Q1 1986,0.95,^N225,-0.391025641
Q2 1986,0.12,^N225,-0.873684211
Q3 1986,-0.35,^N225,-3.916666667
Q4 1986,-1.07,^N225,-3.229166667
Q1 1987,0.12,^N225,-1.112149533
Q2 1987,0.12,^N225,-1.255319149
Q3 1987,0.71,^N225,4.916666667
Q4 1987,0.84,^N225,0.183098592
Q1 1988,0.24,^N225,-0.714285714
Q2 1988,0.47,^N225,0.958333333
Q3 1988,1.06,^N225,1.255319149
Q4 1988,1.19,^N225,0.122641509
Q1 1989,2.36,^N225,0.983193277
Q2 1989,2.95,^N225,0.25
Q3 1989,2.91,^N225,-0.013559322
Q4 1989,3.28,^N225,0.127147766
Q1 1990,2.76,^N225,-0.158536585
Q2 1990,2.29,^N225,-0.170289855
Q3 1990,3.05,^N225,0.331877729
Q4 1990,3.97,^N225,0.301639344
Q1 1991,3.36,^N225,-0.153652393
Q2 1991,3.48,^N225,0.035714286
Q3 1991,2.74,^N225,-0.212643678
Q4 1991,1.75,^N225,-0.361313869
Q1 1992,2.49,^N225,0.422857143
Q2 1992,1.63,^N225,-0.345381526
Q3 1992,0.96,^N225,-0.411042945
Q4 1992,1.29,^N225,0.34375
Q1 1993,0.85,^N225,-0.341085271
Q2 1993,1.92,^N225,1.258823529
Q3 1993,1.37,^N225,-0.286458333
Q4 1993,1.17,^N225,-0.145985401
Q1 1994,0.84,^N225,-0.282051282
Q2 1994,-0.21,^N225,-1.25
Q3 1994,0.73,^N225,0.403846154
Q4 1994,0.63,^N225,-0.136986301
Q1 1995,-0.21,^N225,-1.333333333
Q2 1995,0.21,^N225,-2
Q3 1995,-0.62,^N225,-3.952380952
Q4 1995,-0.52,^N225,-0.161290323
Q1 1996,0.21,^N225,-1.403846154
Q2 1996,0.42,^N225,-5.2
Q3 1996,0.52,^N225,1.476190476
Q4 1996,0.63,^N225,0.211538462
Q1 1997,1.87,^N225,1.968253968
Q2 1997,1.87,^N225,0
Q3 1997,2.49,^N225,0.331550802
Q4 1997,1.77,^N225,-0.289156627
Q1 1998,0.41,^N225,-0.768361582
Q2 1998,-0.1,^N225,-1.243902439
Q3 1998,0.2,^N225,-3
Q4 1998,0.2,^N225,0
Q1 1999,-0.1,^N225,-1.5
Q2 1999,-0.1,^N225,0
Q3 1999,-0.71,^N225,6.1
Q4 1999,-0.71,^N225,0
Q1 2000,-0.81,^N225,0.14084507
Q2 2000,-0.51,^N225,-0.37037037
Q3 2000,-1.12,^N225,1.196078431
Q4 2000,-0.31,^N225,-0.723214286
Q1 2001,-0.72,^N225,1.322580645
Q2 2001,-0.72,^N225,0
Q3 2001,-0.72,^N225,0
Q4 2001,-1.34,^N225,0.861111111
Q1 2002,-1.03,^N225,-0.231343284
Q2 2002,-0.83,^N225,-0.194174757
Q3 2002,-0.93,^N225,0.120481928
Q4 2002,-0.42,^N225,-0.548387097
Q1 2003,-0.1,^N225,-0.761904762
Q2 2003,-0.21,^N225,1.1
Q4 2003,-0.31,^N225,0.476190476
Q1 2004,-0.42,^N225,0
Q2 2004,-0.1,^N225,0
Q3 2004,0.52,^N225,-2
Q4 2004,0.21,^N225,-0.596153846
Q1 2005,0.1,^N225,-0.523809524
Q2 2005,-0.31,^N225,-4.1
Q3 2005,-0.83,^N225,1.677419355
Q4 2005,-0.1,^N225,-0.879518072
Q1 2006,-0.1,^N225,0
Q2 2006,0.32,^N225,-4.2
Q3 2006,0.42,^N225,0.3125
Q3 2007,0.21,^N225,-2
Q4 2007,0.74,^N225,2.523809524
Q1 2008,0.73,^N225,-0.013513514
Q2 2008,2.31,^N225,2.164383562
Q3 2008,1.77,^N225,-0.233766234
Q2 2009,-2.26,^N225,9.761904762
Q3 2009,-2.56,^N225,0.132743363
Q4 2009,-1.04,^N225,-0.59375
Q1 2010,-0.94,^N225,-0.096153846
Q2 2010,-0.94,^N225,0
Q3 2010,-0.21,^N225,-0.776595745
Q4 2010,-0.53,^N225,1.523809524
Q1 2011,-0.42,^N225,-0.20754717
Q2 2011,0.21,^N225,-1.5
Q3 2011,-0.21,^N225,-0.34375
Q4 2011,0.11,^N225,-1.523809524
Q1 2012,0.53,^N225,3.818181818
Q2 2012,-0.53,^N225,-2
Q3 2012,-0.42,^N225,-0.20754717
Q4 2012,-0.32,^N225,-0.238095238
Q1 2013,-0.74,^N225,1.3125
Q2 2013,0.74,^N225,-2
Q3 2013,1.17,^N225,0.581081081
Q4 2013,1.38,^N225,0.179487179
Q1 2014,3.39,^N225,1.456521739
Q2 2014,3.48,^N225,0.026548673
Q3 2014,2.83,^N225,-0.186781609
Q4 2014,2.41,^N225,-0.148409894
Q1 2015,0.72,^N225,-0.701244813
Q2 2015,0.2,^N225,-0.722222222
Q3 2015,0.31,^N225,-0.243902439
Q4 2015,-0.1,^N225,-1.322580645
Q1 2016,-0.3,^N225,-2.5
Q2 2016,-0.41,^N225,0.366666667
Q3 2016,0.1,^N225,-1.243902439
Q4 2016,0.51,^N225,4.1
Q1 2017,0.41,^N225,-0.196078431
Q2 2017,0.41,^N225,0
Q3 2017,0.2,^N225,-0.512195122
Q4 2017,1.32,^N225,5.6
Q1 2018,0.61,^N225,-0.537878788
Q2 2018,0.92,^N225,0.508196721
Q3 2018,1.42,^N225,0.543478261
Q4 2018,0.2,^N225,-0.85915493
Q1 2019,0.91,^N225,3.55
Q2 2019,0.6,^N225,-0.340659341
Q3 2019,0.2,^N225,-0.666666667
Q4 2019,0.8,^N225,3
Q1 2020,0.2,^N225,-0.75
Q2 2020,0.2,^N225,0
Q3 2020,-0.6,^N225,-4
Q4 2020,-0.7,^N225,0.166666667
Q1 2021,-1.1,^N225,0.571428571
Q2 2021,-0.3,^N225,-0.727272727
Q3 2021,0.1,^N225,-1.333333333
Q4 2021,0.5,^N225,4
Q1 2022,2.42,^N225,3.84
