Quarter,Value,index,Percentage Change
Q1 1961,1.15,^SSMI,-0.350282486
Q2 1961,1.47,^SSMI,0.27826087
Q3 1961,1.9,^SSMI,0.292517007
Q4 1961,3.91,^SSMI,1.057894737
Q1 1962,4.78,^SSMI,0.222506394
Q2 1962,4.99,^SSMI,0.043933054
Q3 1962,4.09,^SSMI,-0.180360721
Q4 1962,3.45,^SSMI,-0.156479218
Q1 1963,3.32,^SSMI,-0.037681159
Q2 1963,3.02,^SSMI,-0.090361446
Q3 1963,3.82,^SSMI,0.264900662
Q4 1963,3.63,^SSMI,-0.04973822
Q1 1964,3.71,^SSMI,0.022038567
Q2 1964,3.07,^SSMI,-0.172506739
Q3 1964,2.8,^SSMI,-0.087947883
Q4 1964,2.34,^SSMI,-0.164285714
Q1 1965,2.22,^SSMI,-0.051282051
Q2 1965,3.56,^SSMI,0.603603604
Q3 1965,4.01,^SSMI,0.126404494
Q4 1965,5.38,^SSMI,0.341645885
Q1 1966,5.2,^SSMI,-0.033457249
Q2 1966,4.56,^SSMI,-0.123076923
Q3 1966,4,^SSMI,-0.122807018
Q4 1966,4.34,^SSMI,0.085
Q1 1967,3.64,^SSMI,-0.161290323
Q2 1967,4.67,^SSMI,0.282967033
Q3 1967,3.93,^SSMI,-0.158458244
Q4 1967,3.37,^SSMI,-0.142493639
Q1 1968,3.21,^SSMI,-0.047477745
Q2 1968,1.34,^SSMI,-0.582554517
Q3 1968,2.21,^SSMI,0.649253731
Q4 1968,2.27,^SSMI,0.027149321
Q1 1969,2.37,^SSMI,0.044052863
Q2 1969,3.03,^SSMI,0.278481013
Q3 1969,2.35,^SSMI,-0.224422442
Q4 1969,2.31,^SSMI,-0.017021277
Q1 1970,2.59,^SSMI,0.121212121
Q2 1970,3.4,^SSMI,0.312741313
Q3 1970,4.86,^SSMI,0.429411765
Q4 1970,5.79,^SSMI,0.191358025
Q1 1971,6.87,^SSMI,0.186528497
Q2 1971,6.75,^SSMI,-0.017467249
Q3 1971,6.56,^SSMI,-0.028148148
Q4 1971,6.66,^SSMI,0.015243902
Q1 1972,6.34,^SSMI,-0.048048048
Q2 1972,6.41,^SSMI,0.011041009
Q3 1972,7.31,^SSMI,0.140405616
Q4 1972,7.37,^SSMI,0.008207934
Q1 1973,8.35,^SSMI,0.132971506
Q2 1973,8.29,^SSMI,-0.007185629
Q3 1973,9.49,^SSMI,0.144752714
Q4 1973,11.57,^SSMI,0.219178082
Q1 1974,8.73,^SSMI,-0.245462403
Q2 1974,9.82,^SSMI,0.124856816
Q3 1974,9.79,^SSMI,-0.00305499
Q4 1974,7.29,^SSMI,-0.255362615
Q1 1975,9.25,^SSMI,0.268861454
Q2 1975,7.43,^SSMI,-0.196756757
Q3 1975,4.84,^SSMI,-0.34858681
Q4 1975,3.43,^SSMI,-0.291322314
Q1 1976,2.22,^SSMI,-0.352769679
Q2 1976,1.47,^SSMI,-0.337837838
Q3 1976,1.03,^SSMI,-0.299319728
Q4 1976,0.9,^SSMI,-0.126213592
Q1 1977,1.15,^SSMI,0.277777778
Q2 1977,1.63,^SSMI,0.417391304
Q3 1977,1.53,^SSMI,-0.061349693
Q4 1977,1.02,^SSMI,-0.333333333
Q1 1978,1.42,^SSMI,0.392156863
Q2 1978,1.06,^SSMI,-0.253521127
Q3 1978,0.4,^SSMI,-0.622641509
Q4 1978,1.1,^SSMI,1.75
Q1 1979,2.58,^SSMI,1.345454545
Q2 1979,4.36,^SSMI,0.689922481
Q3 1979,4.97,^SSMI,0.139908257
Q4 1979,5.03,^SSMI,0.012072435
Q1 1980,4.07,^SSMI,-0.190854871
Q2 1980,3.32,^SSMI,-0.184275184
Q3 1980,3.69,^SSMI,0.111445783
Q4 1980,5.17,^SSMI,0.401084011
Q1 1981,5.67,^SSMI,0.096711799
Q2 1981,6.52,^SSMI,0.149911817
Q3 1981,7.31,^SSMI,0.121165644
Q4 1981,6.07,^SSMI,-0.169630643
Q1 1982,5.54,^SSMI,-0.087314662
Q2 1982,6.03,^SSMI,0.088447653
Q3 1982,6.13,^SSMI,0.016583748
Q4 1982,4.81,^SSMI,-0.215334421
Q1 1983,4.52,^SSMI,-0.06029106
Q2 1983,2.19,^SSMI,-0.515486726
Q3 1983,1.44,^SSMI,-0.342465753
Q4 1983,2.66,^SSMI,0.847222222
Q1 1984,3.19,^SSMI,0.19924812
Q2 1984,2.81,^SSMI,-0.119122257
Q3 1984,3.11,^SSMI,0.106761566
Q4 1984,3.54,^SSMI,0.138263666
Q1 1985,3.63,^SSMI,0.025423729
Q2 1985,3.35,^SSMI,-0.077134986
Q3 1985,2.95,^SSMI,-0.119402985
Q4 1985,2.2,^SSMI,-0.254237288
Q1 1986,0.97,^SSMI,-0.559090909
Q2 1986,0.51,^SSMI,-0.474226804
Q3 1986,0.36,^SSMI,-0.294117647
Q4 1986,0.66,^SSMI,0.833333333
Q1 1987,1.18,^SSMI,0.787878788
Q2 1987,1.78,^SSMI,0.508474576
Q3 1987,1.98,^SSMI,0.112359551
Q4 1987,1.56,^SSMI,-0.212121212
Q1 1988,1.92,^SSMI,0.230769231
Q2 1988,1.81,^SSMI,-0.057291667
Q3 1988,1.75,^SSMI,-0.033149171
Q4 1988,2.25,^SSMI,0.285714286
Q1 1989,2.64,^SSMI,0.173333333
Q2 1989,2.98,^SSMI,0.128787879
Q3 1989,3.63,^SSMI,0.218120805
Q4 1989,5.06,^SSMI,0.393939394
Q1 1990,4.62,^SSMI,-0.086956522
Q2 1990,5.31,^SSMI,0.149350649
Q3 1990,6.35,^SSMI,0.195856874
Q4 1990,5.51,^SSMI,-0.132283465
Q1 1991,5.9,^SSMI,0.070780399
Q2 1991,6.55,^SSMI,0.110169492
Q3 1991,5.13,^SSMI,-0.216793893
Q4 1991,4.87,^SSMI,-0.050682261
Q1 1992,4.78,^SSMI,-0.018480493
Q2 1992,3.82,^SSMI,-0.20083682
Q3 1992,3.53,^SSMI,-0.07591623
Q4 1992,3.46,^SSMI,-0.019830028
Q1 1993,3.79,^SSMI,0.095375723
Q2 1993,3.39,^SSMI,-0.105540897
Q3 1993,3.37,^SSMI,-0.005899705
Q4 1993,2.08,^SSMI,-0.382789318
Q1 1994,1.05,^SSMI,-0.495192308
Q2 1994,0.59,^SSMI,-0.438095238
Q3 1994,0.43,^SSMI,-0.271186441
Q4 1994,1.01,^SSMI,1.348837209
Q1 1995,1.6,^SSMI,0.584158416
Q2 1995,2.03,^SSMI,0.26875
Q3 1995,1.97,^SSMI,-0.02955665
Q4 1995,1.52,^SSMI,-0.228426396
Q1 1996,0.91,^SSMI,-0.401315789
Q2 1996,0.66,^SSMI,-0.274725275
Q3 1996,0.84,^SSMI,0.272727273
Q4 1996,0.83,^SSMI,-0.011904762
Q1 1997,0.52,^SSMI,-0.373493976
Q2 1997,0.51,^SSMI,-0.019230769
Q3 1997,0.26,^SSMI,-0.490196078
Q4 1997,0.02,^SSMI,-0.923076923
Q1 1998,-0.02,^SSMI,-2
Q2 1998,0.08,^SSMI,-5
Q3 1998,0.03,^SSMI,-0.625
Q4 1998,0.07,^SSMI,1.333333333
Q1 1999,0.59,^SSMI,7.428571429
Q2 1999,0.73,^SSMI,0.237288136
Q3 1999,1.24,^SSMI,0.698630137
Q4 1999,1.59,^SSMI,0.282258065
Q1 2000,1.4,^SSMI,-0.119496855
Q2 2000,1.89,^SSMI,0.35
Q3 2000,1.33,^SSMI,-0.296296296
Q4 2000,1.3,^SSMI,-0.022556391
Q1 2001,1.17,^SSMI,-0.1
Q2 2001,1.35,^SSMI,0.153846154
Q3 2001,0.63,^SSMI,-0.533333333
Q4 2001,0.52,^SSMI,-0.174603175
Q1 2002,1.1,^SSMI,1.115384615
Q2 2002,-0.05,^SSMI,-1.045454545
Q3 2002,1.24,^SSMI,-25.8
Q4 2002,0.85,^SSMI,-0.314516129
Q1 2003,0.67,^SSMI,-0.211764706
Q2 2003,0.27,^SSMI,-0.597014925
Q3 2003,0.45,^SSMI,0.666666667
Q4 2003,0.17,^SSMI,-0.622222222
Q1 2004,0.55,^SSMI,2.235294118
Q2 2004,0.86,^SSMI,0.563636364
Q3 2004,1.29,^SSMI,0.5
Q4 2004,1.2,^SSMI,-0.069767442
Q1 2005,1.42,^SSMI,0.183333333
Q2 2005,1.19,^SSMI,-0.161971831
Q3 2005,1.33,^SSMI,0.117647059
Q4 2005,1.29,^SSMI,-0.030075188
Q1 2006,1.06,^SSMI,-0.178294574
Q2 2006,1.42,^SSMI,0.339622642
Q3 2006,0.26,^SSMI,-0.816901408
Q4 2006,0.1,^SSMI,-0.615384615
Q1 2007,0.45,^SSMI,3.5
Q2 2007,0.72,^SSMI,0.6
Q3 2007,1.26,^SSMI,0.75
Q4 2007,2.43,^SSMI,0.928571429
Q1 2008,2.28,^SSMI,-0.061728395
Q2 2008,3.07,^SSMI,0.346491228
Q3 2008,2.6,^SSMI,-0.153094463
Q4 2008,0.14,^SSMI,-0.946153846
Q1 2009,-0.33,^SSMI,-3.357142857
Q2 2009,-1.18,^SSMI,2.575757576
