Quarter,Value,index,Percentage Change
Q1 1961,2.72,^FTLC,0.247706422
Q2 1961,3.15,^FTLC,0.158088235
Q3 1961,3.86,^FTLC,0.225396825
Q4 1961,4.63,^FTLC,0.199481865
Q1 1962,5.68,^FTLC,0.226781857
Q2 1962,5.09,^FTLC,-0.103873239
Q3 1962,2.98,^FTLC,-0.41453831
Q4 1962,2.7,^FTLC,-0.093959732
Q1 1963,2.06,^FTLC,-0.237037037
Q2 1963,0.78,^FTLC,-0.621359223
Q3 1963,2.27,^FTLC,1.91025641
Q4 1963,1.95,^FTLC,-0.140969163
Q1 1964,2.02,^FTLC,0.035897436
Q2 1964,3.97,^FTLC,0.965346535
Q3 1964,4.05,^FTLC,0.020151134
Q4 1964,4.58,^FTLC,0.130864198
Q1 1965,5.56,^FTLC,0.213973799
Q2 1965,4.93,^FTLC,-0.113309353
Q3 1965,4.82,^FTLC,-0.022312373
Q4 1965,4.38,^FTLC,-0.091286307
Q1 1966,3.57,^FTLC,-0.184931507
Q2 1966,3.46,^FTLC,-0.030812325
Q3 1966,3.8,^FTLC,0.098265896
Q4 1966,3.67,^FTLC,-0.034210526
Q1 1967,3.02,^FTLC,-0.177111717
Q2 1967,2.23,^FTLC,-0.261589404
Q3 1967,1.96,^FTLC,-0.121076233
Q4 1967,2.62,^FTLC,0.336734694
Q1 1968,4.44,^FTLC,0.694656489
Q2 1968,5.29,^FTLC,0.191441441
Q3 1968,5.6,^FTLC,0.058601134
Q4 1968,6.17,^FTLC,0.101785714
Q1 1969,5.53,^FTLC,-0.103727715
Q2 1969,5.26,^FTLC,-0.048824593
Q3 1969,5.38,^FTLC,0.022813688
Q4 1969,4.96,^FTLC,-0.078066914
Q1 1970,5.62,^FTLC,0.133064516
Q2 1970,6.66,^FTLC,0.185053381
Q3 1970,7.36,^FTLC,0.105105105
Q4 1970,8.49,^FTLC,0.153532609
Q1 1971,9.42,^FTLC,0.109540636
Q2 1971,10.15,^FTLC,0.077494692
Q3 1971,9.37,^FTLC,-0.076847291
Q4 1971,8.16,^FTLC,-0.129135539
Q1 1972,6.31,^FTLC,-0.226715686
Q2 1972,5.8,^FTLC,-0.080824089
Q3 1972,7.86,^FTLC,0.355172414
Q4 1972,7.74,^FTLC,-0.015267176
Q1 1973,9.21,^FTLC,0.189922481
Q2 1973,9.44,^FTLC,0.024972856
Q3 1973,9.9,^FTLC,0.048728814
Q4 1973,11.97,^FTLC,0.209090909
Q1 1974,15.17,^FTLC,0.267335004
Q2 1974,17.09,^FTLC,0.12656559
Q3 1974,17.11,^FTLC,0.001170275
Q4 1974,19.9,^FTLC,0.163062537
Q1 1975,21.68,^FTLC,0.089447236
Q2 1975,26.25,^FTLC,0.210793358
Q3 1975,25.88,^FTLC,-0.014095238
Q4 1975,23.35,^FTLC,-0.097758887
Q1 1976,18.9,^FTLC,-0.190578158
Q2 1976,12.85,^FTLC,-0.32010582
Q3 1976,14.74,^FTLC,0.147081712
Q4 1976,16.57,^FTLC,0.124151967
Q1 1977,17.46,^FTLC,0.053711527
Q2 1977,17.59,^FTLC,0.00744559
Q3 1977,14.07,^FTLC,-0.200113701
Q4 1977,9.92,^FTLC,-0.294953802
Q1 1978,7.93,^FTLC,-0.200604839
Q2 1978,7.78,^FTLC,-0.018915511
Q3 1978,7.83,^FTLC,0.006426735
Q4 1978,9.34,^FTLC,0.19284802
Q1 1979,10.07,^FTLC,0.078158458
Q2 1979,15.65,^FTLC,0.554121152
Q3 1979,17.16,^FTLC,0.096485623
Q4 1979,18.39,^FTLC,0.071678322
Q1 1980,21.76,^FTLC,0.183251767
Q2 1980,16.94,^FTLC,-0.221507353
Q3 1980,15.41,^FTLC,-0.090318772
Q4 1980,13.05,^FTLC,-0.153147307
Q1 1981,12.04,^FTLC,-0.077394636
Q2 1981,10.9,^FTLC,-0.094684385
Q3 1981,11.7,^FTLC,0.073394495
Q4 1981,12.01,^FTLC,0.026495726
Q1 1982,9.41,^FTLC,-0.216486261
Q2 1982,8.72,^FTLC,-0.073326249
Q3 1982,6.85,^FTLC,-0.214449541
Q4 1982,4.93,^FTLC,-0.280291971
Q1 1983,4,^FTLC,-0.188640974
Q2 1983,4.18,^FTLC,0.045
Q3 1983,4.99,^FTLC,0.193779904
Q4 1983,5.12,^FTLC,0.026052104
Q1 1984,5.17,^FTLC,0.009765625
Q2 1984,4.46,^FTLC,-0.137330754
Q3 1984,4.99,^FTLC,0.118834081
Q4 1984,5.02,^FTLC,0.006012024
Q1 1985,6.95,^FTLC,0.384462151
Q2 1985,6.85,^FTLC,-0.014388489
Q3 1985,5.44,^FTLC,-0.205839416
Q4 1985,5.48,^FTLC,0.007352941
Q1 1986,3.06,^FTLC,-0.441605839
Q2 1986,2.42,^FTLC,-0.209150327
Q3 1986,3.03,^FTLC,0.252066116
Q4 1986,3.95,^FTLC,0.303630363
Q1 1987,4.2,^FTLC,0.063291139
Q2 1987,4.41,^FTLC,0.05
Q3 1987,4.47,^FTLC,0.013605442
Q4 1987,3.3,^FTLC,-0.261744966
Q1 1988,3.42,^FTLC,0.036363636
Q2 1988,4.29,^FTLC,0.254385965
Q3 1988,4.88,^FTLC,0.137529138
Q4 1988,5.54,^FTLC,0.135245902
Q1 1989,5.65,^FTLC,0.019855596
Q2 1989,5.81,^FTLC,0.028318584
Q3 1989,5.92,^FTLC,0.018932874
Q4 1989,5.86,^FTLC,-0.010135135
Q1 1990,7.72,^FTLC,0.317406143
Q2 1990,8.24,^FTLC,0.067357513
Q3 1990,9.25,^FTLC,0.122572816
Q4 1990,8.78,^FTLC,-0.050810811
Q1 1991,7.9,^FTLC,-0.10022779
Q2 1991,7.43,^FTLC,-0.059493671
Q3 1991,6.53,^FTLC,-0.121130552
Q4 1991,6.14,^FTLC,-0.059724349
Q1 1992,5.28,^FTLC,-0.140065147
Q2 1992,4.55,^FTLC,-0.138257576
Q3 1992,3.48,^FTLC,-0.235164835
Q4 1992,3.14,^FTLC,-0.097701149
Q1 1993,2.59,^FTLC,-0.175159236
Q2 1993,2.26,^FTLC,-0.127413127
Q3 1993,2.4,^FTLC,0.061946903
Q4 1993,2.56,^FTLC,0.066666667
Q1 1994,2.37,^FTLC,-0.07421875
Q2 1994,2.05,^FTLC,-0.135021097
Q3 1994,1.72,^FTLC,-0.16097561
Q4 1994,2.34,^FTLC,0.360465116
Q1 1995,2.31,^FTLC,-0.012820513
Q2 1995,2.94,^FTLC,0.272727273
Q3 1995,3.07,^FTLC,0.044217687
Q4 1995,2.9,^FTLC,-0.055374593
Q1 1996,2.86,^FTLC,-0.013793103
Q2 1996,2.55,^FTLC,-0.108391608
Q3 1996,2.98,^FTLC,0.168627451
Q4 1996,2.67,^FTLC,-0.104026846
Q1 1997,2.05,^FTLC,-0.232209738
Q2 1997,2.49,^FTLC,0.214634146
Q3 1997,2.17,^FTLC,-0.128514056
Q4 1997,1.73,^FTLC,-0.202764977
Q1 1998,2.15,^FTLC,0.242774566
Q2 1998,1.71,^FTLC,-0.204651163
