Quarter,Value,index,Percentage Change
Q2 1914,1.01,^GSPC,-0.009803922
Q3 1914,1,^GSPC,-0.00990099
Q4 1914,1,^GSPC,0
Q1 1915,2.04,^GSPC,1.04
Q2 1915,1,^GSPC,-0.509803922
Q3 1915,0.99,^GSPC,-0.01
Q4 1915,2.97,^GSPC,2
Q1 1916,6,^GSPC,1.02020202
Q2 1916,6.93,^GSPC,0.155
Q3 1916,10.78,^GSPC,0.555555556
Q4 1916,12.5,^GSPC,0.159554731
Q1 1917,18.87,^GSPC,0.5096
Q2 1917,18.52,^GSPC,-0.01854796
Q3 1917,19.47,^GSPC,0.051295896
Q4 1917,19.66,^GSPC,0.009758603
Q1 1918,12.7,^GSPC,-0.354018311
Q2 1918,17.97,^GSPC,0.41496063
Q3 1918,18.52,^GSPC,0.030606566
Q4 1918,17.86,^GSPC,-0.035637149
Q1 1919,17.61,^GSPC,-0.01399776
Q2 1919,15.23,^GSPC,-0.135150483
Q3 1919,13.13,^GSPC,-0.137885752
Q4 1919,16.97,^GSPC,0.292460015
Q1 1920,21.56,^GSPC,0.270477313
Q2 1920,19.54,^GSPC,-0.093692022
Q3 1920,9.94,^GSPC,-0.491299898
Q4 1920,-1.55,^GSPC,-1.155935614
Q1 1921,-10.84,^GSPC,5.993548387
Q2 1921,-14.9,^GSPC,0.374538745
Q3 1921,-12.06,^GSPC,-0.190604027
Q4 1921,-11.05,^GSPC,-0.083747927
Q1 1922,-7.73,^GSPC,-0.300452489
Q2 1922,-5.08,^GSPC,-0.342820181
Q3 1922,-4.57,^GSPC,-0.100393701
Q4 1922,-0.59,^GSPC,-0.870897155
Q1 1923,1.2,^GSPC,-3.033898305
Q2 1923,2.38,^GSPC,0.983333333
Q3 1923,3.59,^GSPC,0.508403361
Q4 1923,2.98,^GSPC,-0.169916435
Q1 1924,0.59,^GSPC,-0.802013423
Q2 1924,-0.58,^GSPC,-1.324022346
Q3 1924,-0.58,^GSPC,0
Q1 1925,1.18,^GSPC,-3.034482759
Q2 1925,3.51,^GSPC,1.974576271
Q3 1925,2.91,^GSPC,-0.170940171
Q4 1925,3.47,^GSPC,0.192439863
Q1 1926,4.07,^GSPC,0.172910663
Q2 1926,-1.13,^GSPC,-1.277641278
Q3 1926,-0.56,^GSPC,-0.504424779
Q4 1926,-2.23,^GSPC,2.982142857
Q1 1927,-3.35,^GSPC,0.502242152
Q2 1927,-1.14,^GSPC,-0.659701493
Q3 1927,-1.14,^GSPC,0
Q4 1927,-1.14,^GSPC,0
Q1 1928,-1.16,^GSPC,0.01754386
Q2 1928,-1.16,^GSPC,0
Q3 1928,-1.15,^GSPC,-0.595070423
Q4 1928,-1.16,^GSPC,0.008695652
Q1 1929,-1.17,^GSPC,0.00862069
Q2 1929,1.17,^GSPC,-3.017241379
Q3 1929,0.58,^GSPC,-1.5
Q1 1930,0.59,^GSPC,0.017241379
Q2 1930,-4.05,^GSPC,-7.86440678
Q3 1930,-4.62,^GSPC,0.140740741
Q4 1930,-7.02,^GSPC,0.519480519
Q1 1931,-8.82,^GSPC,0.256410256
Q2 1931,-9.04,^GSPC,0.024943311
Q3 1931,-9.7,^GSPC,0.07300885
Q4 1931,-10.06,^GSPC,0.037113402
Q1 1932,-10.32,^GSPC,0.02584493
Q2 1932,-9.93,^GSPC,-0.037790698
Q3 1932,-10.74,^GSPC,0.081570997
Q4 1932,-9.79,^GSPC,-0.088454376
Q1 1933,-9.35,^GSPC,-0.04494382
Q2 1933,-3.68,^GSPC,-0.606417112
Q3 1933,-0.75,^GSPC,-0.796195652
Q4 1933,2.33,^GSPC,-2.563758389
Q1 1934,5.56,^GSPC,1.386266094
Q2 1934,2.29,^GSPC,-0.588129496
Q3 1934,2.27,^GSPC,-0.008733624
Q4 1934,3.03,^GSPC,0.334801762
Q1 1935,3.76,^GSPC,0.240924092
Q2 1935,2.24,^GSPC,-0.404255319
Q3 1935,1.48,^GSPC,-0.339285714
Q4 1935,1.47,^GSPC,-0.006756757
Q1 1936,-0.72,^GSPC,-1.240802676
Q2 1936,1.46,^GSPC,-3.027777778
Q3 1936,2.19,^GSPC,0.5
Q4 1936,2.17,^GSPC,-0.00913242
Q1 1937,4.38,^GSPC,1.01843318
Q2 1937,4.32,^GSPC,-0.01369863
Q3 1937,4.29,^GSPC,-0.006944444
Q4 1937,0.71,^GSPC,-0.834498834
Q1 1938,-0.7,^GSPC,-1.244755245
Q2 1938,-2.76,^GSPC,2.942857143
Q3 1938,-4.11,^GSPC,0.489130435
Q4 1938,-1.41,^GSPC,-0.656934307
Q1 1939,-2.82,^GSPC,1
Q2 1939,-2.13,^GSPC,-0.244680851
Q4 1939,-0.71,^GSPC,-0.666666667
Q1 1940,1.45,^GSPC,-3.042253521
Q2 1940,1.45,^GSPC,0
Q4 1940,1.44,^GSPC,-0.006896552
Q1 1941,2.14,^GSPC,0.486111111
Q2 1941,5,^GSPC,1.336448598
Q3 1941,9.29,^GSPC,0.858
Q4 1941,11.35,^GSPC,0.221743811
Q1 1942,12.59,^GSPC,0.109251101
Q2 1942,11.56,^GSPC,-0.081810961
Q3 1942,9.15,^GSPC,-0.208477509
Q4 1942,7.64,^GSPC,-0.165027322
Q1 1943,8.07,^GSPC,0.056282723
Q2 1943,6.1,^GSPC,-0.244114002
Q3 1943,4.19,^GSPC,-0.313114754
Q4 1943,2.96,^GSPC,-0.293556086
Q1 1944,0.57,^GSPC,-0.807432432
Q2 1944,1.72,^GSPC,0.482758621
Q3 1944,1.72,^GSPC,0
Q4 1944,2.3,^GSPC,0.337209302
Q1 1945,1.71,^GSPC,-0.256521739
Q2 1945,2.26,^GSPC,0.321637427
Q3 1945,2.26,^GSPC,0
Q4 1945,2.25,^GSPC,-0.004424779
Q1 1946,3.37,^GSPC,0.497777778
Q2 1946,9.39,^GSPC,1.786350148
Q3 1946,14.92,^GSPC,0.588924388
Q4 1946,18.13,^GSPC,0.215147453
Q1 1947,19.02,^GSPC,0.049089906
Q2 1947,12.12,^GSPC,-0.362776025
Q3 1947,10.58,^GSPC,-0.127062706
Q4 1947,10.23,^GSPC,-0.033081285
Q1 1948,8.68,^GSPC,-0.151515152
Q2 1948,9.91,^GSPC,0.141705069
Q3 1948,6.09,^GSPC,-0.385469223
Q4 1948,1.27,^GSPC,-0.791461412
Q1 1949,0.42,^GSPC,-0.669291339
Q2 1949,-2.87,^GSPC,-7.833333333
Q3 1949,-2.87,^GSPC,0
Q4 1949,-2.08,^GSPC,-0.275261324
Q1 1950,-1.26,^GSPC,-0.394230769
