Quarter,Value,index,Percentage Change
Q1 1960,5.81,^FCHI,-0.001718213
Q2 1960,5.68,^FCHI,-0.022375215
Q3 1960,5.56,^FCHI,-0.021126761
Q4 1960,5.55,^FCHI,-0.001798561
Q1 1961,5.5,^FCHI,-0.009009009
Q2 1961,5.45,^FCHI,-0.009090909
Q3 1961,5.53,^FCHI,0.014678899
Q4 1961,5.52,^FCHI,-0.001808318
Q1 1962,5.48,^FCHI,-0.007246377
Q2 1962,5.32,^FCHI,-0.02919708
Q3 1962,5.34,^FCHI,0.003759398
Q4 1962,5.34,^FCHI,0
Q1 1963,5.29,^FCHI,-0.009363296
Q2 1963,5.24,^FCHI,-0.009451796
Q3 1963,5.41,^FCHI,0.032442748
Q4 1963,5.45,^FCHI,0.007393715
Q1 1964,5.46,^FCHI,0.001834862
Q2 1964,5.4,^FCHI,-0.010989011
Q3 1964,5.5,^FCHI,0.018518519
Q4 1964,5.44,^FCHI,-0.010909091
Q1 1965,6.32,^FCHI,0.161764706
Q2 1965,6.15,^FCHI,-0.026898734
Q3 1965,6.34,^FCHI,0.030894309
Q4 1965,6.32,^FCHI,-0.003154574
Q1 1966,6.44,^FCHI,0.018987342
Q2 1966,6.6,^FCHI,0.02484472
Q3 1966,6.76,^FCHI,0.024242424
Q4 1966,6.78,^FCHI,0.00295858
Q1 1967,6.72,^FCHI,-0.008849558
Q2 1967,6.68,^FCHI,-0.005952381
Q3 1967,6.69,^FCHI,0.001497006
Q4 1967,6.78,^FCHI,0.013452915
Q1 1968,6.73,^FCHI,-0.007374631
Q2 1968,6.94,^FCHI,0.031203566
Q3 1968,6.95,^FCHI,0.001440922
Q4 1968,7.56,^FCHI,0.087769784
Q1 1969,8.08,^FCHI,0.068783069
Q2 1969,8.16,^FCHI,0.00990099
Q3 1969,8.44,^FCHI,0.034313725
Q4 1969,8.74,^FCHI,0.035545024
Q1 1970,8.63,^FCHI,-0.012585812
Q2 1970,8.46,^FCHI,-0.019698725
Q3 1970,8.47,^FCHI,0.001182033
Q4 1970,8.33,^FCHI,-0.016528926
Q1 1971,8.43,^FCHI,0.012004802
Q2 1971,8.48,^FCHI,0.005931198
Q3 1971,8.46,^FCHI,-0.002358491
Q4 1971,8.41,^FCHI,-0.005910165
Q1 1972,7.92,^FCHI,-0.058263971
Q2 1972,7.8,^FCHI,-0.015151515
Q3 1972,7.91,^FCHI,0.014102564
Q4 1972,8.33,^FCHI,0.053097345
Q1 1973,8.62,^FCHI,0.034813926
Q2 1973,9.15,^FCHI,0.061484919
Q3 1973,9.5,^FCHI,0.038251366
Q4 1973,10.21,^FCHI,0.074736842
Q1 1974,10.7,^FCHI,0.047992165
Q2 1974,11.4,^FCHI,0.065420561
Q3 1974,11.14,^FCHI,-0.022807018
Q4 1974,10.9,^FCHI,-0.021543986
Q1 1975,10.36,^FCHI,-0.049541284
Q2 1975,10.2,^FCHI,-0.015444015
Q3 1975,10.15,^FCHI,-0.004901961
Q4 1975,10.16,^FCHI,0.000985222
Q1 1976,10.24,^FCHI,0.007874016
Q2 1976,10.51,^FCHI,0.026367188
Q3 1976,10.95,^FCHI,0.041864891
Q4 1976,10.66,^FCHI,-0.026484018
Q1 1977,11.12,^FCHI,0.04315197
Q2 1977,11.07,^FCHI,-0.004496403
Q3 1977,11.01,^FCHI,-0.005420054
Q4 1977,11.25,^FCHI,0.021798365
Q1 1978,10.75,^FCHI,-0.044444444
Q2 1978,10.49,^FCHI,-0.024186047
Q3 1978,10.21,^FCHI,-0.026692088
Q4 1978,9.68,^FCHI,-0.051909892
Q1 1979,9.64,^FCHI,-0.004132231
Q2 1979,11.25,^FCHI,0.167012448
Q3 1979,11.6,^FCHI,0.031111111
Q4 1979,12.52,^FCHI,0.079310345
Q1 1980,13.95,^FCHI,0.114217252
Q2 1980,13.43,^FCHI,-0.037275986
Q3 1980,14.27,^FCHI,0.062546538
Q4 1980,14.58,^FCHI,0.021723896
Q1 1981,14.97,^FCHI,0.026748971
Q2 1981,17.11,^FCHI,0.142952572
Q3 1981,16.94,^FCHI,-0.00993571
Q4 1981,16.42,^FCHI,-0.030696576
Q1 1982,16.29,^FCHI,-0.007917174
Q2 1982,15.96,^FCHI,-0.020257827
Q3 1982,15.81,^FCHI,-0.009398496
Q4 1982,14.99,^FCHI,-0.051865908
Q1 1983,14.55,^FCHI,-0.029352902
Q2 1983,14.04,^FCHI,-0.035051546
Q3 1983,14.15,^FCHI,0.007834758
Q4 1983,13.76,^FCHI,-0.027561837
Q1 1984,13.81,^FCHI,0.003633721
Q2 1984,13.91,^FCHI,0.00724113
Q3 1984,12.02,^FCHI,-0.135873472
Q4 1984,12.12,^FCHI,0.008319468
Q1 1985,11.98,^FCHI,-0.011551155
Q2 1985,11.87,^FCHI,-0.00918197
Q3 1985,11.59,^FCHI,-0.02358888
Q4 1985,10.79,^FCHI,-0.069025022
Q1 1986,8.56,^FCHI,-0.206672845
Q2 1986,8.55,^FCHI,-0.001168224
Q3 1986,8.97,^FCHI,0.049122807
Q4 1986,8.86,^FCHI,-0.012263099
Q1 1987,8.63,^FCHI,-0.025959368
Q2 1987,9.37,^FCHI,0.085747393
Q3 1987,10.75,^FCHI,0.147278549
Q4 1987,9.83,^FCHI,-0.085581395
Q1 1988,9.2,^FCHI,-0.064089522
Q2 1988,8.94,^FCHI,-0.02826087
Q3 1988,8.77,^FCHI,-0.01901566
Q4 1988,8.58,^FCHI,-0.021664766
Q1 1989,8.84,^FCHI,0.03030303
Q2 1989,8.58,^FCHI,-0.029411765
Q3 1989,8.82,^FCHI,0.027972028
Q4 1989,9.55,^FCHI,0.08276644
Q1 1990,9.62,^FCHI,0.007329843
Q2 1990,9.59,^FCHI,-0.003118503
Q3 1990,10.38,^FCHI,0.082377477
Q4 1990,9.8,^FCHI,-0.055876686
Q1 1991,8.89,^FCHI,-0.092857143
Q2 1991,9.16,^FCHI,0.030371204
Q3 1991,8.8,^FCHI,-0.03930131
Q4 1991,8.45,^FCHI,-0.039772727
Q1 1992,8.7,^FCHI,0.029585799
Q2 1992,8.91,^FCHI,0.024137931
Q3 1992,8.43,^FCHI,-0.053872054
Q4 1992,7.92,^FCHI,-0.060498221
Q1 1993,7.15,^FCHI,-0.097222222
Q2 1993,6.76,^FCHI,-0.054545455
Q3 1993,5.96,^FCHI,-0.118343195
Q4 1993,5.67,^FCHI,-0.048657718
Q1 1994,6.69,^FCHI,0.17989418
Q2 1994,7.4,^FCHI,0.10612855
Q3 1994,8.19,^FCHI,0.106756757
Q4 1994,8.23,^FCHI,0.004884005
Q1 1995,7.82,^FCHI,-0.04981774
Q2 1995,7.43,^FCHI,-0.049872123
Q3 1995,7.48,^FCHI,0.006729475
Q4 1995,6.44,^FCHI,-0.139037433
Q1 1996,6.5,^FCHI,0.00931677
Q2 1996,6.44,^FCHI,-0.009230769
Q3 1996,5.97,^FCHI,-0.072981366
Q4 1996,5.68,^FCHI,-0.048576214
Q1 1997,5.8,^FCHI,0.021126761
Q2 1997,5.47,^FCHI,-0.056896552
Q3 1997,5.59,^FCHI,0.021937843
Q4 1997,5.11,^FCHI,-0.085867621
Q1 1998,4.96,^FCHI,-0.029354207
Q2 1998,4.78,^FCHI,-0.036290323
Q3 1998,4.17,^FCHI,-0.127615063
Q4 1998,3.77,^FCHI,-0.095923261
Q1 1999,3.98,^FCHI,0.055702918
Q2 1999,4.81,^FCHI,0.208542714
Q3 1999,5.43,^FCHI,0.128898129
Q4 1999,5.66,^FCHI,0.042357274
Q1 2000,5.33,^FCHI,-0.058303887
Q2 2000,5.4,^FCHI,0.013133208
Q3 2000,5.36,^FCHI,-0.007407407
Q4 2000,4.94,^FCHI,-0.078358209
Q1 2001,5,^FCHI,0.012145749
Q2 2001,5.15,^FCHI,0.03
Q3 2001,4.72,^FCHI,-0.083495146
Q4 2001,4.93,^FCHI,0.044491525
Q1 2002,5.24,^FCHI,0.062880325
Q2 2002,4.96,^FCHI,-0.053435115
Q3 2002,4.55,^FCHI,-0.08266129
Q4 2002,4.22,^FCHI,-0.072527473
Q1 2003,4.22,^FCHI,0
Q2 2003,4.01,^FCHI,-0.049763033
Q3 2003,4.28,^FCHI,0.067331671
Q4 2003,4.2,^FCHI,-0.018691589
Q1 2004,4.18,^FCHI,-0.004761905
Q2 2004,4.27,^FCHI,0.0215311
Q3 2004,3.98,^FCHI,-0.067915691
Q4 2004,3.58,^FCHI,-0.100502513
Q1 2005,3.54,^FCHI,-0.011173184
Q2 2005,3.27,^FCHI,-0.076271186
Q3 2005,3.29,^FCHI,0.006116208
Q4 2005,3.34,^FCHI,0.015197568
Q1 2006,3.95,^FCHI,0.182634731
Q2 2006,4.03,^FCHI,0.020253165
Q3 2006,3.81,^FCHI,-0.054590571
Q4 2006,4.07,^FCHI,0.06824147
Q1 2007,4.21,^FCHI,0.034398034
Q2 2007,4.58,^FCHI,0.087885986
Q3 2007,4.4,^FCHI,-0.03930131
Q4 2007,4.15,^FCHI,-0.056818182
Q1 2008,4.27,^FCHI,0.028915663
Q2 2008,4.69,^FCHI,0.098360656
Q3 2008,4.18,^FCHI,-0.108742004
Q4 2008,3.6,^FCHI,-0.138755981
Q1 2009,3.66,^FCHI,0.016666667
Q2 2009,3.73,^FCHI,0.019125683
Q3 2009,3.56,^FCHI,-0.045576408
Q4 2009,3.52,^FCHI,-0.011235955
Q1 2010,3.4,^FCHI,-0.034090909
Q2 2010,2.99,^FCHI,-0.120588235
Q3 2010,2.72,^FCHI,-0.090301003
Q4 2010,3.44,^FCHI,0.264705882
Q1 2011,3.69,^FCHI,0.072674419
Q2 2011,3.4,^FCHI,-0.078590786
Q3 2011,2.99,^FCHI,-0.120588235
Q4 2011,3.18,^FCHI,0.063545151
Q1 2012,2.99,^FCHI,-0.059748428
Q2 2012,2.28,^FCHI,-0.237458194
Q3 2012,2.19,^FCHI,-0.039473684
Q4 2012,2.17,^FCHI,-0.00913242
Q1 2013,1.8,^FCHI,-0.170506912
Q2 2013,2.25,^FCHI,0.25
Q3 2013,2.39,^FCHI,0.062222222
Q4 2013,2.38,^FCHI,-0.0041841
Q1 2014,2.03,^FCHI,-0.147058824
Q2 2014,1.56,^FCHI,-0.231527094
Q3 2014,1.26,^FCHI,-0.192307692
Q4 2014,0.67,^FCHI,-0.468253968
Q1 2015,0.44,^FCHI,-0.343283582
Q2 2015,1.11,^FCHI,1.522727273
Q3 2015,0.87,^FCHI,-0.216216216
Q4 2015,0.84,^FCHI,-0.034482759
Q1 2016,0.51,^FCHI,-0.392857143
Q2 2016,0.17,^FCHI,-0.666666667
Q3 2016,0.33,^FCHI,0.941176471
Q4 2016,0.86,^FCHI,1.606060606
Q1 2017,0.89,^FCHI,0.034883721
Q2 2017,0.84,^FCHI,-0.056179775
Q3 2017,0.81,^FCHI,-0.035714286
Q4 2017,0.86,^FCHI,0.061728395
Q1 2018,0.78,^FCHI,-0.093023256
Q2 2018,0.67,^FCHI,-0.141025641
Q3 2018,0.82,^FCHI,0.223880597
Q4 2018,0.65,^FCHI,-0.207317073
Q1 2019,0.37,^FCHI,-0.430769231
