Quarter,Value,index,Percentage Change
Q1 1989,5.22,^N225,0.0875
Q2 1989,5.04,^N225,-0.034482759
Q3 1989,5.16,^N225,0.023809524
Q4 1989,6.45,^N225,0.25
Q1 1990,6.91,^N225,0.071317829
Q2 1990,6.77,^N225,-0.020260492
Q3 1990,7.6,^N225,0.122599705
Q4 1990,6.43,^N225,-0.153947368
Q1 1991,6.64,^N225,0.032659409
Q2 1991,6.67,^N225,0.004518072
Q3 1991,5.89,^N225,-0.116941529
Q4 1991,5.45,^N225,-0.074702886
Q1 1992,5.71,^N225,0.047706422
Q2 1992,5.41,^N225,-0.052539405
Q3 1992,5.02,^N225,-0.072088725
Q4 1992,4.72,^N225,-0.059760956
Q1 1993,4.59,^N225,-0.027542373
Q2 1993,4.52,^N225,-0.015250545
Q3 1993,3.93,^N225,-0.130530973
Q4 1993,3.6,^N225,-0.083969466
Q1 1994,4.09,^N225,0.136111111
Q2 1994,4.53,^N225,0.107579462
Q3 1994,4.68,^N225,0.033112583
Q4 1994,4.61,^N225,-0.014957265
Q1 1995,3.55,^N225,-0.229934924
Q2 1995,2.93,^N225,-0.174647887
Q3 1995,2.93,^N225,0
Q4 1995,3.12,^N225,0.064846416
Q1 1996,3.3,^N225,0.057692308
Q2 1996,3.29,^N225,-0.003030303
Q3 1996,2.8,^N225,-0.14893617
Q4 1996,2.63,^N225,-0.060714286
Q1 1997,2.38,^N225,-0.095057034
Q2 1997,2.51,^N225,0.054621849
Q3 1997,1.99,^N225,-0.207171315
Q4 1997,1.95,^N225,-0.020100503
Q1 1998,1.87,^N225,-0.041025641
Q2 1998,1.68,^N225,-0.101604278
Q3 1998,0.88,^N225,-0.476190476
Q4 1998,1.91,^N225,1.170454545
Q1 1999,1.56,^N225,-0.183246073
Q2 1999,1.7,^N225,0.08974359
Q3 1999,1.69,^N225,-0.005882353
Q4 1999,1.69,^N225,0
Q1 2000,1.74,^N225,0.029585799
Q2 2000,1.69,^N225,-0.028735632
Q3 2000,1.82,^N225,0.076923077
Q4 2000,1.51,^N225,-0.17032967
Q1 2001,1.32,^N225,-0.125827815
Q2 2001,1.31,^N225,-0.007575758
Q3 2001,1.36,^N225,0.038167939
Q4 2001,1.42,^N225,0.044117647
Q1 2002,1.39,^N225,-0.021126761
Q2 2002,1.3,^N225,-0.064748201
Q3 2002,1.1,^N225,-0.153846154
Q4 2002,0.84,^N225,-0.236363636
Q1 2003,0.66,^N225,-0.214285714
Q2 2003,0.96,^N225,0.454545455
Q3 2003,1.44,^N225,0.5
Q4 2003,1.33,^N225,-0.076388889
Q1 2004,1.52,^N225,0.142857143
Q2 2004,1.81,^N225,0.190789474
Q3 2004,1.48,^N225,-0.182320442
Q4 2004,1.31,^N225,-0.114864865
Q1 2005,1.26,^N225,-0.038167939
Q2 2005,1.3,^N225,0.031746032
Q3 2005,1.51,^N225,0.161538462
Q4 2005,1.55,^N225,0.026490066
Q1 2006,1.96,^N225,0.264516129
Q2 2006,1.93,^N225,-0.015306122
Q3 2006,1.72,^N225,-0.10880829
Q4 2006,1.71,^N225,-0.005813953
Q1 2007,1.65,^N225,-0.035087719
Q2 2007,1.81,^N225,0.096969697
Q3 2007,1.62,^N225,-0.104972376
Q4 2007,1.43,^N225,-0.117283951
Q1 2008,1.6,^N225,0.118881119
Q2 2008,1.54,^N225,-0.0375
Q3 2008,1.49,^N225,-0.032467532
Q4 2008,1.27,^N225,-0.147651007
Q1 2009,1.4,^N225,0.102362205
Q2 2009,1.39,^N225,-0.007142857
Q3 2009,1.4,^N225,0.007194245
Q4 2009,1.31,^N225,-0.064285714
Q1 2010,1.29,^N225,-0.015267176
Q2 2010,1.08,^N225,-0.162790698
Q3 2010,0.9,^N225,-0.166666667
Q4 2010,1.21,^N225,0.344444444
Q1 2011,1.22,^N225,0.008264463
Q2 2011,1.08,^N225,-0.114754098
Q3 2011,1.04,^N225,-0.037037037
Q4 2011,0.96,^N225,-0.076923077
Q1 2012,0.91,^N225,-0.052083333
Q2 2012,0.78,^N225,-0.142857143
Q3 2012,0.76,^N225,-0.025641026
Q4 2012,0.78,^N225,0.026315789
Q1 2013,0.59,^N225,-0.243589744
Q2 2013,0.79,^N225,0.338983051
Q3 2013,0.59,^N225,-0.253164557
Q4 2013,0.61,^N225,0.033898305
Q1 2014,0.61,^N225,0
Q2 2014,0.53,^N225,-0.131147541
Q3 2014,0.47,^N225,-0.113207547
Q4 2014,0.28,^N225,-0.404255319
Q1 2015,0.34,^N225,0.214285714
Q2 2015,0.41,^N225,0.205882353
Q3 2015,0.3,^N225,-0.268292683
Q4 2015,0.1,^N225,-0.666666667
Q1 2016,-0.09,^N225,-1.9
Q2 2016,-0.2,^N225,1.222222222
Q3 2016,-0.05,^N225,-0.75
Q4 2016,0.09,^N225,-2.8
Q1 2017,0.02,^N225,-0.777777778
Q2 2017,0.08,^N225,3
Q3 2017,0.07,^N225,-0.125
Q4 2017,0.08,^N225,0.142857143
Q1 2018,0.05,^N225,-0.375
Q2 2018,0.06,^N225,0.2
Q3 2018,0.13,^N225,1.166666667
Q1 2019,-0.05,^N225,4
Q2 2019,-0.16,^N225,2.2
Q3 2019,-0.15,^N225,-0.0625
Q4 2019,-0.07,^N225,-0.533333333
Q1 2020,-0.04,^N225,-0.428571429
Q2 2020,0.01,^N225,0
Q3 2020,0.04,^N225,3
Q4 2020,0.06,^N225,0.5
Q1 2021,0.09,^N225,0.5
Q2 2021,0.02,^N225,-0.777777778
Q3 2021,0.1,^N225,4
Q4 2021,0.17,^N225,0.7
Q1 2022,0.22,^N225,0.294117647
Q2 2022,0.18,^N225,-0.181818182
Q3 2022,0.25,^N225,0.388888889
Q4 2022,0.49,^N225,0.96
Q1 2023,0.39,^N225,-0.204081633
Q2 2023,0.6,^N225,0.538461538
