Quarter,Value,index,Percentage Change
Q1 1960,3.13,^SSMI,-0.057228916
Q2 1960,2.97,^SSMI,-0.051118211
Q3 1960,3.05,^SSMI,0.026936027
Q4 1960,2.96,^SSMI,-0.029508197
Q1 1961,2.82,^SSMI,-0.047297297
Q2 1961,3.13,^SSMI,0.109929078
Q3 1961,2.97,^SSMI,-0.051118211
Q4 1961,2.96,^SSMI,-0.003367003
Q1 1962,3.25,^SSMI,0.097972973
Q2 1962,3.19,^SSMI,-0.018461538
Q3 1962,3.12,^SSMI,-0.021943574
Q4 1962,3.14,^SSMI,0.006410256
Q1 1963,3.1,^SSMI,-0.012738854
Q2 1963,3.22,^SSMI,0.038709677
Q3 1963,3.44,^SSMI,0.068322981
Q4 1963,3.64,^SSMI,0.058139535
Q1 1964,3.88,^SSMI,0.065934066
Q2 1964,4.04,^SSMI,0.041237113
Q3 1964,4.08,^SSMI,0.00990099
Q4 1964,4.04,^SSMI,-0.009803922
Q1 1965,3.92,^SSMI,-0.02970297
Q2 1965,3.92,^SSMI,0
Q3 1965,3.96,^SSMI,0.010204082
Q4 1965,3.98,^SSMI,0.005050505
Q1 1966,4.01,^SSMI,0.007537688
Q2 1966,4.16,^SSMI,0.037406484
Q3 1966,4.36,^SSMI,0.048076923
Q4 1966,4.74,^SSMI,0.087155963
Q1 1967,4.69,^SSMI,-0.010548523
Q2 1967,4.6,^SSMI,-0.019189765
Q3 1967,4.45,^SSMI,-0.032608696
Q4 1967,4.59,^SSMI,0.031460674
Q1 1968,4.37,^SSMI,-0.047930283
Q2 1968,4.35,^SSMI,-0.004576659
Q3 1968,4.38,^SSMI,0.006896552
Q4 1968,4.38,^SSMI,0
Q1 1969,4.67,^SSMI,0.066210046
Q2 1969,5,^SSMI,0.070663812
Q3 1969,5.23,^SSMI,0.046
Q4 1969,5.33,^SSMI,0.019120459
Q1 1970,5.88,^SSMI,0.103189493
Q2 1970,5.81,^SSMI,-0.011904762
Q3 1970,5.75,^SSMI,-0.010327022
Q4 1970,5.58,^SSMI,-0.029565217
Q1 1971,5.27,^SSMI,-0.055555556
Q2 1971,5.45,^SSMI,0.034155598
