Quarter,Value,index,Percentage Change
Q1 1960,5.67,^FTLC,0.063789869
Q2 1960,6.01,^FTLC,0.059964727
Q3 1960,6.1,^FTLC,0.014975042
Q4 1960,6.15,^FTLC,0.008196721
Q1 1961,6.03,^FTLC,-0.019512195
Q2 1961,6.56,^FTLC,0.087893864
Q3 1961,6.11,^FTLC,-0.068597561
Q4 1961,6.2,^FTLC,0.014729951
Q1 1962,6.28,^FTLC,0.012903226
Q2 1962,5.81,^FTLC,-0.074840764
Q3 1962,5.05,^FTLC,-0.13080895
Q4 1962,5.23,^FTLC,0.035643564
Q1 1963,5.29,^FTLC,0.011472275
Q2 1963,5.06,^FTLC,-0.043478261
Q3 1963,4.97,^FTLC,-0.017786561
Q4 1963,5.27,^FTLC,0.060362173
Q1 1964,5.49,^FTLC,0.041745731
Q2 1964,5.76,^FTLC,0.049180328
Q3 1964,5.84,^FTLC,0.013888889
Q4 1964,6.35,^FTLC,0.087328767
Q1 1965,6.6,^FTLC,0.039370079
Q2 1965,6.79,^FTLC,0.028787879
Q3 1965,6.43,^FTLC,-0.053019146
Q4 1965,6.42,^FTLC,-0.00155521
Q1 1966,6.7,^FTLC,0.043613707
Q2 1966,7.34,^FTLC,0.095522388
Q3 1966,6.92,^FTLC,-0.057220708
Q4 1966,6.57,^FTLC,-0.050578035
Q1 1967,6.37,^FTLC,-0.0304414
Q2 1967,6.81,^FTLC,0.069073783
Q3 1967,6.9,^FTLC,0.013215859
Q4 1967,7.3,^FTLC,0.057971014
Q1 1968,7.27,^FTLC,-0.004109589
Q2 1968,7.69,^FTLC,0.057771664
Q3 1968,7.52,^FTLC,-0.022106632
Q4 1968,8.26,^FTLC,0.098404255
Q1 1969,8.65,^FTLC,0.047215496
Q2 1969,8.98,^FTLC,0.038150289
Q3 1969,8.84,^FTLC,-0.0155902
Q4 1969,8.89,^FTLC,0.005656109
Q1 1970,8.55,^FTLC,-0.038245219
Q2 1970,8.5,^FTLC,-0.005847953
Q3 1970,8.42,^FTLC,-0.009411765
Q4 1970,8.8,^FTLC,0.045130641
Q1 1971,8.21,^FTLC,-0.067045455
Q2 1971,7.71,^FTLC,-0.06090134
Q3 1971,7.24,^FTLC,-0.060959792
Q4 1971,7.03,^FTLC,-0.029005525
Q1 1972,7.44,^FTLC,0.058321479
