Quarter,Value,index,Percentage Change
Q1 1960,4.28,^GSPC,-0.093220339
Q2 1960,3.9,^GSPC,-0.088785047
Q3 1960,3.89,^GSPC,-0.002564103
Q4 1960,3.84,^GSPC,-0.01285347
Q1 1961,3.78,^GSPC,-0.015625
Q2 1961,3.92,^GSPC,0.037037037
Q3 1961,3.92,^GSPC,0
Q4 1961,4.08,^GSPC,0.040816327
Q1 1962,3.84,^GSPC,-0.058823529
Q2 1962,4.01,^GSPC,0.044270833
Q3 1962,3.93,^GSPC,-0.019950125
Q4 1962,3.83,^GSPC,-0.025445293
Q1 1963,3.97,^GSPC,0.036553525
Q2 1963,4.02,^GSPC,0.012594458
Q3 1963,4.11,^GSPC,0.02238806
Q4 1963,4.17,^GSPC,0.01459854
Q1 1964,4.23,^GSPC,0.014388489
Q2 1964,4.19,^GSPC,-0.009456265
Q3 1964,4.19,^GSPC,0
Q4 1964,4.19,^GSPC,0
Q1 1965,4.2,^GSPC,0.002386635
Q2 1965,4.2,^GSPC,0
Q3 1965,4.35,^GSPC,0.035714286
Q4 1965,4.61,^GSPC,0.059770115
Q1 1966,4.75,^GSPC,0.030368764
Q2 1966,5.02,^GSPC,0.056842105
Q3 1966,5.01,^GSPC,-0.001992032
Q4 1966,4.58,^GSPC,-0.085828343
Q1 1967,4.59,^GSPC,0.002183406
Q2 1967,5.16,^GSPC,0.124183007
Q3 1967,5.48,^GSPC,0.062015504
Q4 1967,5.53,^GSPC,0.009124088
Q1 1968,5.64,^GSPC,0.019891501
Q2 1968,5.5,^GSPC,-0.024822695
Q3 1968,5.58,^GSPC,0.014545455
Q4 1968,6.04,^GSPC,0.082437276
Q1 1969,6.17,^GSPC,0.021523179
Q2 1969,6.72,^GSPC,0.089141005
Q3 1969,7.1,^GSPC,0.056547619
Q4 1969,7.79,^GSPC,0.097183099
Q1 1970,7.39,^GSPC,-0.051347882
Q2 1970,7.46,^GSPC,0.00947226
Q3 1970,7.33,^GSPC,-0.017426273
Q4 1970,6.24,^GSPC,-0.148703956
Q1 1971,5.83,^GSPC,-0.065705128
Q2 1971,6.73,^GSPC,0.154373928
Q3 1971,5.93,^GSPC,-0.118870728
Q4 1971,5.95,^GSPC,0.003372681
Q1 1972,6.19,^GSPC,0.040336134
Q2 1972,6.11,^GSPC,-0.012924071
Q3 1972,6.48,^GSPC,0.060556465
Q4 1972,6.46,^GSPC,-0.00308642
Q1 1973,6.67,^GSPC,0.03250774
Q2 1973,7.13,^GSPC,0.068965517
Q3 1973,6.79,^GSPC,-0.047685835
Q4 1973,6.99,^GSPC,0.029455081
Q1 1974,7.51,^GSPC,0.074391989
Q2 1974,7.81,^GSPC,0.039946738
Q3 1974,7.9,^GSPC,0.011523688
Q4 1974,7.5,^GSPC,-0.050632911
Q1 1975,8.23,^GSPC,0.097333333
Q2 1975,8.06,^GSPC,-0.020656136
Q3 1975,8.14,^GSPC,0.009925558
Q4 1975,7.74,^GSPC,-0.049140049
Q1 1976,7.56,^GSPC,-0.023255814
Q2 1976,7.83,^GSPC,0.035714286
Q3 1976,7.41,^GSPC,-0.053639847
Q4 1976,7.21,^GSPC,-0.026990553
Q1 1977,7.37,^GSPC,0.022191401
Q2 1977,7.33,^GSPC,-0.005427408
Q3 1977,7.52,^GSPC,0.025920873
Q4 1977,7.96,^GSPC,0.058510638
Q1 1978,8.15,^GSPC,0.023869347
Q2 1978,8.64,^GSPC,0.060122699
Q3 1978,8.64,^GSPC,0
Q4 1978,9.1,^GSPC,0.053240741
Q1 1979,9.18,^GSPC,0.008791209
Q2 1979,8.95,^GSPC,-0.025054466
Q3 1979,10.3,^GSPC,0.150837989
Q4 1979,10.8,^GSPC,0.048543689
Q1 1980,11.47,^GSPC,0.062037037
Q2 1980,10.25,^GSPC,-0.106364429
Q3 1980,11.75,^GSPC,0.146341463
Q4 1980,12.57,^GSPC,0.069787234
Q1 1981,13.68,^GSPC,0.088305489
Q2 1981,14.28,^GSPC,0.043859649
Q3 1981,15.15,^GSPC,0.06092437
Q4 1981,14.59,^GSPC,-0.036963696
Q1 1982,13.87,^GSPC,-0.049348869
Q2 1982,13.95,^GSPC,0.005767844
Q3 1982,10.91,^GSPC,-0.217921147
Q4 1982,10.46,^GSPC,-0.041246563
Q1 1983,10.4,^GSPC,-0.005736138
Q2 1983,11.38,^GSPC,0.094230769
