Quarter,Percentage Change,index
Q1 2000,0.05182951797101909,000001.SS
Q2 2000,0.05182951797101909,000001.SS
Q3 2000,0.05182951797101909,000001.SS
Q4 2000,0.05182951797101909,000001.SS
Q1 2001,0.06737904677302398,000001.SS
Q2 2001,0.06737904677302398,000001.SS
Q3 2001,0.06737904677302398,000001.SS
Q4 2001,0.06737904677302398,000001.SS
Q1 2002,0.05947969118439578,000001.SS
Q2 2002,0.05947969118439578,000001.SS
Q3 2002,0.05947969118439578,000001.SS
Q4 2002,0.05947969118439578,000001.SS
Q1 2003,0.047506247211736685,000001.SS
Q2 2003,0.047506247211736685,000001.SS
Q3 2003,0.047506247211736685,000001.SS
Q4 2003,0.047506247211736685,000001.SS
Q1 2004,0.03148188847969169,000001.SS
Q2 2004,0.03148188847969169,000001.SS
Q3 2004,0.03148188847969169,000001.SS
Q4 2004,0.03148188847969169,000001.SS
Q1 2005,0.020839476905670118,000001.SS
Q2 2005,0.020839476905670118,000001.SS
Q3 2005,0.020839476905670118,000001.SS
Q4 2005,0.020839476905670118,000001.SS
Q1 2006,0.017296072261964612,000001.SS
Q2 2006,0.017296072261964612,000001.SS
Q3 2006,0.017296072261964612,000001.SS
Q4 2006,0.017296072261964612,000001.SS
Q1 2007,0.015152127633617285,000001.SS
Q2 2007,0.015152127633617285,000001.SS
Q3 2007,0.015152127633617285,000001.SS
Q4 2007,0.015152127633617285,000001.SS
Q1 2008,0.005946743746348293,000001.SS
Q2 2008,0.005946743746348293,000001.SS
Q3 2008,0.005946743746348293,000001.SS
Q4 2008,0.005946743746348293,000001.SS
Q1 2009,0.00397622156519839,000001.SS
Q2 2009,0.00397622156519839,000001.SS
Q3 2009,0.00397622156519839,000001.SS
Q4 2009,0.00397622156519839,000001.SS
Q1 2010,0.002818982588457475,000001.SS
Q2 2010,0.002818982588457475,000001.SS
Q3 2010,0.002818982588457475,000001.SS
Q4 2010,0.002818982588457475,000001.SS
Q1 2011,0.002395344733468585,000001.SS
Q2 2011,0.002395344733468585,000001.SS
Q3 2011,0.002395344733468585,000001.SS
Q4 2011,0.002395344733468585,000001.SS
Q1 2012,0.0023757056178341784,000001.SS
Q2 2012,0.0023757056178341784,000001.SS
Q3 2012,0.0023757056178341784,000001.SS
Q4 2012,0.0023757056178341784,000001.SS
Q1 2013,0.002489942333974371,000001.SS
Q2 2013,0.002489942333974371,000001.SS
Q3 2013,0.002489942333974371,000001.SS
Q4 2013,0.002489942333974371,000001.SS
Q1 2014,0.0031073118935878163,000001.SS
Q2 2014,0.0031073118935878163,000001.SS
Q3 2014,0.0031073118935878163,000001.SS
Q4 2014,0.0031073118935878163,000001.SS
Q1 2015,0.004158685998276512,000001.SS
Q2 2015,0.004158685998276512,000001.SS
Q3 2015,0.004158685998276512,000001.SS
Q4 2015,0.004158685998276512,000001.SS
Q1 2016,0.004332956790891407,000001.SS
Q2 2016,0.004332956790891407,000001.SS
Q3 2016,0.004332956790891407,000001.SS
Q4 2016,0.004332956790891407,000001.SS
Q1 2017,0.004332635979023003,000001.SS
Q2 2017,0.004332635979023003,000001.SS
Q3 2017,0.004332635979023003,000001.SS
Q4 2017,0.004332635979023003,000001.SS
Q1 2018,0.004551210347726986,000001.SS
Q2 2018,0.004551210347726986,000001.SS
Q3 2018,0.004551210347726986,000001.SS
Q4 2018,0.004551210347726986,000001.SS
Q1 2019,0.004622228635640546,000001.SS
