Date,YOY (%),index
1/1/1998,14.4,^BSESN
1/1/1999,14.7,^BSESN
1/1/2000,12.8,^BSESN
1/1/2001,11.4,^BSESN
1/1/2002,10.4,^BSESN
1/1/2003,8.8,^BSESN
1/1/2004,7.2,^BSESN
1/1/2005,5.2,^BSESN
1/1/2006,3.5,^BSESN
1/1/2007,2.7,^BSESN
1/1/2008,2.4,^BSESN
1/1/2009,2.2,^BSESN
1/1/2010,2.38613,^BSESN
1/1/2011,2.6702,^BSESN
1/1/2012,3.37395,^BSESN
1/1/2013,4.02773,^BSESN
1/1/2014,4.34585,^BSESN
1/1/2015,5.88352,^BSESN
1/1/2016,9.18552,^BSESN
1/1/2017,9.98,^BSESN
1/1/2018,9.46096,^BSESN
1/1/2019,9.23443,^BSESN
