Quarter,Value,Percentage Change,index
Q1 1960,72179235.0,,^BVSP
Q2 1960,72179235.0,,^BVSP
Q3 1960,72179235.0,,^BVSP
Q4 1960,72179235.0,,^BVSP
Q1 1961,74311338.0,0.007294790162107212,^BVSP
Q2 1961,74311338.0,0.007294790162107212,^BVSP
Q3 1961,74311338.0,0.007294790162107212,^BVSP
Q4 1961,74311338.0,0.007294790162107212,^BVSP
Q1 1962,76514329.0,0.007319250048000381,^BVSP
Q2 1962,76514329.0,0.007319250048000381,^BVSP
Q3 1962,76514329.0,0.007319250048000381,^BVSP
Q4 1962,76514329.0,0.007319250048000381,^BVSP
Q1 1963,78772647.0,0.007294790162107212,^BVSP
Q2 1963,78772647.0,0.007294790162107212,^BVSP
Q3 1963,78772647.0,0.007294790162107212,^BVSP
Q4 1963,78772647.0,0.007294790162107212,^BVSP
Q1 1964,81064572.0,0.007196932795609401,^BVSP
Q2 1964,81064572.0,0.007196932795609401,^BVSP
Q3 1964,81064572.0,0.007196932795609401,^BVSP
Q4 1964,81064572.0,0.007196932795609401,^BVSP
Q1 1965,83373533.0,0.007050093243736066,^BVSP
Q2 1965,83373533.0,0.007050093243736066,^BVSP
Q3 1965,83373533.0,0.007050093243736066,^BVSP
Q4 1965,83373533.0,0.007050093243736066,^BVSP
Q1 1966,85696502.0,0.006903189431035406,^BVSP
Q2 1966,85696502.0,0.006903189431035406,^BVSP
Q3 1966,85696502.0,0.006903189431035406,^BVSP
Q4 1966,85696502.0,0.006903189431035406,^BVSP
Q1 1967,88035815.0,0.006756221291850162,^BVSP
Q2 1967,88035815.0,0.006756221291850162,^BVSP
Q3 1967,88035815.0,0.006756221291850162,^BVSP
Q4 1967,88035815.0,0.006756221291850162,^BVSP
Q1 1968,90387079.0,0.006609188760418272,^BVSP
Q2 1968,90387079.0,0.006609188760418272,^BVSP
Q3 1968,90387079.0,0.006609188760418272,^BVSP
Q4 1968,90387079.0,0.006609188760418272,^BVSP
Q1 1969,92746607.0,0.0064620917708717585,^BVSP
Q2 1969,92746607.0,0.0064620917708717585,^BVSP
Q3 1969,92746607.0,0.0064620917708717585,^BVSP
Q4 1969,92746607.0,0.0064620917708717585,^BVSP
Q1 1970,95113265.0,0.006314930257236728,^BVSP
Q2 1970,95113265.0,0.006314930257236728,^BVSP
Q3 1970,95113265.0,0.006314930257236728,^BVSP
Q4 1970,95113265.0,0.006314930257236728,^BVSP
Q1 1971,97482928.0,0.006167704153432707,^BVSP
Q2 1971,97482928.0,0.006167704153432707,^BVSP
Q3 1971,97482928.0,0.006167704153432707,^BVSP
Q4 1971,97482928.0,0.006167704153432707,^BVSP
Q1 1972,99859388.0,0.006044966346136826,^BVSP
Q2 1972,99859388.0,0.006044966346136826,^BVSP
Q3 1972,99859388.0,0.006044966346136826,^BVSP
Q4 1972,99859388.0,0.006044966346136826,^BVSP
Q1 1973,102259497.0,0.005946743746348293,^BVSP
Q2 1973,102259497.0,0.005946743746348293,^BVSP
Q3 1973,102259497.0,0.005946743746348293,^BVSP
Q4 1973,102259497.0,0.005946743746348293,^BVSP
Q1 1974,104706193.0,0.005922183600237219,^BVSP
Q2 1974,104706193.0,0.005922183600237219,^BVSP
Q3 1974,104706193.0,0.005922183600237219,^BVSP
Q4 1974,104706193.0,0.005922183600237219,^BVSP
Q1 1975,107216209.0,0.011910514794940097,^BVSP
Q2 1975,107216209.0,0.011910514794940097,^BVSP
Q3 1975,107216209.0,0.011910514794940097,^BVSP
Q4 1975,107216209.0,0.011910514794940097,^BVSP
Q1 1976,109790943.0,0.005946743746348293,^BVSP
Q2 1976,109790943.0,0.005946743746348293,^BVSP
Q3 1976,109790943.0,0.005946743746348293,^BVSP
Q4 1976,109790943.0,0.005946743746348293,^BVSP
Q1 1977,112425392.0,0.005946743746348293,^BVSP
