Quarter,Value,Percentage Change,index
Q1 1960,667070000.0,,000001.SS
Q2 1960,667070000.0,,000001.SS
Q3 1960,667070000.0,,000001.SS
Q4 1960,667070000.0,,000001.SS
Q1 1961,660330000.0,-0.002534620176316227,000001.SS
Q2 1961,660330000.0,-0.002534620176316227,000001.SS
Q3 1961,660330000.0,-0.002534620176316227,000001.SS
Q4 1961,660330000.0,-0.002534620176316227,000001.SS
Q1 1962,665770000.0,0.002043726233988963,000001.SS
Q2 1962,665770000.0,0.002043726233988963,000001.SS
Q3 1962,665770000.0,0.002043726233988963,000001.SS
Q4 1962,665770000.0,0.002043726233988963,000001.SS
Q1 1963,682335000.0,0.006167704153432707,000001.SS
Q2 1963,682335000.0,0.006167704153432707,000001.SS
Q3 1963,682335000.0,0.006167704153432707,000001.SS
Q4 1963,682335000.0,0.006167704153432707,000001.SS
Q1 1964,698355000.0,0.005823925021912535,000001.SS
Q2 1964,698355000.0,0.005823925021912535,000001.SS
Q3 1964,698355000.0,0.005823925021912535,000001.SS
Q4 1964,698355000.0,0.005823925021912535,000001.SS
Q1 1965,715185000.0,0.005971302093686681,000001.SS
Q2 1965,715185000.0,0.005971302093686681,000001.SS
Q3 1965,715185000.0,0.005971302093686681,000001.SS
Q4 1965,715185000.0,0.005971302093686681,000001.SS
Q1 1966,735400000.0,0.0070011324495011795,000001.SS
Q2 1966,735400000.0,0.0070011324495011795,000001.SS
Q3 1966,735400000.0,0.0070011324495011795,000001.SS
Q4 1966,735400000.0,0.0070011324495011795,000001.SS
Q1 1967,754550000.0,0.006437569334555304,000001.SS
Q2 1967,754550000.0,0.006437569334555304,000001.SS
Q3 1967,754550000.0,0.006437569334555304,000001.SS
Q4 1967,754550000.0,0.006437569334555304,000001.SS
Q1 1968,774510000.0,0.006560163595838109,000001.SS
Q2 1968,774510000.0,0.006560163595838109,000001.SS
Q3 1968,774510000.0,0.006560163595838109,000001.SS
Q4 1968,774510000.0,0.006560163595838109,000001.SS
Q1 1969,796025000.0,0.006878699210062678,000001.SS
Q2 1969,796025000.0,0.006878699210062678,000001.SS
Q3 1969,796025000.0,0.006878699210062678,000001.SS
Q4 1969,796025000.0,0.006878699210062678,000001.SS
Q1 1970,818315000.0,0.006927677865161241,000001.SS
Q2 1970,818315000.0,0.006927677865161241,000001.SS
Q3 1970,818315000.0,0.006927677865161241,000001.SS
Q4 1970,818315000.0,0.006927677865161241,000001.SS
Q1 1971,841105000.0,0.006878699210062678,000001.SS
Q2 1971,841105000.0,0.006878699210062678,000001.SS
Q3 1971,841105000.0,0.006878699210062678,000001.SS
Q4 1971,841105000.0,0.006878699210062678,000001.SS
Q1 1972,862030000.0,0.006167704153432707,000001.SS
Q2 1972,862030000.0,0.006167704153432707,000001.SS
Q3 1972,862030000.0,0.006167704153432707,000001.SS
Q4 1972,862030000.0,0.006167704153432707,000001.SS
Q1 1973,881940000.0,0.005725637638609893,000001.SS
Q2 1973,881940000.0,0.005725637638609893,000001.SS
Q3 1973,881940000.0,0.005725637638609893,000001.SS
Q4 1973,881940000.0,0.005725637638609893,000001.SS
Q1 1974,900350000.0,0.005184541259554143,000001.SS
Q2 1974,900350000.0,0.005184541259554143,000001.SS
Q3 1974,900350000.0,0.005184541259554143,000001.SS
Q4 1974,900350000.0,0.005184541259554143,000001.SS
Q1 1975,916395000.0,0.009634857712421008,000001.SS
Q2 1975,916395000.0,0.009634857712421008,000001.SS
Q3 1975,916395000.0,0.009634857712421008,000001.SS
Q4 1975,916395000.0,0.009634857712421008,000001.SS
Q1 1976,930685000.0,0.003877390415547577,000001.SS
Q2 1976,930685000.0,0.003877390415547577,000001.SS
Q3 1976,930685000.0,0.003877390415547577,000001.SS
Q4 1976,930685000.0,0.003877390415547577,000001.SS
Q1 1977,943455000.0,0.003407543372357491,000001.SS
Q2 1977,943455000.0,0.003407543372357491,000001.SS
Q3 1977,943455000.0,0.003407543372357491,000001.SS
Q4 1977,943455000.0,0.003407543372357491,000001.SS
Q1 1978,956165000.0,0.0033580473779597497,000001.SS
Q2 1978,956165000.0,0.0033580473779597497,000001.SS
Q3 1978,956165000.0,0.0033580473779597497,000001.SS
Q4 1978,956165000.0,0.0033580473779597497,000001.SS
Q1 1979,969005000.0,0.0033332966336516723,000001.SS
Q2 1979,969005000.0,0.0033332966336516723,000001.SS
Q3 1979,969005000.0,0.0033332966336516723,000001.SS
Q4 1979,969005000.0,0.0033332966336516723,000001.SS
Q1 1980,981235000.0,0.003135224706790174,000001.SS
Q2 1980,981235000.0,0.003135224706790174,000001.SS
Q3 1980,981235000.0,0.003135224706790174,000001.SS
Q4 1980,981235000.0,0.003135224706790174,000001.SS
Q1 1981,993885000.0,0.0032095154283611205,000001.SS
Q2 1981,993885000.0,0.0032095154283611205,000001.SS
Q3 1981,993885000.0,0.0032095154283611205,000001.SS
Q4 1981,993885000.0,0.0032095154283611205,000001.SS
Q1 1982,1008630000.0,0.00367964050141123,000001.SS
Q2 1982,1008630000.0,0.00367964050141123,000001.SS
Q3 1982,1008630000.0,0.00367964050141123,000001.SS
Q4 1982,1008630000.0,0.00367964050141123,000001.SS
Q1 1983,1023310000.0,0.0036301847550983535,000001.SS
Q2 1983,1023310000.0,0.0036301847550983535,000001.SS
Q3 1983,1023310000.0,0.0036301847550983535,000001.SS
Q4 1983,1023310000.0,0.0036301847550983535,000001.SS
Q1 1984,1036825000.0,0.003283789649234592,000001.SS
Q2 1984,1036825000.0,0.003283789649234592,000001.SS
Q3 1984,1036825000.0,0.003283789649234592,000001.SS
Q4 1984,1036825000.0,0.003283789649234592,000001.SS
Q1 1985,1051040000.0,0.003407543372357491,000001.SS
Q2 1985,1051040000.0,0.003407543372357491,000001.SS
Q3 1985,1051040000.0,0.003407543372357491,000001.SS
Q4 1985,1051040000.0,0.003407543372357491,000001.SS
Q1 1986,1066790000.0,0.0037290889380929837,000001.SS
Q2 1986,1066790000.0,0.0037290889380929837,000001.SS
Q3 1986,1066790000.0,0.0037290889380929837,000001.SS
Q4 1986,1066790000.0,0.0037290889380929837,000001.SS
Q1 1987,1084035000.0,0.004025626196972665,000001.SS
Q2 1987,1084035000.0,0.004025626196972665,000001.SS
Q3 1987,1084035000.0,0.004025626196972665,000001.SS
Q4 1987,1084035000.0,0.004025626196972665,000001.SS
Q1 1988,1101630000.0,0.004025626196972665,000001.SS
Q2 1988,1101630000.0,0.004025626196972665,000001.SS
Q3 1988,1101630000.0,0.004025626196972665,000001.SS
Q4 1988,1101630000.0,0.004025626196972665,000001.SS
Q1 1989,1118650000.0,0.0038279638926428383,000001.SS
Q2 1989,1118650000.0,0.0038279638926428383,000001.SS
Q3 1989,1118650000.0,0.0038279638926428383,000001.SS
Q4 1989,1118650000.0,0.0038279638926428383,000001.SS
Q1 1990,1135185000.0,0.00367964050141123,000001.SS
Q2 1990,1135185000.0,0.00367964050141123,000001.SS
