Quarter,Value,Percentage Change,index
Q1 1960,72814900.0,,^GDAXI
Q2 1960,72814900.0,,^GDAXI
Q3 1960,72814900.0,,^GDAXI
Q4 1960,72814900.0,,^GDAXI
Q1 1961,73377632.0,0.0019194663977399884,^GDAXI
Q2 1961,73377632.0,0.0019194663977399884,^GDAXI
Q3 1961,73377632.0,0.0019194663977399884,^GDAXI
Q4 1961,73377632.0,0.0019194663977399884,^GDAXI
Q1 1962,74025784.0,0.0021927770440064442,^GDAXI
Q2 1962,74025784.0,0.0021927770440064442,^GDAXI
Q3 1962,74025784.0,0.0021927770440064442,^GDAXI
Q4 1962,74025784.0,0.0021927770440064442,^GDAXI
Q1 1963,74714353.0,0.0023169352714709213,^GDAXI
Q2 1963,74714353.0,0.0023169352714709213,^GDAXI
Q3 1963,74714353.0,0.0023169352714709213,^GDAXI
Q4 1963,74714353.0,0.0023169352714709213,^GDAXI
Q1 1964,75318337.0,0.00201887796481115,^GDAXI
Q2 1964,75318337.0,0.00201887796481115,^GDAXI
Q3 1964,75318337.0,0.00201887796481115,^GDAXI
Q4 1964,75318337.0,0.00201887796481115,^GDAXI
Q1 1965,75963695.0,0.0021431008299677146,^GDAXI
Q2 1965,75963695.0,0.0021431008299677146,^GDAXI
Q3 1965,75963695.0,0.0021431008299677146,^GDAXI
Q4 1965,75963695.0,0.0021431008299677146,^GDAXI
Q1 1966,76600311.0,0.002093417227483574,^GDAXI
Q2 1966,76600311.0,0.002093417227483574,^GDAXI
Q3 1966,76600311.0,0.002093417227483574,^GDAXI
Q4 1966,76600311.0,0.002093417227483574,^GDAXI
Q1 1967,76951336.0,0.0011480215562862384,^GDAXI
Q2 1967,76951336.0,0.0011480215562862384,^GDAXI
Q3 1967,76951336.0,0.0011480215562862384,^GDAXI
Q4 1967,76951336.0,0.0011480215562862384,^GDAXI
Q1 1968,77294314.0,0.0011231065305328247,^GDAXI
Q2 1968,77294314.0,0.0011231065305328247,^GDAXI
Q3 1968,77294314.0,0.0011231065305328247,^GDAXI
Q4 1968,77294314.0,0.0011231065305328247,^GDAXI
Q1 1969,77909682.0,0.001994027846918156,^GDAXI
Q2 1969,77909682.0,0.001994027846918156,^GDAXI
Q3 1969,77909682.0,0.001994027846918156,^GDAXI
Q4 1969,77909682.0,0.001994027846918156,^GDAXI
Q1 1970,78169289.0,0.0008239810233570122,^GDAXI
Q2 1970,78169289.0,0.0008239810233570122,^GDAXI
Q3 1970,78169289.0,0.0008239810233570122,^GDAXI
Q4 1970,78169289.0,0.0008239810233570122,^GDAXI
Q1 1971,78312842.0,0.000449696568543434,^GDAXI
Q2 1971,78312842.0,0.000449696568543434,^GDAXI
Q3 1971,78312842.0,0.000449696568543434,^GDAXI
Q4 1971,78312842.0,0.000449696568543434,^GDAXI
Q1 1972,78688452.0,0.0011978460281132364,^GDAXI
Q2 1972,78688452.0,0.0011978460281132364,^GDAXI
Q3 1972,78688452.0,0.0011978460281132364,^GDAXI
Q4 1972,78688452.0,0.0011978460281132364,^GDAXI
Q1 1973,78936666.0,0.0007990417880670009,^GDAXI
Q2 1973,78936666.0,0.0007990417880670009,^GDAXI
Q3 1973,78936666.0,0.0007990417880670009,^GDAXI
Q4 1973,78936666.0,0.0007990417880670009,^GDAXI
Q1 1974,78967433.0,9.998500349905903e-05,^GDAXI
Q2 1974,78967433.0,9.998500349905903e-05,^GDAXI
Q3 1974,78967433.0,9.998500349905903e-05,^GDAXI
Q4 1974,78967433.0,9.998500349905903e-05,^GDAXI
Q1 1975,78673554.0,-0.0008260229072745151,^GDAXI
Q2 1975,78673554.0,-0.0008260229072745151,^GDAXI
Q3 1975,78673554.0,-0.0008260229072745151,^GDAXI
