Quarter,Value,Percentage Change,index
Q1 1960,5327827.0,,^SSMI
Q2 1960,5327827.0,,^SSMI
Q3 1960,5327827.0,,^SSMI
Q4 1960,5327827.0,,^SSMI
Q1 1961,5434294.0,0.0049629315732038215,^SSMI
Q2 1961,5434294.0,0.0049629315732038215,^SSMI
Q3 1961,5434294.0,0.0049629315732038215,^SSMI
Q4 1961,5434294.0,0.0049629315732038215,^SSMI
Q1 1962,5573815.0,0.006363991268535152,^SSMI
Q2 1962,5573815.0,0.006363991268535152,^SSMI
Q3 1962,5573815.0,0.006363991268535152,^SSMI
Q4 1962,5573815.0,0.006363991268535152,^SSMI
Q1 1963,5694247.0,0.0053568030701647285,^SSMI
Q2 1963,5694247.0,0.0053568030701647285,^SSMI
Q3 1963,5694247.0,0.0053568030701647285,^SSMI
Q4 1963,5694247.0,0.0053568030701647285,^SSMI
Q1 1964,5789228.0,0.004149105879325488,^SSMI
Q2 1964,5789228.0,0.004149105879325488,^SSMI
Q3 1964,5789228.0,0.004149105879325488,^SSMI
Q4 1964,5789228.0,0.004149105879325488,^SSMI
Q1 1965,5856472.0,0.0028874696866107996,^SSMI
Q2 1965,5856472.0,0.0028874696866107996,^SSMI
Q3 1965,5856472.0,0.0028874696866107996,^SSMI
Q4 1965,5856472.0,0.0028874696866107996,^SSMI
Q1 1966,5918002.0,0.0026147269166845177,^SSMI
Q2 1966,5918002.0,0.0026147269166845177,^SSMI
Q3 1966,5918002.0,0.0026147269166845177,^SSMI
Q4 1966,5918002.0,0.0026147269166845177,^SSMI
Q1 1967,5991785.0,0.0031104574646330096,^SSMI
Q2 1967,5991785.0,0.0031104574646330096,^SSMI
Q3 1967,5991785.0,0.0031104574646330096,^SSMI
Q4 1967,5991785.0,0.0031104574646330096,^SSMI
Q1 1968,6067714.0,0.0031599901145860088,^SSMI
Q2 1968,6067714.0,0.0031599901145860088,^SSMI
Q3 1968,6067714.0,0.0031599901145860088,^SSMI
Q4 1968,6067714.0,0.0031599901145860088,^SSMI
Q1 1969,6136387.0,0.002813107363059064,^SSMI
Q2 1969,6136387.0,0.002813107363059064,^SSMI
Q3 1969,6136387.0,0.002813107363059064,^SSMI
