Quarter,YOY (%),index,Percentage Change
Q1 1997,1,^BSESN,1
Q2 1997,1,^BSESN,1
Q3 1997,1,^BSESN,1
Q4 1997,1,^BSESN,0.25
Q1 1998,0,^BSESN,0
Q2 1998,0,^BSESN,0
Q3 1998,0,^BSESN,0
Q4 1998,0,^BSESN,0
Q1 1999,0,^BSESN,0
Q2 1999,0,^BSESN,0
Q3 1999,0,^BSESN,0
Q4 1999,0,^BSESN,0.25
Q1 2000,1,^BSESN,1
Q2 2000,1,^BSESN,1
Q3 2000,1,^BSESN,1
Q4 2000,1,^BSESN,1
Q1 2001,1,^BSESN,1
Q2 2001,1,^BSESN,1
Q3 2001,1,^BSESN,1
Q4 2001,1,^BSESN,1
Q1 2002,1,^BSESN,1
Q2 2002,1,^BSESN,1
Q3 2002,1,^BSESN,1
Q4 2002,1,^BSESN,1
Q1 2003,1,^BSESN,0.25
Q2 2003,0,^BSESN,0
Q3 2003,0,^BSESN,0
Q4 2003,0,^BSESN,0
Q1 2004,0,^BSESN,0
Q2 2004,0,^BSESN,0
Q3 2004,0,^BSESN,0
Q4 2004,0,^BSESN,0
Q1 2005,0,^BSESN,0
Q2 2005,0,^BSESN,0
Q3 2005,0,^BSESN,0
Q4 2005,0,^BSESN,0
Q1 2006,0,^BSESN,0
Q2 2006,0,^BSESN,0
Q3 2006,0,^BSESN,0
Q4 2006,0,^BSESN,0
Q1 2007,0,^BSESN,0
Q2 2007,0,^BSESN,0
Q3 2007,0,^BSESN,0.25
Q4 2007,1,^BSESN,1
Q1 2008,1,^BSESN,1
Q2 2008,1,^BSESN,1
Q3 2008,1,^BSESN,1
Q4 2008,1,^BSESN,1
Q1 2009,1,^BSESN,0.75
Q2 2009,0,^BSESN,0
Q3 2009,0,^BSESN,0
Q4 2009,0,^BSESN,0
Q1 2010,0,^BSESN,0
Q2 2010,0,^BSESN,0
Q3 2010,0,^BSESN,0
Q4 2010,0,^BSESN,0.25
Q1 2011,1,^BSESN,1
Q2 2011,1,^BSESN,1
Q3 2011,1,^BSESN,1
Q4 2011,1,^BSESN,1
Q1 2012,1,^BSESN,1
Q2 2012,1,^BSESN,1
Q3 2012,1,^BSESN,1
Q4 2012,1,^BSESN,1
Q1 2013,1,^BSESN,1
Q2 2013,1,^BSESN,1
Q3 2013,1,^BSESN,0.5
Q4 2013,0,^BSESN,0
Q1 2014,0,^BSESN,0
Q2 2014,0,^BSESN,0
Q3 2014,0,^BSESN,0
Q4 2014,0,^BSESN,0
Q1 2015,0,^BSESN,0
Q2 2015,0,^BSESN,0
Q3 2015,0,^BSESN,0
Q4 2015,0,^BSESN,0
Q1 2016,0,^BSESN,0
Q2 2016,0,^BSESN,0
Q3 2016,0,^BSESN,0
Q4 2016,0,^BSESN,0
Q1 2017,0,^BSESN,0
Q2 2017,0,^BSESN,0
Q3 2017,0,^BSESN,0
Q4 2017,0,^BSESN,0
Q1 2018,0,^BSESN,0
Q2 2018,0,^BSESN,0.5
Q3 2018,1,^BSESN,1
Q4 2018,1,^BSESN,1
Q1 2019,1,^BSESN,1
Q2 2019,1,^BSESN,1
Q3 2019,1,^BSESN,1
Q4 2019,1,^BSESN,1
Q1 2020,1,^BSESN,1
Q2 2020,1,^BSESN,0.5
Q3 2020,0,^BSESN,0
Q4 2020,0,^BSESN,0
Q1 2021,0,^BSESN,0
Q2 2021,0,^BSESN,0
Q3 2021,0,^BSESN,0
Q4 2021,0,^BSESN,0
Q1 2022,0,^BSESN,0
Q2 2022,0,^BSESN,0
Q3 2022,0,^BSESN,0
