Quarter,YOY (%),index,Percentage Change
Q1 1962,1,^SSMI,1
Q2 1962,1,^SSMI,1
Q3 1962,1,^SSMI,1
Q4 1962,1,^SSMI,1
Q1 1963,1,^SSMI,0.5
Q2 1963,0,^SSMI,0
Q3 1963,0,^SSMI,0
Q4 1963,0,^SSMI,0
Q1 1964,0,^SSMI,0
Q2 1964,0,^SSMI,0.5
Q3 1964,1,^SSMI,1
Q4 1964,1,^SSMI,1
Q1 1965,1,^SSMI,1
Q2 1965,1,^SSMI,1
Q3 1965,1,^SSMI,1
Q4 1965,1,^SSMI,1
Q1 1966,1,^SSMI,0.25
Q2 1966,0,^SSMI,0
Q3 1966,0,^SSMI,0
Q4 1966,0,^SSMI,0
Q1 1967,0,^SSMI,0.75
Q2 1967,1,^SSMI,1
Q3 1967,1,^SSMI,1
Q4 1967,1,^SSMI,0.75
Q1 1968,0,^SSMI,0
Q2 1968,0,^SSMI,0
Q3 1968,0,^SSMI,0
Q4 1968,0,^SSMI,0
Q1 1969,0,^SSMI,0
Q2 1969,0,^SSMI,0
Q3 1969,0,^SSMI,0
Q4 1969,0,^SSMI,0
Q1 1970,0,^SSMI,0
Q2 1970,0,^SSMI,0
Q3 1970,0,^SSMI,0
Q4 1970,0,^SSMI,0
Q1 1971,0,^SSMI,0
Q2 1971,0,^SSMI,0
Q3 1971,0,^SSMI,0
Q4 1971,0,^SSMI,0
Q1 1972,0,^SSMI,0
Q2 1972,0,^SSMI,0
Q3 1972,0,^SSMI,0
Q4 1972,0,^SSMI,0
Q1 1973,0,^SSMI,0
Q2 1973,0,^SSMI,0
Q3 1973,0,^SSMI,0
Q4 1973,0,^SSMI,0
Q1 1974,0,^SSMI,0.25
Q2 1974,1,^SSMI,1
Q3 1974,1,^SSMI,1
Q4 1974,1,^SSMI,1
Q1 1975,1,^SSMI,1
Q2 1975,1,^SSMI,1
Q3 1975,1,^SSMI,1
Q4 1975,1,^SSMI,1
Q1 1976,1,^SSMI,0.25
Q2 1976,0,^SSMI,0
Q3 1976,0,^SSMI,0
Q4 1976,0,^SSMI,0
Q1 1977,0,^SSMI,0
Q2 1977,0,^SSMI,0
Q3 1977,0,^SSMI,0
Q4 1977,0,^SSMI,0
Q1 1978,0,^SSMI,0
Q2 1978,0,^SSMI,0
Q3 1978,0,^SSMI,0
Q4 1978,0,^SSMI,0
Q1 1979,0,^SSMI,0
Q2 1979,0,^SSMI,0
Q3 1979,0,^SSMI,0
Q4 1979,0,^SSMI,0
Q1 1980,0,^SSMI,0
Q2 1980,0,^SSMI,0
Q3 1980,0,^SSMI,0
Q4 1980,0,^SSMI,0
Q1 1981,0,^SSMI,0
Q2 1981,0,^SSMI,0
Q3 1981,0,^SSMI,0.75
Q4 1981,1,^SSMI,1
Q1 1982,1,^SSMI,1
Q2 1982,1,^SSMI,1
Q3 1982,1,^SSMI,1
Q4 1982,1,^SSMI,1
Q1 1983,1,^SSMI,1
Q2 1983,1,^SSMI,1
Q3 1983,1,^SSMI,0.75
Q4 1983,0,^SSMI,0
Q1 1984,0,^SSMI,0
Q2 1984,0,^SSMI,0
Q3 1984,0,^SSMI,0
Q4 1984,0,^SSMI,0
Q1 1985,0,^SSMI,0
Q2 1985,0,^SSMI,0.5
Q3 1985,1,^SSMI,1
Q4 1985,1,^SSMI,1
Q1 1986,1,^SSMI,1
Q2 1986,1,^SSMI,1
Q3 1986,1,^SSMI,1
Q4 1986,1,^SSMI,1
Q1 1987,1,^SSMI,0.75
Q2 1987,0,^SSMI,0
Q3 1987,0,^SSMI,0
Q4 1987,0,^SSMI,0
Q1 1988,0,^SSMI,0
Q2 1988,0,^SSMI,0
Q3 1988,0,^SSMI,0
Q4 1988,0,^SSMI,0
Q1 1989,0,^SSMI,0
Q2 1989,0,^SSMI,0
Q3 1989,0,^SSMI,0
Q4 1989,0,^SSMI,0
Q1 1990,0,^SSMI,0
Q2 1990,0,^SSMI,0.75
Q3 1990,1,^SSMI,1
Q4 1990,1,^SSMI,1
Q1 1991,1,^SSMI,1
Q2 1991,1,^SSMI,1
Q3 1991,1,^SSMI,1
Q4 1991,1,^SSMI,1
Q1 1992,1,^SSMI,1
Q2 1992,1,^SSMI,1
Q3 1992,1,^SSMI,1
Q4 1992,1,^SSMI,1
Q1 1993,1,^SSMI,0.25
Q2 1993,0,^SSMI,0
Q3 1993,0,^SSMI,0
Q4 1993,0,^SSMI,0
Q1 1994,0,^SSMI,0
Q2 1994,0,^SSMI,0
Q3 1994,0,^SSMI,0
Q4 1994,0,^SSMI,0
Q1 1995,0,^SSMI,0
Q2 1995,0,^SSMI,0
Q3 1995,0,^SSMI,0
Q4 1995,0,^SSMI,0
Q1 1996,0,^SSMI,0
Q2 1996,0,^SSMI,0
Q3 1996,0,^SSMI,0
Q4 1996,0,^SSMI,0
Q1 1997,0,^SSMI,0
Q2 1997,0,^SSMI,0
Q3 1997,0,^SSMI,0
Q4 1997,0,^SSMI,0
Q1 1998,0,^SSMI,0
Q2 1998,0,^SSMI,0.5
Q3 1998,1,^SSMI,1
Q4 1998,1,^SSMI,1
Q1 1999,1,^SSMI,0.75
Q2 1999,0,^SSMI,0
Q3 1999,0,^SSMI,0
Q4 1999,0,^SSMI,0
Q1 2000,0,^SSMI,0
Q2 2000,0,^SSMI,0
Q3 2000,0,^SSMI,0
Q4 2000,0,^SSMI,0.25
Q1 2001,1,^SSMI,1
Q2 2001,1,^SSMI,1
Q3 2001,1,^SSMI,1
Q4 2001,1,^SSMI,1
Q1 2002,1,^SSMI,1
Q2 2002,1,^SSMI,1
Q3 2002,1,^SSMI,1
Q4 2002,1,^SSMI,1
Q1 2003,1,^SSMI,1
Q2 2003,1,^SSMI,0.5
Q3 2003,0,^SSMI,0
Q4 2003,0,^SSMI,0
Q1 2004,0,^SSMI,0
Q2 2004,0,^SSMI,0
Q3 2004,0,^SSMI,0
Q4 2004,0,^SSMI,0
Q1 2005,0,^SSMI,0
Q2 2005,0,^SSMI,0
Q3 2005,0,^SSMI,0
Q4 2005,0,^SSMI,0
Q1 2006,0,^SSMI,0
Q2 2006,0,^SSMI,0
Q3 2006,0,^SSMI,0
Q4 2006,0,^SSMI,0
Q1 2007,0,^SSMI,0
Q2 2007,0,^SSMI,0
Q3 2007,0,^SSMI,0
Q4 2007,0,^SSMI,0
Q1 2008,0,^SSMI,0
Q2 2008,0,^SSMI,0.75
Q3 2008,1,^SSMI,1
Q4 2008,1,^SSMI,1
Q1 2009,1,^SSMI,1
Q2 2009,1,^SSMI,0.25
Q3 2009,0,^SSMI,0
Q4 2009,0,^SSMI,0
Q1 2010,0,^SSMI,0
Q2 2010,0,^SSMI,0
Q3 2010,0,^SSMI,0
Q4 2010,0,^SSMI,0
Q1 2011,0,^SSMI,0.5
Q2 2011,1,^SSMI,1
Q3 2011,1,^SSMI,1
Q4 2011,1,^SSMI,1
Q1 2012,1,^SSMI,1
Q2 2012,1,^SSMI,1
Q3 2012,1,^SSMI,1
Q4 2012,1,^SSMI,1
Q1 2013,1,^SSMI,0.25
Q2 2013,0,^SSMI,0
Q3 2013,0,^SSMI,0
Q4 2013,0,^SSMI,0
Q1 2014,0,^SSMI,0
Q2 2014,0,^SSMI,0
Q3 2014,0,^SSMI,0.5
Q4 2014,1,^SSMI,1
Q1 2015,1,^SSMI,1
Q2 2015,1,^SSMI,1
Q3 2015,1,^SSMI,1
Q4 2015,1,^SSMI,1
Q1 2016,1,^SSMI,1
Q2 2016,1,^SSMI,1
Q3 2016,1,^SSMI,1
Q4 2016,1,^SSMI,1
Q1 2017,1,^SSMI,1
Q2 2017,1,^SSMI,0.5
Q3 2017,0,^SSMI,0
Q4 2017,0,^SSMI,0
Q1 2018,0,^SSMI,0
