Quarter,Value,Percentage Change,index
Q1 2001,10.01,,^BVSP
Q2 2001,10.01,,^BVSP
Q3 2001,10.01,,^BVSP
Q4 2001,10.01,,^BVSP
Q1 2002,10.01,0.0,^BVSP
Q2 2002,10.01,0.0,^BVSP
Q3 2002,10.01,0.0,^BVSP
Q4 2002,10.01,0.0,^BVSP
Q1 2003,15.76,0.12015667266175312,^BVSP
Q2 2003,15.76,0.12015667266175312,^BVSP
Q3 2003,15.76,0.12015667266175312,^BVSP
Q4 2003,15.76,0.12015667266175312,^BVSP
Q1 2004,13.07,-0.04571539781386125,^BVSP
Q2 2004,13.07,-0.04571539781386125,^BVSP
Q3 2004,13.07,-0.04571539781386125,^BVSP
Q4 2004,13.07,-0.04571539781386125,^BVSP
Q1 2005,10.84,-0.04568663134052353,^BVSP
Q2 2005,10.84,-0.04568663134052353,^BVSP
Q3 2005,10.84,-0.04568663134052353,^BVSP
Q4 2005,10.84,-0.04568663134052353,^BVSP
Q1 2006,10.2,-0.01508805214769482,^BVSP
Q2 2006,10.2,-0.01508805214769482,^BVSP
Q3 2006,10.2,-0.01508805214769482,^BVSP
Q4 2006,10.2,-0.01508805214769482,^BVSP
Q1 2007,8.66,-0.04009794250498899,^BVSP
Q2 2007,8.66,-0.04009794250498899,^BVSP
Q3 2007,8.66,-0.04009794250498899,^BVSP
Q4 2007,8.66,-0.04009794250498899,^BVSP
Q1 2008,7.79,-0.026131560064933557,^BVSP
Q2 2008,7.79,-0.026131560064933557,^BVSP
Q3 2008,7.79,-0.026131560064933557,^BVSP
Q4 2008,7.79,-0.026131560064933557,^BVSP
Q1 2009,9.5,0.050861427191215114,^BVSP
Q2 2009,9.5,0.050861427191215114,^BVSP
Q3 2009,9.5,0.050861427191215114,^BVSP
Q4 2009,9.5,0.050861427191215114,^BVSP
Q1 2010,7.5,-0.05737699729044454,^BVSP
Q2 2010,7.5,-0.05737699729044454,^BVSP
Q3 2010,7.5,-0.05737699729044454,^BVSP
Q4 2010,7.5,-0.05737699729044454,^BVSP
Q1 2011,8.0,0.016273435790379098,^BVSP
Q2 2011,8.0,0.016273435790379098,^BVSP
Q3 2011,8.0,0.016273435790379098,^BVSP
Q4 2011,8.0,0.016273435790379098,^BVSP
Q1 2012,8.63,0.019143254801748943,^BVSP
Q2 2012,8.63,0.019143254801748943,^BVSP
Q3 2012,8.63,0.019143254801748943,^BVSP
Q4 2012,8.63,0.019143254801748943,^BVSP
Q1 2013,8.43,-0.005851153977198931,^BVSP
Q2 2013,8.43,-0.005851153977198931,^BVSP
Q3 2013,8.43,-0.005851153977198931,^BVSP
Q4 2013,8.43,-0.005851153977198931,^BVSP
Q1 2014,7.85,-0.017662457937606124,^BVSP
Q2 2014,7.85,-0.017662457937606124,^BVSP
Q3 2014,7.85,-0.017662457937606124,^BVSP
Q4 2014,7.85,-0.017662457937606124,^BVSP
Q1 2015,8.6,0.02306468944909912,^BVSP
Q2 2015,8.6,0.02306468944909912,^BVSP
Q3 2015,8.6,0.02306468944909912,^BVSP
Q4 2015,8.6,0.02306468944909912,^BVSP
Q1 2016,10.97,0.0627439166043906,^BVSP
Q2 2016,10.97,0.0627439166043906,^BVSP
Q3 2016,10.97,0.0627439166043906,^BVSP
Q4 2016,10.97,0.0627439166043906,^BVSP
Q1 2017,9.96,-0.02386585625442028,^BVSP
Q2 2017,9.96,-0.02386585625442028,^BVSP
Q3 2017,9.96,-0.02386585625442028,^BVSP
Q4 2017,9.96,-0.02386585625442028,^BVSP
Q1 2018,8.54,-0.03773238526197753,^BVSP
Q2 2018,8.54,-0.03773238526197753,^BVSP
Q3 2018,8.54,-0.03773238526197753,^BVSP
Q4 2018,8.54,-0.03773238526197753,^BVSP
Q1 2019,10.13,0.04361299898012039,^BVSP
Q2 2019,10.13,0.04361299898012039,^BVSP
Q3 2019,10.13,0.04361299898012039,^BVSP
Q4 2019,10.13,0.04361299898012039,^BVSP
Q1 2020,8.16,-0.05263707160397313,^BVSP
Q2 2020,8.16,-0.05263707160397313,^BVSP
Q3 2020,8.16,-0.05263707160397313,^BVSP
Q4 2020,8.16,-0.05263707160397313,^BVSP
Q1 2021,7.63,-0.01666181794324395,^BVSP
Q2 2021,7.63,-0.01666181794324395,^BVSP
Q3 2021,7.63,-0.01666181794324395,^BVSP
Q4 2021,7.63,-0.01666181794324395,^BVSP
Q1 2022,7.21,-0.014043051263809447,^BVSP
Q2 2022,7.21,-0.014043051263809447,^BVSP
Q3 2022,7.21,-0.014043051263809447,^BVSP
Q4 2022,7.21,-0.014043051263809447,^BVSP
Q1 2023,11.13,0.11465566105639846,^BVSP
