Quarter,Value,Percentage Change,index
Q1 2001,5.51,,^FCHI
Q2 2001,5.51,,^FCHI
Q3 2001,5.51,,^FCHI
Q4 2001,5.51,,^FCHI
Q1 2002,5.51,0.0,^FCHI
Q2 2002,5.51,0.0,^FCHI
Q3 2002,5.51,0.0,^FCHI
Q4 2002,5.51,0.0,^FCHI
Q1 2003,4.51,-0.0488376067912043,^FCHI
Q2 2003,4.51,-0.0488376067912043,^FCHI
Q3 2003,4.51,-0.0488376067912043,^FCHI
Q4 2003,4.51,-0.0488376067912043,^FCHI
Q1 2004,4.82,0.016749464510433354,^FCHI
Q2 2004,4.82,0.016749464510433354,^FCHI
Q3 2004,4.82,0.016749464510433354,^FCHI
Q4 2004,4.82,0.016749464510433354,^FCHI
Q1 2005,4.84,0.001023427821025491,^FCHI
Q2 2005,4.84,0.001023427821025491,^FCHI
Q3 2005,4.84,0.001023427821025491,^FCHI
Q4 2005,4.84,0.001023427821025491,^FCHI
Q1 2006,4.8,-0.0020814898866517995,^FCHI
Q2 2006,4.8,-0.0020814898866517995,^FCHI
Q3 2006,4.8,-0.0020814898866517995,^FCHI
Q4 2006,4.8,-0.0020814898866517995,^FCHI
Q1 2007,4.91,0.005676483138932875,^FCHI
Q2 2007,4.91,0.005676483138932875,^FCHI
Q3 2007,4.91,0.005676483138932875,^FCHI
Q4 2007,4.91,0.005676483138932875,^FCHI
Q1 2008,4.79,-0.006156623008806483,^FCHI
Q2 2008,4.79,-0.006156623008806483,^FCHI
Q3 2008,4.79,-0.006156623008806483,^FCHI
Q4 2008,4.79,-0.006156623008806483,^FCHI
Q1 2009,5.0,0.010774607531910174,^FCHI
Q2 2009,5.0,0.010774607531910174,^FCHI
Q3 2009,5.0,0.010774607531910174,^FCHI
Q4 2009,5.0,0.010774607531910174,^FCHI
Q1 2010,4.5,-0.025996253574703254,^FCHI
Q2 2010,4.5,-0.025996253574703254,^FCHI
Q3 2010,4.5,-0.025996253574703254,^FCHI
Q4 2010,4.5,-0.025996253574703254,^FCHI
Q1 2011,5.0,0.02668752934547558,^FCHI
Q2 2011,5.0,0.02668752934547558,^FCHI
Q3 2011,5.0,0.02668752934547558,^FCHI
Q4 2011,5.0,0.02668752934547558,^FCHI
Q1 2012,6.0,0.04663513939210562,^FCHI
Q2 2012,6.0,0.04663513939210562,^FCHI
Q3 2012,6.0,0.04663513939210562,^FCHI
Q4 2012,6.0,0.04663513939210562,^FCHI
Q1 2013,6.18,0.007417071777732875,^FCHI
Q2 2013,6.18,0.007417071777732875,^FCHI
Q3 2013,6.18,0.007417071777732875,^FCHI
Q4 2013,6.18,0.007417071777732875,^FCHI
Q1 2014,5.6,-0.024350036584338763,^FCHI
Q2 2014,5.6,-0.024350036584338763,^FCHI
Q3 2014,5.6,-0.024350036584338763,^FCHI
Q4 2014,5.6,-0.024350036584338763,^FCHI
Q1 2015,6.35,0.031914437784748895,^FCHI
Q2 2015,6.35,0.031914437784748895,^FCHI
Q3 2015,6.35,0.031914437784748895,^FCHI
Q4 2015,6.35,0.031914437784748895,^FCHI
Q1 2016,7.03,0.025762251252314128,^FCHI
Q2 2016,7.03,0.025762251252314128,^FCHI
Q3 2016,7.03,0.025762251252314128,^FCHI
Q4 2016,7.03,0.025762251252314128,^FCHI
Q1 2017,6.4,-0.023194576514787624,^FCHI
Q2 2017,6.4,-0.023194576514787624,^FCHI
Q3 2017,6.4,-0.023194576514787624,^FCHI
Q4 2017,6.4,-0.023194576514787624,^FCHI
Q1 2018,5.65,-0.03068355439324788,^FCHI
Q2 2018,5.65,-0.03068355439324788,^FCHI
Q3 2018,5.65,-0.03068355439324788,^FCHI
Q4 2018,5.65,-0.03068355439324788,^FCHI
Q1 2019,6.65,0.04158355805438929,^FCHI
Q2 2019,6.65,0.04158355805438929,^FCHI
Q3 2019,6.65,0.04158355805438929,^FCHI
Q4 2019,6.65,0.04158355805438929,^FCHI
Q1 2020,5.69,-0.038237822334557525,^FCHI
Q2 2020,5.69,-0.038237822334557525,^FCHI
Q3 2020,5.69,-0.038237822334557525,^FCHI
Q4 2020,5.69,-0.038237822334557525,^FCHI
Q1 2021,5.2,-0.022257103650095478,^FCHI
Q2 2021,5.2,-0.022257103650095478,^FCHI
Q3 2021,5.2,-0.022257103650095478,^FCHI
Q4 2021,5.2,-0.022257103650095478,^FCHI
Q1 2022,4.73,-0.02340923544951079,^FCHI
Q2 2022,4.73,-0.02340923544951079,^FCHI
Q3 2022,4.73,-0.02340923544951079,^FCHI
Q4 2022,4.73,-0.02340923544951079,^FCHI
Q1 2023,6.79,0.09458829377211564,^FCHI
