Quarter,Value,Percentage Change,index
Q1 2001,5.51,,^GDAXI
Q2 2001,5.51,,^GDAXI
Q3 2001,5.51,,^GDAXI
Q4 2001,5.51,,^GDAXI
Q1 2002,5.51,0.0,^GDAXI
Q2 2002,5.51,0.0,^GDAXI
Q3 2002,5.51,0.0,^GDAXI
Q4 2002,5.51,0.0,^GDAXI
Q1 2003,4.51,-0.0488376067912043,^GDAXI
Q2 2003,4.51,-0.0488376067912043,^GDAXI
Q3 2003,4.51,-0.0488376067912043,^GDAXI
Q4 2003,4.51,-0.0488376067912043,^GDAXI
Q1 2004,4.82,0.016749464510433354,^GDAXI
Q2 2004,4.82,0.016749464510433354,^GDAXI
Q3 2004,4.82,0.016749464510433354,^GDAXI
Q4 2004,4.82,0.016749464510433354,^GDAXI
Q1 2005,4.84,0.001023427821025491,^GDAXI
Q2 2005,4.84,0.001023427821025491,^GDAXI
Q3 2005,4.84,0.001023427821025491,^GDAXI
Q4 2005,4.84,0.001023427821025491,^GDAXI
Q1 2006,4.8,-0.0020814898866517995,^GDAXI
Q2 2006,4.8,-0.0020814898866517995,^GDAXI
Q3 2006,4.8,-0.0020814898866517995,^GDAXI
Q4 2006,4.8,-0.0020814898866517995,^GDAXI
Q1 2007,4.91,0.005676483138932875,^GDAXI
Q2 2007,4.91,0.005676483138932875,^GDAXI
Q3 2007,4.91,0.005676483138932875,^GDAXI
Q4 2007,4.91,0.005676483138932875,^GDAXI
Q1 2008,4.79,-0.006156623008806483,^GDAXI
Q2 2008,4.79,-0.006156623008806483,^GDAXI
Q3 2008,4.79,-0.006156623008806483,^GDAXI
Q4 2008,4.79,-0.006156623008806483,^GDAXI
Q1 2009,5.0,0.010774607531910174,^GDAXI
Q2 2009,5.0,0.010774607531910174,^GDAXI
Q3 2009,5.0,0.010774607531910174,^GDAXI
Q4 2009,5.0,0.010774607531910174,^GDAXI
Q1 2010,4.5,-0.025996253574703254,^GDAXI
Q2 2010,4.5,-0.025996253574703254,^GDAXI
Q3 2010,4.5,-0.025996253574703254,^GDAXI
Q4 2010,4.5,-0.025996253574703254,^GDAXI
Q1 2011,5.0,0.02668752934547558,^GDAXI
Q2 2011,5.0,0.02668752934547558,^GDAXI
Q3 2011,5.0,0.02668752934547558,^GDAXI
Q4 2011,5.0,0.02668752934547558,^GDAXI
Q1 2012,6.0,0.04663513939210562,^GDAXI
Q2 2012,6.0,0.04663513939210562,^GDAXI
Q3 2012,6.0,0.04663513939210562,^GDAXI
Q4 2012,6.0,0.04663513939210562,^GDAXI
Q1 2013,5.8,-0.008431025247545465,^GDAXI
Q2 2013,5.8,-0.008431025247545465,^GDAXI
Q3 2013,5.8,-0.008431025247545465,^GDAXI
Q4 2013,5.8,-0.008431025247545465,^GDAXI
Q1 2014,5.0,-0.036416374508530414,^GDAXI
Q2 2014,5.0,-0.036416374508530414,^GDAXI
Q3 2014,5.0,-0.036416374508530414,^GDAXI
Q4 2014,5.0,-0.036416374508530414,^GDAXI
Q1 2015,5.75,0.035558076341622114,^GDAXI
Q2 2015,5.75,0.035558076341622114,^GDAXI
Q3 2015,5.75,0.035558076341622114,^GDAXI
Q4 2015,5.75,0.035558076341622114,^GDAXI
Q1 2016,6.25,0.021074395682444402,^GDAXI
Q2 2016,6.25,0.021074395682444402,^GDAXI
Q3 2016,6.25,0.021074395682444402,^GDAXI
Q4 2016,6.25,0.021074395682444402,^GDAXI
Q1 2017,5.69,-0.023194576514787624,^GDAXI
Q2 2017,5.69,-0.023194576514787624,^GDAXI
Q3 2017,5.69,-0.023194576514787624,^GDAXI
Q4 2017,5.69,-0.023194576514787624,^GDAXI
Q1 2018,5.08,-0.02795013251303957,^GDAXI
Q2 2018,5.08,-0.02795013251303957,^GDAXI
Q3 2018,5.08,-0.02795013251303957,^GDAXI
Q4 2018,5.08,-0.02795013251303957,^GDAXI
Q1 2019,5.96,0.040741837884919585,^GDAXI
Q2 2019,5.96,0.040741837884919585,^GDAXI
Q3 2019,5.96,0.040741837884919585,^GDAXI
Q4 2019,5.96,0.040741837884919585,^GDAXI
Q1 2020,5.2,-0.033523365717789244,^GDAXI
Q2 2020,5.2,-0.033523365717789244,^GDAXI
Q3 2020,5.2,-0.033523365717789244,^GDAXI
Q4 2020,5.2,-0.033523365717789244,^GDAXI
Q1 2021,4.72,-0.023919618496451966,^GDAXI
Q2 2021,4.72,-0.023919618496451966,^GDAXI
Q3 2021,4.72,-0.023919618496451966,^GDAXI
Q4 2021,4.72,-0.023919618496451966,^GDAXI
Q1 2022,4.24,-0.026456525942972542,^GDAXI
Q2 2022,4.24,-0.026456525942972542,^GDAXI
Q3 2022,4.24,-0.026456525942972542,^GDAXI
Q4 2022,4.24,-0.026456525942972542,^GDAXI
Q1 2023,5.94,0.08793208194786994,^GDAXI
