Quarter,Value,Percentage Change,index
Q1 2001,6.46,,^HSI
Q2 2001,6.46,,^HSI
Q3 2001,6.46,,^HSI
Q4 2001,6.46,,^HSI
Q1 2002,6.46,0.0,^HSI
Q2 2002,6.46,0.0,^HSI
Q3 2002,6.46,0.0,^HSI
Q4 2002,6.46,0.0,^HSI
Q1 2003,5.86,-0.024080958546840336,^HSI
Q2 2003,5.86,-0.024080958546840336,^HSI
Q3 2003,5.86,-0.024080958546840336,^HSI
Q4 2003,5.86,-0.024080958546840336,^HSI
Q1 2004,6.02,0.006756221291850162,^HSI
Q2 2004,6.02,0.006756221291850162,^HSI
Q3 2004,6.02,0.006756221291850162,^HSI
Q4 2004,6.02,0.006756221291850162,^HSI
Q1 2005,5.89,-0.005444299443083445,^HSI
Q2 2005,5.89,-0.005444299443083445,^HSI
Q3 2005,5.89,-0.005444299443083445,^HSI
Q4 2005,5.89,-0.005444299443083445,^HSI
Q1 2006,5.7,-0.008174693252205767,^HSI
Q2 2006,5.7,-0.008174693252205767,^HSI
Q3 2006,5.7,-0.008174693252205767,^HSI
Q4 2006,5.7,-0.008174693252205767,^HSI
Q1 2007,5.81,0.004790467071799975,^HSI
Q2 2007,5.81,0.004790467071799975,^HSI
Q3 2007,5.81,0.004790467071799975,^HSI
Q4 2007,5.81,0.004790467071799975,^HSI
Q1 2008,5.54,-0.011833391617962374,^HSI
Q2 2008,5.54,-0.011833391617962374,^HSI
Q3 2008,5.54,-0.011833391617962374,^HSI
Q4 2008,5.54,-0.011833391617962374,^HSI
Q1 2009,6.5,0.0407640145933541,^HSI
Q2 2009,6.5,0.0407640145933541,^HSI
Q3 2009,6.5,0.0407640145933541,^HSI
Q4 2009,6.5,0.0407640145933541,^HSI
Q1 2010,5.4,-0.04528417358437631,^HSI
Q2 2010,5.4,-0.04528417358437631,^HSI
Q3 2010,5.4,-0.04528417358437631,^HSI
Q4 2010,5.4,-0.04528417358437631,^HSI
Q1 2011,5.38,-0.0009262862146519613,^HSI
Q2 2011,5.38,-0.0009262862146519613,^HSI
Q3 2011,5.38,-0.0009262862146519613,^HSI
Q4 2011,5.38,-0.0009262862146519613,^HSI
Q1 2012,6.38,0.04354700808542278,^HSI
Q2 2012,6.38,0.04354700808542278,^HSI
Q3 2012,6.38,0.04354700808542278,^HSI
Q4 2012,6.38,0.04354700808542278,^HSI
Q1 2013,6.18,-0.007918559845853324,^HSI
Q2 2013,6.18,-0.007918559845853324,^HSI
Q3 2013,6.18,-0.007918559845853324,^HSI
Q4 2013,6.18,-0.007918559845853324,^HSI
Q1 2014,5.6,-0.024350036584338763,^HSI
Q2 2014,5.6,-0.024350036584338763,^HSI
Q3 2014,5.6,-0.024350036584338763,^HSI
Q4 2014,5.6,-0.024350036584338763,^HSI
Q1 2015,6.35,0.031914437784748895,^HSI
Q2 2015,6.35,0.031914437784748895,^HSI
Q3 2015,6.35,0.031914437784748895,^HSI
Q4 2015,6.35,0.031914437784748895,^HSI
Q1 2016,6.88,0.020251469359793717,^HSI
Q2 2016,6.88,0.020251469359793717,^HSI
Q3 2016,6.88,0.020251469359793717,^HSI
Q4 2016,6.88,0.020251469359793717,^HSI
Q1 2017,6.25,-0.023731489499170366,^HSI
Q2 2017,6.25,-0.023731489499170366,^HSI
Q3 2017,6.25,-0.023731489499170366,^HSI
Q4 2017,6.25,-0.023731489499170366,^HSI
Q1 2018,5.65,-0.024915826238382066,^HSI
Q2 2018,5.65,-0.024915826238382066,^HSI
Q3 2018,5.65,-0.024915826238382066,^HSI
Q4 2018,5.65,-0.024915826238382066,^HSI
Q1 2019,6.65,0.04158355805438929,^HSI
Q2 2019,6.65,0.04158355805438929,^HSI
Q3 2019,6.65,0.04158355805438929,^HSI
Q4 2019,6.65,0.04158355805438929,^HSI
Q1 2020,5.69,-0.038237822334557525,^HSI
Q2 2020,5.69,-0.038237822334557525,^HSI
Q3 2020,5.69,-0.038237822334557525,^HSI
Q4 2020,5.69,-0.038237822334557525,^HSI
Q1 2021,5.31,-0.017135424354572715,^HSI
Q2 2021,5.31,-0.017135424354572715,^HSI
Q3 2021,5.31,-0.017135424354572715,^HSI
Q4 2021,5.31,-0.017135424354572715,^HSI
Q1 2022,4.84,-0.02289965135503913,^HSI
Q2 2022,4.84,-0.02289965135503913,^HSI
Q3 2022,4.84,-0.02289965135503913,^HSI
Q4 2022,4.84,-0.02289965135503913,^HSI
Q1 2023,6.97,0.09546413265944587,^HSI
