Quarter,Value,Percentage Change,index
Q1 2001,8.51,,^BSESN
Q2 2001,8.51,,^BSESN
Q3 2001,8.51,,^BSESN
Q4 2001,8.51,,^BSESN
Q1 2002,8.51,0.0,^BSESN
Q2 2002,8.51,0.0,^BSESN
Q3 2002,8.51,0.0,^BSESN
Q4 2002,8.51,0.0,^BSESN
Q1 2003,10.51,0.054184774384758105,^BSESN
Q2 2003,10.51,0.054184774384758105,^BSESN
Q3 2003,10.51,0.054184774384758105,^BSESN
Q4 2003,10.51,0.054184774384758105,^BSESN
Q1 2004,7.0,-0.09662398165319519,^BSESN
Q2 2004,7.0,-0.09662398165319519,^BSESN
Q3 2004,7.0,-0.09662398165319519,^BSESN
Q4 2004,7.0,-0.09662398165319519,^BSESN
Q1 2005,9.34,0.07476464469411614,^BSESN
Q2 2005,9.34,0.07476464469411614,^BSESN
Q3 2005,9.34,0.07476464469411614,^BSESN
Q4 2005,9.34,0.07476464469411614,^BSESN
Q1 2006,8.85,-0.013391609250869352,^BSESN
Q2 2006,8.85,-0.013391609250869352,^BSESN
Q3 2006,8.85,-0.013391609250869352,^BSESN
Q4 2006,8.85,-0.013391609250869352,^BSESN
Q1 2007,8.66,-0.00541888760785203,^BSESN
Q2 2007,8.66,-0.00541888760785203,^BSESN
Q3 2007,8.66,-0.00541888760785203,^BSESN
Q4 2007,8.66,-0.00541888760785203,^BSESN
Q1 2008,8.54,-0.0034932617256081544,^BSESN
Q2 2008,8.54,-0.0034932617256081544,^BSESN
Q3 2008,8.54,-0.0034932617256081544,^BSESN
Q4 2008,8.54,-0.0034932617256081544,^BSESN
Q1 2009,11.0,0.06533794290114203,^BSESN
Q2 2009,11.0,0.06533794290114203,^BSESN
Q3 2009,11.0,0.06533794290114203,^BSESN
Q4 2009,11.0,0.06533794290114203,^BSESN
Q1 2010,9.0,-0.04892477476510371,^BSESN
Q2 2010,9.0,-0.04892477476510371,^BSESN
Q3 2010,9.0,-0.04892477476510371,^BSESN
Q4 2010,9.0,-0.04892477476510371,^BSESN
Q1 2011,8.6,-0.011289752865888958,^BSESN
Q2 2011,8.6,-0.011289752865888958,^BSESN
Q3 2011,8.6,-0.011289752865888958,^BSESN
Q4 2011,8.6,-0.011289752865888958,^BSESN
Q1 2012,9.0,0.011427617728407169,^BSESN
Q2 2012,9.0,0.011427617728407169,^BSESN
Q3 2012,9.0,0.011427617728407169,^BSESN
Q4 2012,9.0,0.011427617728407169,^BSESN
Q1 2013,8.8,-0.005596811375476962,^BSESN
Q2 2013,8.8,-0.005596811375476962,^BSESN
Q3 2013,8.8,-0.005596811375476962,^BSESN
Q4 2013,8.8,-0.005596811375476962,^BSESN
Q1 2014,8.3,-0.014512890305348192,^BSESN
Q2 2014,8.3,-0.014512890305348192,^BSESN
Q3 2014,8.3,-0.014512890305348192,^BSESN
Q4 2014,8.3,-0.014512890305348192,^BSESN
Q1 2015,9.05,0.021871909084758556,^BSESN
Q2 2015,9.05,0.021871909084758556,^BSESN
Q3 2015,9.05,0.021871909084758556,^BSESN
Q4 2015,9.05,0.021871909084758556,^BSESN
Q1 2016,9.71,0.017746954147686678,^BSESN
Q2 2016,9.71,0.017746954147686678,^BSESN
Q3 2016,9.71,0.017746954147686678,^BSESN
Q4 2016,9.71,0.017746954147686678,^BSESN
Q1 2017,8.82,-0.023758358411950953,^BSESN
Q2 2017,8.82,-0.023758358411950953,^BSESN
Q3 2017,8.82,-0.023758358411950953,^BSESN
Q4 2017,8.82,-0.023758358411950953,^BSESN
Q1 2018,7.27,-0.04715705011867821,^BSESN
Q2 2018,7.27,-0.04715705011867821,^BSESN
Q3 2018,7.27,-0.04715705011867821,^BSESN
Q4 2018,7.27,-0.04715705011867821,^BSESN
Q1 2019,8.6,0.042886409534447445,^BSESN
Q2 2019,8.6,0.042886409534447445,^BSESN
Q3 2019,8.6,0.042886409534447445,^BSESN
Q4 2019,8.6,0.042886409534447445,^BSESN
Q1 2020,7.08,-0.04744616716803185,^BSESN
Q2 2020,7.08,-0.04744616716803185,^BSESN
Q3 2020,7.08,-0.04744616716803185,^BSESN
Q4 2020,7.08,-0.04744616716803185,^BSESN
Q1 2021,6.85,-0.008225943752660947,^BSESN
Q2 2021,6.85,-0.008225943752660947,^BSESN
Q3 2021,6.85,-0.008225943752660947,^BSESN
Q4 2021,6.85,-0.008225943752660947,^BSESN
Q1 2022,6.42,-0.016083893402249583,^BSESN
Q2 2022,6.42,-0.016083893402249583,^BSESN
Q3 2022,6.42,-0.016083893402249583,^BSESN
Q4 2022,6.42,-0.016083893402249583,^BSESN
Q1 2023,9.73,0.10954813853252499,^BSESN
