Quarter,Value,Percentage Change,index
Q1 2001,6.11,,^N225
Q2 2001,6.11,,^N225
Q3 2001,6.11,,^N225
Q4 2001,6.11,,^N225
Q1 2002,6.11,0.0,^N225
Q2 2002,6.11,0.0,^N225
Q3 2002,6.11,0.0,^N225
Q4 2002,6.11,0.0,^N225
Q1 2003,6.39,0.011258440233533396,^N225
Q2 2003,6.39,0.011258440233533396,^N225
Q3 2003,6.39,0.011258440233533396,^N225
Q4 2003,6.39,0.011258440233533396,^N225
Q1 2004,6.17,-0.008713220241962638,^N225
Q2 2004,6.17,-0.008713220241962638,^N225
Q3 2004,6.17,-0.008713220241962638,^N225
Q4 2004,6.17,-0.008713220241962638,^N225
Q1 2005,6.19,0.0007990417880670009,^N225
Q2 2005,6.19,0.0007990417880670009,^N225
Q3 2005,6.19,0.0007990417880670009,^N225
Q4 2005,6.19,0.0007990417880670009,^N225
Q1 2006,6.0,-0.007764974975527084,^N225
Q2 2006,6.0,-0.007764974975527084,^N225
Q3 2006,6.0,-0.007764974975527084,^N225
Q4 2006,6.0,-0.007764974975527084,^N225
Q1 2007,6.11,0.004543935054553527,^N225
Q2 2007,6.11,0.004543935054553527,^N225
Q3 2007,6.11,0.004543935054553527,^N225
Q4 2007,6.11,0.004543935054553527,^N225
Q1 2008,5.84,-0.011238024493245735,^N225
Q2 2008,5.84,-0.011238024493245735,^N225
Q3 2008,5.84,-0.011238024493245735,^N225
Q4 2008,5.84,-0.011238024493245735,^N225
Q1 2009,6.8,0.03878471148611773,^N225
Q2 2009,6.8,0.03878471148611773,^N225
Q3 2009,6.8,0.03878471148611773,^N225
Q4 2009,6.8,0.03878471148611773,^N225
Q1 2010,5.4,-0.05600694539177442,^N225
Q2 2010,5.4,-0.05600694539177442,^N225
Q3 2010,5.4,-0.05600694539177442,^N225
Q4 2010,5.4,-0.05600694539177442,^N225
Q1 2011,5.75,0.015820588077025688,^N225
Q2 2011,5.75,0.015820588077025688,^N225
Q3 2011,5.75,0.015820588077025688,^N225
Q4 2011,5.75,0.015820588077025688,^N225
Q1 2012,7.05,0.052280380364483126,^N225
Q2 2012,7.05,0.052280380364483126,^N225
Q3 2012,7.05,0.052280380364483126,^N225
Q4 2012,7.05,0.052280380364483126,^N225
Q1 2013,6.85,-0.00717689268020727,^N225
Q2 2013,6.85,-0.00717689268020727,^N225
Q3 2013,6.85,-0.00717689268020727,^N225
Q4 2013,6.85,-0.00717689268020727,^N225
Q1 2014,5.9,-0.036639995694506156,^N225
Q2 2014,5.9,-0.036639995694506156,^N225
Q3 2014,5.9,-0.036639995694506156,^N225
Q4 2014,5.9,-0.036639995694506156,^N225
Q1 2015,6.8,0.036120421417894066,^N225
Q2 2015,6.8,0.036120421417894066,^N225
Q3 2015,6.8,0.036120421417894066,^N225
Q4 2015,6.8,0.036120421417894066,^N225
Q1 2016,7.36,0.01999242364401721,^N225
Q2 2016,7.36,0.01999242364401721,^N225
Q3 2016,7.36,0.01999242364401721,^N225
Q4 2016,7.36,0.01999242364401721,^N225
Q1 2017,6.69,-0.023570322591410453,^N225
Q2 2017,6.69,-0.023570322591410453,^N225
Q3 2017,6.69,-0.023570322591410453,^N225
Q4 2017,6.69,-0.023570322591410453,^N225
Q1 2018,5.89,-0.031343028487797464,^N225
Q2 2018,5.89,-0.031343028487797464,^N225
Q3 2018,5.89,-0.031343028487797464,^N225
Q4 2018,5.89,-0.031343028487797464,^N225
Q1 2019,6.94,0.04187104704140565,^N225
Q2 2019,6.94,0.04187104704140565,^N225
Q3 2019,6.94,0.04187104704140565,^N225
Q4 2019,6.94,0.04187104704140565,^N225
Q1 2020,5.89,-0.040182750745202944,^N225
Q2 2020,5.89,-0.040182750745202944,^N225
Q3 2020,5.89,-0.040182750745202944,^N225
Q4 2020,5.89,-0.040182750745202944,^N225
Q1 2021,5.4,-0.021482378141882474,^N225
Q2 2021,5.4,-0.021482378141882474,^N225
Q3 2021,5.4,-0.021482378141882474,^N225
Q4 2021,5.4,-0.021482378141882474,^N225
Q1 2022,4.94,-0.02201647452655553,^N225
Q2 2022,4.94,-0.02201647452655553,^N225
Q3 2022,4.94,-0.02201647452655553,^N225
Q4 2022,4.94,-0.02201647452655553,^N225
Q1 2023,7.16,0.09722846101511573,^N225
