Quarter,Value,Percentage Change,index
Q1 2001,5.51,,^FTLC
Q2 2001,5.51,,^FTLC
Q3 2001,5.51,,^FTLC
Q4 2001,5.51,,^FTLC
Q1 2002,5.51,0.0,^FTLC
Q2 2002,5.51,0.0,^FTLC
Q3 2002,5.51,0.0,^FTLC
Q4 2002,5.51,0.0,^FTLC
Q1 2003,4.51,-0.0488376067912043,^FTLC
Q2 2003,4.51,-0.0488376067912043,^FTLC
Q3 2003,4.51,-0.0488376067912043,^FTLC
Q4 2003,4.51,-0.0488376067912043,^FTLC
Q1 2004,4.82,0.016749464510433354,^FTLC
Q2 2004,4.82,0.016749464510433354,^FTLC
Q3 2004,4.82,0.016749464510433354,^FTLC
Q4 2004,4.82,0.016749464510433354,^FTLC
Q1 2005,4.84,0.001023427821025491,^FTLC
Q2 2005,4.84,0.001023427821025491,^FTLC
Q3 2005,4.84,0.001023427821025491,^FTLC
Q4 2005,4.84,0.001023427821025491,^FTLC
Q1 2006,4.8,-0.0020814898866517995,^FTLC
Q2 2006,4.8,-0.0020814898866517995,^FTLC
Q3 2006,4.8,-0.0020814898866517995,^FTLC
Q4 2006,4.8,-0.0020814898866517995,^FTLC
Q1 2007,4.91,0.005676483138932875,^FTLC
Q2 2007,4.91,0.005676483138932875,^FTLC
Q3 2007,4.91,0.005676483138932875,^FTLC
Q4 2007,4.91,0.005676483138932875,^FTLC
Q1 2008,4.79,-0.006156623008806483,^FTLC
Q2 2008,4.79,-0.006156623008806483,^FTLC
Q3 2008,4.79,-0.006156623008806483,^FTLC
Q4 2008,4.79,-0.006156623008806483,^FTLC
Q1 2009,5.0,0.010774607531910174,^FTLC
Q2 2009,5.0,0.010774607531910174,^FTLC
Q3 2009,5.0,0.010774607531910174,^FTLC
Q4 2009,5.0,0.010774607531910174,^FTLC
Q1 2010,4.5,-0.025996253574703254,^FTLC
Q2 2010,4.5,-0.025996253574703254,^FTLC
Q3 2010,4.5,-0.025996253574703254,^FTLC
Q4 2010,4.5,-0.025996253574703254,^FTLC
Q1 2011,5.0,0.02668752934547558,^FTLC
Q2 2011,5.0,0.02668752934547558,^FTLC
Q3 2011,5.0,0.02668752934547558,^FTLC
Q4 2011,5.0,0.02668752934547558,^FTLC
Q1 2012,6.0,0.04663513939210562,^FTLC
Q2 2012,6.0,0.04663513939210562,^FTLC
Q3 2012,6.0,0.04663513939210562,^FTLC
Q4 2012,6.0,0.04663513939210562,^FTLC
Q1 2013,5.8,-0.008431025247545465,^FTLC
Q2 2013,5.8,-0.008431025247545465,^FTLC
Q3 2013,5.8,-0.008431025247545465,^FTLC
Q4 2013,5.8,-0.008431025247545465,^FTLC
Q1 2014,5.6,-0.008738886285864167,^FTLC
Q2 2014,5.6,-0.008738886285864167,^FTLC
Q3 2014,5.6,-0.008738886285864167,^FTLC
Q4 2014,5.6,-0.008738886285864167,^FTLC
Q1 2015,6.35,0.031914437784748895,^FTLC
Q2 2015,6.35,0.031914437784748895,^FTLC
Q3 2015,6.35,0.031914437784748895,^FTLC
Q4 2015,6.35,0.031914437784748895,^FTLC
Q1 2016,6.88,0.020251469359793717,^FTLC
Q2 2016,6.88,0.020251469359793717,^FTLC
Q3 2016,6.88,0.020251469359793717,^FTLC
Q4 2016,6.88,0.020251469359793717,^FTLC
Q1 2017,6.25,-0.023731489499170366,^FTLC
Q2 2017,6.25,-0.023731489499170366,^FTLC
Q3 2017,6.25,-0.023731489499170366,^FTLC
Q4 2017,6.25,-0.023731489499170366,^FTLC
Q1 2018,5.65,-0.024915826238382066,^FTLC
Q2 2018,5.65,-0.024915826238382066,^FTLC
Q3 2018,5.65,-0.024915826238382066,^FTLC
Q4 2018,5.65,-0.024915826238382066,^FTLC
Q1 2019,6.65,0.04158355805438929,^FTLC
Q2 2019,6.65,0.04158355805438929,^FTLC
Q3 2019,6.65,0.04158355805438929,^FTLC
Q4 2019,6.65,0.04158355805438929,^FTLC
Q1 2020,5.69,-0.038237822334557525,^FTLC
Q2 2020,5.69,-0.038237822334557525,^FTLC
Q3 2020,5.69,-0.038237822334557525,^FTLC
Q4 2020,5.69,-0.038237822334557525,^FTLC
Q1 2021,5.31,-0.017135424354572715,^FTLC
Q2 2021,5.31,-0.017135424354572715,^FTLC
Q3 2021,5.31,-0.017135424354572715,^FTLC
Q4 2021,5.31,-0.017135424354572715,^FTLC
Q1 2022,4.84,-0.02289965135503913,^FTLC
Q2 2022,4.84,-0.02289965135503913,^FTLC
Q3 2022,4.84,-0.02289965135503913,^FTLC
Q4 2022,4.84,-0.02289965135503913,^FTLC
Q1 2023,6.97,0.09546413265944587,^FTLC
