Date,Value,YOY (%),index
2023-01-01,5.94,40.09,^GSPC
2022-01-01,4.24,-10.17,^GSPC
2021-01-01,4.72,-9.23,^GSPC
2020-01-01,5.2,-12.75,^GSPC
2019-01-01,5.96,17.32,^GSPC
2018-01-01,5.08,-10.72,^GSPC
2017-01-01,5.69,-8.96,^GSPC
2016-01-01,6.25,8.7,^GSPC
2015-01-01,5.75,15.0,^GSPC
2014-01-01,5.0,-13.79,^GSPC
2013-01-01,5.8,-3.33,^GSPC
2012-01-01,6.0,20.0,^GSPC
2011-01-01,5.0,11.11,^GSPC
2010-01-01,4.5,-10.0,^GSPC
2009-01-01,5.0,4.38,^GSPC
2008-01-01,4.79,-2.44,^GSPC
2007-01-01,4.91,2.29,^GSPC
2006-01-01,4.8,-0.83,^GSPC
2005-01-01,4.84,0.41,^GSPC
2004-01-01,4.82,6.87,^GSPC
2003-01-01,4.51,-18.15,^GSPC
2002-01-01,5.51,0.0,^GSPC
2001-01-01,5.51,,^GSPC
