Quarter,Value,Percentage Change,index
Q1 1991,10.1,,^BVSP
Q2 1991,10.1,,^BVSP
Q3 1991,10.1,,^BVSP
Q4 1991,10.1,,^BVSP
Q1 1992,11.6,0.03522022906388589,^BVSP
Q2 1992,11.6,0.03522022906388589,^BVSP
Q3 1992,11.6,0.03522022906388589,^BVSP
Q4 1992,11.6,0.03522022906388589,^BVSP
Q1 1993,11.0,-0.01318342008740514,^BVSP
Q2 1993,11.0,-0.01318342008740514,^BVSP
Q3 1993,11.0,-0.01318342008740514,^BVSP
Q4 1993,11.0,-0.01318342008740514,^BVSP
Q1 1994,10.5,-0.011574404147586814,^BVSP
Q2 1994,10.5,-0.011574404147586814,^BVSP
Q3 1994,10.5,-0.011574404147586814,^BVSP
Q4 1994,10.5,-0.011574404147586814,^BVSP
Q1 1995,9.9,-0.01459126217838369,^BVSP
Q2 1995,9.9,-0.01459126217838369,^BVSP
Q3 1995,9.9,-0.01459126217838369,^BVSP
Q4 1995,9.9,-0.01459126217838369,^BVSP
Q1 1996,11.2,0.03132239094967293,^BVSP
Q2 1996,11.2,0.03132239094967293,^BVSP
Q3 1996,11.2,0.03132239094967293,^BVSP
Q4 1996,11.2,0.03132239094967293,^BVSP
Q1 1997,11.6,0.008807945324554423,^BVSP
Q2 1997,11.6,0.008807945324554423,^BVSP
Q3 1997,11.6,0.008807945324554423,^BVSP
Q4 1997,11.6,0.008807945324554423,^BVSP
Q1 1998,14.7,0.06099000106392283,^BVSP
Q2 1998,14.7,0.06099000106392283,^BVSP
Q3 1998,14.7,0.06099000106392283,^BVSP
Q4 1998,14.7,0.06099000106392283,^BVSP
Q1 1999,14.7,0.0,^BVSP
Q2 1999,14.7,0.0,^BVSP
Q3 1999,14.7,0.0,^BVSP
Q4 1999,14.7,0.0,^BVSP
Q1 2000,13.9,-0.013886587409208118,^BVSP
Q2 2000,13.9,-0.013886587409208118,^BVSP
Q3 2000,13.9,-0.013886587409208118,^BVSP
Q4 2000,13.9,-0.013886587409208118,^BVSP
Q1 2001,12.5,-0.02618569845577745,^BVSP
Q2 2001,12.5,-0.02618569845577745,^BVSP
Q3 2001,12.5,-0.02618569845577745,^BVSP
Q4 2001,12.5,-0.02618569845577745,^BVSP
Q1 2002,13.0,0.009853406548968824,^BVSP
