Quarter,Value,Percentage Change,index
Q1 1991,9.13,,^FCHI
Q2 1991,9.13,,^FCHI
Q3 1991,9.13,,^FCHI
Q4 1991,9.13,,^FCHI
Q1 1992,10.21,0.028346753246748513,^FCHI
Q2 1992,10.21,0.028346753246748513,^FCHI
Q3 1992,10.21,0.028346753246748513,^FCHI
Q4 1992,10.21,0.028346753246748513,^FCHI
Q1 1993,11.32,0.02613266288666316,^FCHI
Q2 1993,11.32,0.02613266288666316,^FCHI
Q3 1993,11.32,0.02613266288666316,^FCHI
Q4 1993,11.32,0.02613266288666316,^FCHI
Q1 1994,12.59,0.02694154276608085,^FCHI
Q2 1994,12.59,0.02694154276608085,^FCHI
Q3 1994,12.59,0.02694154276608085,^FCHI
Q4 1994,12.59,0.02694154276608085,^FCHI
Q1 1995,11.84,-0.015245089480609542,^FCHI
Q2 1995,11.84,-0.015245089480609542,^FCHI
Q3 1995,11.84,-0.015245089480609542,^FCHI
Q4 1995,11.84,-0.015245089480609542,^FCHI
Q1 1996,12.37,0.011016610711441777,^FCHI
Q2 1996,12.37,0.011016610711441777,^FCHI
Q3 1996,12.37,0.011016610711441777,^FCHI
Q4 1996,12.37,0.011016610711441777,^FCHI
Q1 1997,12.57,0.004025626196972665,^FCHI
Q2 1997,12.57,0.004025626196972665,^FCHI
Q3 1997,12.57,0.004025626196972665,^FCHI
Q4 1997,12.57,0.004025626196972665,^FCHI
Q1 1998,12.08,-0.009895927363088974,^FCHI
Q2 1998,12.08,-0.009895927363088974,^FCHI
Q3 1998,12.08,-0.009895927363088974,^FCHI
Q4 1998,12.08,-0.009895927363088974,^FCHI
Q1 1999,11.98,-0.0020814898866517995,^FCHI
Q2 1999,11.98,-0.0020814898866517995,^FCHI
Q3 1999,11.98,-0.0020814898866517995,^FCHI
Q4 1999,11.98,-0.0020814898866517995,^FCHI
Q1 2000,10.22,-0.03894114295878692,^FCHI
Q2 2000,10.22,-0.03894114295878692,^FCHI
Q3 2000,10.22,-0.03894114295878692,^FCHI
Q4 2000,10.22,-0.03894114295878692,^FCHI
Q1 2001,8.61,-0.04194050939709859,^FCHI
Q2 2001,8.61,-0.04194050939709859,^FCHI
Q3 2001,8.61,-0.04194050939709859,^FCHI
Q4 2001,8.61,-0.04194050939709859,^FCHI
Q1 2002,8.7,0.0026147269166845177,^FCHI
Q2 2002,8.7,0.0026147269166845177,^FCHI
Q3 2002,8.7,0.0026147269166845177,^FCHI
Q4 2002,8.7,0.0026147269166845177,^FCHI
Q1 2003,8.31,-0.011393233975384276,^FCHI
Q2 2003,8.31,-0.011393233975384276,^FCHI
Q3 2003,8.31,-0.011393233975384276,^FCHI
Q4 2003,8.31,-0.011393233975384276,^FCHI
Q1 2004,8.91,0.017580909493362995,^FCHI
Q2 2004,8.91,0.017580909493362995,^FCHI
Q3 2004,8.91,0.017580909493362995,^FCHI
Q4 2004,8.91,0.017580909493362995,^FCHI
Q1 2005,8.49,-0.011988881897100345,^FCHI
Q2 2005,8.49,-0.011988881897100345,^FCHI
Q3 2005,8.49,-0.011988881897100345,^FCHI
Q4 2005,8.49,-0.011988881897100345,^FCHI
Q1 2006,8.45,-0.0011770766337316774,^FCHI
Q2 2006,8.45,-0.0011770766337316774,^FCHI
Q3 2006,8.45,-0.0011770766337316774,^FCHI
Q4 2006,8.45,-0.0011770766337316774,^FCHI
Q1 2007,7.66,-0.02424237865570278,^FCHI
Q2 2007,7.66,-0.02424237865570278,^FCHI
Q3 2007,7.66,-0.02424237865570278,^FCHI
Q4 2007,7.66,-0.02424237865570278,^FCHI
Q1 2008,7.06,-0.02017752530340522,^FCHI
Q2 2008,7.06,-0.02017752530340522,^FCHI
Q3 2008,7.06,-0.02017752530340522,^FCHI
Q4 2008,7.06,-0.02017752530340522,^FCHI
Q1 2009,8.74,0.05482438522063471,^FCHI
Q2 2009,8.74,0.05482438522063471,^FCHI
Q3 2009,8.74,0.05482438522063471,^FCHI
Q4 2009,8.74,0.05482438522063471,^FCHI
Q1 2010,8.87,0.0037043656332984565,^FCHI
Q2 2010,8.87,0.0037043656332984565,^FCHI
Q3 2010,8.87,0.0037043656332984565,^FCHI
Q4 2010,8.87,0.0037043656332984565,^FCHI
Q1 2011,8.81,-0.0017043522763011687,^FCHI
Q2 2011,8.81,-0.0017043522763011687,^FCHI
Q3 2011,8.81,-0.0017043522763011687,^FCHI
Q4 2011,8.81,-0.0017043522763011687,^FCHI
Q1 2012,9.4,0.01634488274863588,^FCHI
Q2 2012,9.4,0.01634488274863588,^FCHI
Q3 2012,9.4,0.01634488274863588,^FCHI
Q4 2012,9.4,0.01634488274863588,^FCHI
Q1 2013,9.92,0.01354721475785614,^FCHI
Q2 2013,9.92,0.01354721475785614,^FCHI
Q3 2013,9.92,0.01354721475785614,^FCHI
Q4 2013,9.92,0.01354721475785614,^FCHI
