Quarter,Value,Percentage Change,index
Q1 1991,5.32,,^GDAXI
Q2 1991,5.32,,^GDAXI
Q3 1991,5.32,,^GDAXI
Q4 1991,5.32,,^GDAXI
Q1 1992,6.32,0.04400868170484906,^GDAXI
Q2 1992,6.32,0.04400868170484906,^GDAXI
Q3 1992,6.32,0.04400868170484906,^GDAXI
Q4 1992,6.32,0.04400868170484906,^GDAXI
Q1 1993,7.68,0.04993385618411872,^GDAXI
Q2 1993,7.68,0.04993385618411872,^GDAXI
Q3 1993,7.68,0.04993385618411872,^GDAXI
Q4 1993,7.68,0.04993385618411872,^GDAXI
Q1 1994,8.73,0.0325508891260573,^GDAXI
Q2 1994,8.73,0.0325508891260573,^GDAXI
Q3 1994,8.73,0.0325508891260573,^GDAXI
Q4 1994,8.73,0.0325508891260573,^GDAXI
Q1 1995,8.16,-0.016740704829898867,^GDAXI
Q2 1995,8.16,-0.016740704829898867,^GDAXI
Q3 1995,8.16,-0.016740704829898867,^GDAXI
Q4 1995,8.16,-0.016740704829898867,^GDAXI
Q1 1996,8.83,0.019921740547120592,^GDAXI
Q2 1996,8.83,0.019921740547120592,^GDAXI
Q3 1996,8.83,0.019921740547120592,^GDAXI
Q4 1996,8.83,0.019921740547120592,^GDAXI
Q1 1997,9.86,0.02795571619474102,^GDAXI
Q2 1997,9.86,0.02795571619474102,^GDAXI
Q3 1997,9.86,0.02795571619474102,^GDAXI
Q4 1997,9.86,0.02795571619474102,^GDAXI
Q1 1998,9.79,-0.0017797456068113782,^GDAXI
Q2 1998,9.79,-0.0017797456068113782,^GDAXI
Q3 1998,9.79,-0.0017797456068113782,^GDAXI
Q4 1998,9.79,-0.0017797456068113782,^GDAXI
Q1 1999,8.86,-0.024646279792801318,^GDAXI
Q2 1999,8.86,-0.024646279792801318,^GDAXI
Q3 1999,8.86,-0.024646279792801318,^GDAXI
Q4 1999,8.86,-0.024646279792801318,^GDAXI
Q1 2000,7.92,-0.027650860228754626,^GDAXI
Q2 2000,7.92,-0.027650860228754626,^GDAXI
Q3 2000,7.92,-0.027650860228754626,^GDAXI
Q4 2000,7.92,-0.027650860228754626,^GDAXI
Q1 2001,7.77,-0.004758862513983164,^GDAXI
Q2 2001,7.77,-0.004758862513983164,^GDAXI
Q3 2001,7.77,-0.004758862513983164,^GDAXI
Q4 2001,7.77,-0.004758862513983164,^GDAXI
Q1 2002,8.48,0.022106116867338876,^GDAXI
Q2 2002,8.48,0.022106116867338876,^GDAXI
Q3 2002,8.48,0.022106116867338876,^GDAXI
Q4 2002,8.48,0.022106116867338876,^GDAXI
Q1 2003,9.78,0.036300178610884526,^GDAXI
Q2 2003,9.78,0.036300178610884526,^GDAXI
Q3 2003,9.78,0.036300178610884526,^GDAXI
