Quarter,Value,Percentage Change,index
Q1 1991,1.8,,^HSI
Q2 1991,1.8,,^HSI
Q3 1991,1.8,,^HSI
Q4 1991,1.8,,^HSI
Q1 1992,1.96,0.021520295176603588,^HSI
Q2 1992,1.96,0.021520295176603588,^HSI
Q3 1992,1.96,0.021520295176603588,^HSI
Q4 1992,1.96,0.021520295176603588,^HSI
Q1 1993,1.96,0.0,^HSI
Q2 1993,1.96,0.0,^HSI
Q3 1993,1.96,0.0,^HSI
Q4 1993,1.96,0.0,^HSI
Q1 1994,1.9,-0.007739384429771623,^HSI
Q2 1994,1.9,-0.007739384429771623,^HSI
Q3 1994,1.9,-0.007739384429771623,^HSI
Q4 1994,1.9,-0.007739384429771623,^HSI
Q1 1995,3.22,0.1409673252222554,^HSI
Q2 1995,3.22,0.1409673252222554,^HSI
Q3 1995,3.22,0.1409673252222554,^HSI
Q4 1995,3.22,0.1409673252222554,^HSI
Q1 1996,2.83,-0.03175588477866764,^HSI
Q2 1996,2.83,-0.03175588477866764,^HSI
Q3 1996,2.83,-0.03175588477866764,^HSI
Q4 1996,2.83,-0.03175588477866764,^HSI
Q1 1997,2.22,-0.05887299153397063,^HSI
Q2 1997,2.22,-0.05887299153397063,^HSI
Q3 1997,2.22,-0.05887299153397063,^HSI
Q4 1997,2.22,-0.05887299153397063,^HSI
Q1 1998,4.58,0.19847800965709483,^HSI
Q2 1998,4.58,0.19847800965709483,^HSI
Q3 1998,4.58,0.19847800965709483,^HSI
Q4 1998,4.58,0.19847800965709483,^HSI
Q1 1999,6.25,0.08081494614711127,^HSI
Q2 1999,6.25,0.08081494614711127,^HSI
Q3 1999,6.25,0.08081494614711127,^HSI
Q4 1999,6.25,0.08081494614711127,^HSI
Q1 2000,4.92,-0.05806426943620335,^HSI
Q2 2000,4.92,-0.05806426943620335,^HSI
Q3 2000,4.92,-0.05806426943620335,^HSI
Q4 2000,4.92,-0.05806426943620335,^HSI
Q1 2001,5.09,0.008539978977587737,^HSI
Q2 2001,5.09,0.008539978977587737,^HSI
Q3 2001,5.09,0.008539978977587737,^HSI
Q4 2001,5.09,0.008539978977587737,^HSI
Q1 2002,7.28,0.09359567667100066,^HSI
Q2 2002,7.28,0.09359567667100066,^HSI
Q3 2002,7.28,0.09359567667100066,^HSI
Q4 2002,7.28,0.09359567667100066,^HSI
Q1 2003,7.86,0.01935574602255241,^HSI
Q2 2003,7.86,0.01935574602255241,^HSI
Q3 2003,7.86,0.01935574602255241,^HSI
Q4 2003,7.86,0.01935574602255241,^HSI
Q1 2004,6.74,-0.037704328767604434,^HSI
Q2 2004,6.74,-0.037704328767604434,^HSI
Q3 2004,6.74,-0.037704328767604434,^HSI
Q4 2004,6.74,-0.037704328767604434,^HSI
Q1 2005,5.58,-0.0461184018683275,^HSI
Q2 2005,5.58,-0.0461184018683275,^HSI
Q3 2005,5.58,-0.0461184018683275,^HSI
Q4 2005,5.58,-0.0461184018683275,^HSI
Q1 2006,4.77,-0.03846271704832083,^HSI
Q2 2006,4.77,-0.03846271704832083,^HSI
Q3 2006,4.77,-0.03846271704832083,^HSI
Q4 2006,4.77,-0.03846271704832083,^HSI
Q1 2007,4.01,-0.042452643064789575,^HSI
Q2 2007,4.01,-0.042452643064789575,^HSI
Q3 2007,4.01,-0.042452643064789575,^HSI
Q4 2007,4.01,-0.042452643064789575,^HSI
Q1 2008,3.56,-0.02931395699467365,^HSI
Q2 2008,3.56,-0.02931395699467365,^HSI
Q3 2008,3.56,-0.02931395699467365,^HSI
Q4 2008,3.56,-0.02931395699467365,^HSI
Q1 2009,5.26,0.10250831203865385,^HSI
Q2 2009,5.26,0.10250831203865385,^HSI
Q3 2009,5.26,0.10250831203865385,^HSI
Q4 2009,5.26,0.10250831203865385,^HSI
Q1 2010,4.31,-0.04857624655957404,^HSI
Q2 2010,4.31,-0.04857624655957404,^HSI
Q3 2010,4.31,-0.04857624655957404,^HSI
Q4 2010,4.31,-0.04857624655957404,^HSI
Q1 2011,3.42,-0.05618530969914126,^HSI
Q2 2011,3.42,-0.05618530969914126,^HSI
Q3 2011,3.42,-0.05618530969914126,^HSI
Q4 2011,3.42,-0.05618530969914126,^HSI
Q1 2012,3.29,-0.009638456512401583,^HSI
Q2 2012,3.29,-0.009638456512401583,^HSI
Q3 2012,3.29,-0.009638456512401583,^HSI
Q4 2012,3.29,-0.009638456512401583,^HSI
Q1 2013,3.4,0.008247408242660237,^HSI
Q2 2013,3.4,0.008247408242660237,^HSI
Q3 2013,3.4,0.008247408242660237,^HSI
Q4 2013,3.4,0.008247408242660237,^HSI
Q1 2014,3.3,-0.007432452202861373,^HSI
Q2 2014,3.3,-0.007432452202861373,^HSI
Q3 2014,3.3,-0.007432452202861373,^HSI
Q4 2014,3.3,-0.007432452202861373,^HSI
Q1 2015,3.32,0.0015215239237034162,^HSI
Q2 2015,3.32,0.0015215239237034162,^HSI
Q3 2015,3.32,0.0015215239237034162,^HSI
Q4 2015,3.32,0.0015215239237034162,^HSI
Q1 2016,3.39,0.0052337679567933115,^HSI
Q2 2016,3.39,0.0052337679567933115,^HSI
Q3 2016,3.39,0.0052337679567933115,^HSI
Q4 2016,3.39,0.0052337679567933115,^HSI
Q1 2017,3.09,-0.02289965135503913,^HSI
Q2 2017,3.09,-0.02289965135503913,^HSI
Q3 2017,3.09,-0.02289965135503913,^HSI
Q4 2017,3.09,-0.02289965135503913,^HSI
Q1 2018,3.04,-0.004074838876838571,^HSI
Q2 2018,3.04,-0.004074838876838571,^HSI
Q3 2018,3.04,-0.004074838876838571,^HSI
Q4 2018,3.04,-0.004074838876838571,^HSI
Q1 2019,2.96,-0.006640859132659327,^HSI
Q2 2019,2.96,-0.006640859132659327,^HSI
Q3 2019,2.96,-0.006640859132659327,^HSI
Q4 2019,2.96,-0.006640859132659327,^HSI
Q1 2020,5.83,0.18466213893578387,^HSI
Q2 2020,5.83,0.18466213893578387,^HSI
Q3 2020,5.83,0.18466213893578387,^HSI
Q4 2020,5.83,0.18466213893578387,^HSI
Q1 2021,5.17,-0.029587412818916303,^HSI
Q2 2021,5.17,-0.029587412818916303,^HSI
Q3 2021,5.17,-0.029587412818916303,^HSI
Q4 2021,5.17,-0.029587412818916303,^HSI
Q1 2022,5.06,-0.00536806978011084,^HSI
