Quarter,Value,Percentage Change,index
Q1 1991,5.55,,^BSESN
Q2 1991,5.55,,^BSESN
Q3 1991,5.55,,^BSESN
Q4 1991,5.55,,^BSESN
Q1 1992,5.61,0.002689133383096065,^BSESN
Q2 1992,5.61,0.002689133383096065,^BSESN
Q3 1992,5.61,0.002689133383096065,^BSESN
Q4 1992,5.61,0.002689133383096065,^BSESN
Q1 1993,5.72,0.004864391303198268,^BSESN
Q2 1993,5.72,0.004864391303198268,^BSESN
Q3 1993,5.72,0.004864391303198268,^BSESN
Q4 1993,5.72,0.004864391303198268,^BSESN
Q1 1994,5.75,0.001297472662116883,^BSESN
Q2 1994,5.75,0.001297472662116883,^BSESN
Q3 1994,5.75,0.001297472662116883,^BSESN
Q4 1994,5.75,0.001297472662116883,^BSESN
Q1 1995,5.75,0.0,^BSESN
Q2 1995,5.75,0.0,^BSESN
Q3 1995,5.75,0.0,^BSESN
Q4 1995,5.75,0.0,^BSESN
Q1 1996,5.75,0.0,^BSESN
Q2 1996,5.75,0.0,^BSESN
Q3 1996,5.75,0.0,^BSESN
Q4 1996,5.75,0.0,^BSESN
Q1 1997,5.74,-0.00042527120649415995,^BSESN
Q2 1997,5.74,-0.00042527120649415995,^BSESN
Q3 1997,5.74,-0.00042527120649415995,^BSESN
Q4 1997,5.74,-0.00042527120649415995,^BSESN
Q1 1998,5.74,0.0,^BSESN
Q2 1998,5.74,0.0,^BSESN
Q3 1998,5.74,0.0,^BSESN
Q4 1998,5.74,0.0,^BSESN
Q1 1999,5.78,0.0017454249180117731,^BSESN
Q2 1999,5.78,0.0017454249180117731,^BSESN
Q3 1999,5.78,0.0017454249180117731,^BSESN
Q4 1999,5.78,0.0017454249180117731,^BSESN
Q1 2000,5.75,-0.0013025427170976211,^BSESN
Q2 2000,5.75,-0.0013025427170976211,^BSESN
Q3 2000,5.75,-0.0013025427170976211,^BSESN
Q4 2000,5.75,-0.0013025427170976211,^BSESN
Q1 2001,5.73,-0.0008761507878833896,^BSESN
Q2 2001,5.73,-0.0008761507878833896,^BSESN
Q3 2001,5.73,-0.0008761507878833896,^BSESN
Q4 2001,5.73,-0.0008761507878833896,^BSESN
Q1 2002,5.77,0.0017454249180117731,^BSESN
Q2 2002,5.77,0.0017454249180117731,^BSESN
Q3 2002,5.77,0.0017454249180117731,^BSESN
Q4 2002,5.77,0.0017454249180117731,^BSESN
Q1 2003,5.77,0.0,^BSESN
Q2 2003,5.77,0.0,^BSESN
Q3 2003,5.77,0.0,^BSESN
Q4 2003,5.77,0.0,^BSESN
Q1 2004,5.72,-0.0021821321661941173,^BSESN
Q2 2004,5.72,-0.0021821321661941173,^BSESN
Q3 2004,5.72,-0.0021821321661941173,^BSESN
Q4 2004,5.72,-0.0021821321661941173,^BSESN
Q1 2005,5.65,-0.0030640538947969143,^BSESN
Q2 2005,5.65,-0.0030640538947969143,^BSESN
Q3 2005,5.65,-0.0030640538947969143,^BSESN
Q4 2005,5.65,-0.0030640538947969143,^BSESN
Q1 2006,5.52,-0.00580026983904014,^BSESN
Q2 2006,5.52,-0.00580026983904014,^BSESN
Q3 2006,5.52,-0.00580026983904014,^BSESN
Q4 2006,5.52,-0.00580026983904014,^BSESN
Q1 2007,5.41,-0.005012562893380035,^BSESN
Q2 2007,5.41,-0.005012562893380035,^BSESN
Q3 2007,5.41,-0.005012562893380035,^BSESN
Q4 2007,5.41,-0.005012562893380035,^BSESN
Q1 2008,5.36,-0.0023079778557191233,^BSESN
Q2 2008,5.36,-0.0023079778557191233,^BSESN
Q3 2008,5.36,-0.0023079778557191233,^BSESN
Q4 2008,5.36,-0.0023079778557191233,^BSESN
Q1 2009,5.61,0.011451779013082808,^BSESN
Q2 2009,5.61,0.011451779013082808,^BSESN
Q3 2009,5.61,0.011451779013082808,^BSESN
Q4 2009,5.61,0.011451779013082808,^BSESN
Q1 2010,5.65,0.001770293540721779,^BSESN
Q2 2010,5.65,0.001770293540721779,^BSESN
Q3 2010,5.65,0.001770293540721779,^BSESN
Q4 2010,5.65,0.001770293540721779,^BSESN
Q1 2011,5.65,0.0,^BSESN
Q2 2011,5.65,0.0,^BSESN
Q3 2011,5.65,0.0,^BSESN
Q4 2011,5.65,0.0,^BSESN
Q1 2012,5.66,0.000449696568543434,^BSESN
Q2 2012,5.66,0.000449696568543434,^BSESN
Q3 2012,5.66,0.000449696568543434,^BSESN
Q4 2012,5.66,0.000449696568543434,^BSESN
Q1 2013,5.67,0.000449696568543434,^BSESN
Q2 2013,5.67,0.000449696568543434,^BSESN
Q3 2013,5.67,0.000449696568543434,^BSESN
Q4 2013,5.67,0.000449696568543434,^BSESN
Q1 2014,5.6,-0.0030892860722409043,^BSESN
Q2 2014,5.6,-0.0030892860722409043,^BSESN
Q3 2014,5.6,-0.0030892860722409043,^BSESN
Q4 2014,5.6,-0.0030892860722409043,^BSESN
Q1 2015,5.56,-0.0017797456068113782,^BSESN
Q2 2015,5.56,-0.0017797456068113782,^BSESN
Q3 2015,5.56,-0.0017797456068113782,^BSESN
Q4 2015,5.56,-0.0017797456068113782,^BSESN
Q1 2016,5.51,-0.0022576338655427852,^BSESN
Q2 2016,5.51,-0.0022576338655427852,^BSESN
Q3 2016,5.51,-0.0022576338655427852,^BSESN
Q4 2016,5.51,-0.0022576338655427852,^BSESN
Q1 2017,5.41,-0.004556041811079825,^BSESN
Q2 2017,5.41,-0.004556041811079825,^BSESN
Q3 2017,5.41,-0.004556041811079825,^BSESN
Q4 2017,5.41,-0.004556041811079825,^BSESN
Q1 2018,5.33,-0.0037207141096404772,^BSESN
Q2 2018,5.33,-0.0037207141096404772,^BSESN
Q3 2018,5.33,-0.0037207141096404772,^BSESN
Q4 2018,5.33,-0.0037207141096404772,^BSESN
Q1 2019,5.27,-0.0028370504641918037,^BSESN
Q2 2019,5.27,-0.0028370504641918037,^BSESN
Q3 2019,5.27,-0.0028370504641918037,^BSESN
Q4 2019,5.27,-0.0028370504641918037,^BSESN
Q1 2020,8.0,0.10998712897984331,^BSESN
Q2 2020,8.0,0.10998712897984331,^BSESN
Q3 2020,8.0,0.10998712897984331,^BSESN
Q4 2020,8.0,0.10998712897984331,^BSESN
Q1 2021,7.71,-0.00920121636903315,^BSESN
Q2 2021,7.71,-0.00920121636903315,^BSESN
Q3 2021,7.71,-0.00920121636903315,^BSESN
Q4 2021,7.71,-0.00920121636903315,^BSESN
Q1 2022,7.33,-0.012559641912545105,^BSESN
