Quarter,Value,Percentage Change,index
Q1 1991,2.1,,^N225
Q2 1991,2.1,,^N225
Q3 1991,2.1,,^N225
Q4 1991,2.1,,^N225
Q1 1992,2.2,0.01169329668329766,^N225
Q2 1992,2.2,0.01169329668329766,^N225
Q3 1992,2.2,0.01169329668329766,^N225
Q4 1992,2.2,0.01169329668329766,^N225
Q1 1993,2.5,0.03248275418958668,^N225
Q2 1993,2.5,0.03248275418958668,^N225
Q3 1993,2.5,0.03248275418958668,^N225
Q4 1993,2.5,0.03248275418958668,^N225
Q1 1994,2.9,0.03780198565376658,^N225
Q2 1994,2.9,0.03780198565376658,^N225
Q3 1994,2.9,0.03780198565376658,^N225
Q4 1994,2.9,0.03780198565376658,^N225
Q1 1995,3.2,0.024904134053861604,^N225
Q2 1995,3.2,0.024904134053861604,^N225
Q3 1995,3.2,0.024904134053861604,^N225
Q4 1995,3.2,0.024904134053861604,^N225
Q1 1996,3.4,0.015271592434465298,^N225
Q2 1996,3.4,0.015271592434465298,^N225
Q3 1996,3.4,0.015271592434465298,^N225
Q4 1996,3.4,0.015271592434465298,^N225
Q1 1997,3.4,0.0,^N225
Q2 1997,3.4,0.0,^N225
Q3 1997,3.4,0.0,^N225
Q4 1997,3.4,0.0,^N225
Q1 1998,4.1,0.047919263233481724,^N225
Q2 1998,4.1,0.047919263233481724,^N225
Q3 1998,4.1,0.047919263233481724,^N225
Q4 1998,4.1,0.047919263233481724,^N225
Q1 1999,4.7,0.03472412059286634,^N225
Q2 1999,4.7,0.03472412059286634,^N225
Q3 1999,4.7,0.03472412059286634,^N225
Q4 1999,4.7,0.03472412059286634,^N225
Q1 2000,4.7,0.0,^N225
Q2 2000,4.7,0.0,^N225
Q3 2000,4.7,0.0,^N225
Q4 2000,4.7,0.0,^N225
Q1 2001,5.0,0.015582003710318482,^N225
Q2 2001,5.0,0.015582003710318482,^N225
Q3 2001,5.0,0.015582003710318482,^N225
Q4 2001,5.0,0.015582003710318482,^N225
Q1 2002,5.4,0.0194265469082735,^N225
Q2 2002,5.4,0.0194265469082735,^N225
Q3 2002,5.4,0.0194265469082735,^N225
Q4 2002,5.4,0.0194265469082735,^N225
Q1 2003,5.3,-0.004657436664260328,^N225
Q2 2003,5.3,-0.004657436664260328,^N225
Q3 2003,5.3,-0.004657436664260328,^N225
Q4 2003,5.3,-0.004657436664260328,^N225
Q1 2004,4.7,-0.029587412818916303,^N225
Q2 2004,4.7,-0.029587412818916303,^N225
Q3 2004,4.7,-0.029587412818916303,^N225
Q4 2004,4.7,-0.029587412818916303,^N225
Q1 2005,4.4,-0.016346460102058646,^N225
Q2 2005,4.4,-0.016346460102058646,^N225
