Quarter,Value,Percentage Change,index
Q1 1991,1.78,,^SSMI
Q2 1991,1.78,,^SSMI
Q3 1991,1.78,,^SSMI
Q4 1991,1.78,,^SSMI
Q1 1992,2.81,0.12092073330415953,^SSMI
Q2 1992,2.81,0.12092073330415953,^SSMI
Q3 1992,2.81,0.12092073330415953,^SSMI
Q4 1992,2.81,0.12092073330415953,^SSMI
Q1 1993,3.72,0.0726439663556715,^SSMI
Q2 1993,3.72,0.0726439663556715,^SSMI
Q3 1993,3.72,0.0726439663556715,^SSMI
Q4 1993,3.72,0.0726439663556715,^SSMI
Q1 1994,3.88,0.01058087975923172,^SSMI
Q2 1994,3.88,0.01058087975923172,^SSMI
Q3 1994,3.88,0.01058087975923172,^SSMI
Q4 1994,3.88,0.01058087975923172,^SSMI
Q1 1995,3.33,-0.03750800198574267,^SSMI
Q2 1995,3.33,-0.03750800198574267,^SSMI
Q3 1995,3.33,-0.03750800198574267,^SSMI
Q4 1995,3.33,-0.03750800198574267,^SSMI
Q1 1996,3.71,0.02737984977032837,^SSMI
Q2 1996,3.71,0.02737984977032837,^SSMI
Q3 1996,3.71,0.02737984977032837,^SSMI
Q4 1996,3.71,0.02737984977032837,^SSMI
Q1 1997,4.2,0.03150466780213246,^SSMI
Q2 1997,4.2,0.03150466780213246,^SSMI
Q3 1997,4.2,0.03150466780213246,^SSMI
Q4 1997,4.2,0.03150466780213246,^SSMI
Q1 1998,3.6,-0.03781656947298706,^SSMI
Q2 1998,3.6,-0.03781656947298706,^SSMI
Q3 1998,3.6,-0.03781656947298706,^SSMI
Q4 1998,3.6,-0.03781656947298706,^SSMI
Q1 1999,3.15,-0.032831789866165306,^SSMI
Q2 1999,3.15,-0.032831789866165306,^SSMI
Q3 1999,3.15,-0.032831789866165306,^SSMI
Q4 1999,3.15,-0.032831789866165306,^SSMI
Q1 2000,2.67,-0.0404939067839577,^SSMI
Q2 2000,2.67,-0.0404939067839577,^SSMI
Q3 2000,2.67,-0.0404939067839577,^SSMI
Q4 2000,2.67,-0.0404939067839577,^SSMI
Q1 2001,2.49,-0.017293445406702634,^SSMI
Q2 2001,2.49,-0.017293445406702634,^SSMI
Q3 2001,2.49,-0.017293445406702634,^SSMI
Q4 2001,2.49,-0.017293445406702634,^SSMI
Q1 2002,2.92,0.04063093307224097,^SSMI
Q2 2002,2.92,0.04063093307224097,^SSMI
Q3 2002,2.92,0.04063093307224097,^SSMI
Q4 2002,2.92,0.04063093307224097,^SSMI
Q1 2003,4.12,0.0898877052393654,^SSMI
Q2 2003,4.12,0.0898877052393654,^SSMI
Q3 2003,4.12,0.0898877052393654,^SSMI
Q4 2003,4.12,0.0898877052393654,^SSMI
Q1 2004,4.32,0.011910514794940097,^SSMI
Q2 2004,4.32,0.011910514794940097,^SSMI
Q3 2004,4.32,0.011910514794940097,^SSMI
Q4 2004,4.32,0.011910514794940097,^SSMI
Q1 2005,4.44,0.006878699210062678,^SSMI
Q2 2005,4.44,0.006878699210062678,^SSMI
Q3 2005,4.44,0.006878699210062678,^SSMI
Q4 2005,4.44,0.006878699210062678,^SSMI
Q1 2006,4.0,-0.025752843897718924,^SSMI
Q2 2006,4.0,-0.025752843897718924,^SSMI
Q3 2006,4.0,-0.025752843897718924,^SSMI
Q4 2006,4.0,-0.025752843897718924,^SSMI
Q1 2007,3.65,-0.022631769123254153,^SSMI
Q2 2007,3.65,-0.022631769123254153,^SSMI
Q3 2007,3.65,-0.022631769123254153,^SSMI
Q4 2007,3.65,-0.022631769123254153,^SSMI
Q1 2008,3.35,-0.021215657583449565,^SSMI
Q2 2008,3.35,-0.021215657583449565,^SSMI
Q3 2008,3.35,-0.021215657583449565,^SSMI
Q4 2008,3.35,-0.021215657583449565,^SSMI
Q1 2009,4.12,0.053094756535631005,^SSMI
Q2 2009,4.12,0.053094756535631005,^SSMI
Q3 2009,4.12,0.053094756535631005,^SSMI
Q4 2009,4.12,0.053094756535631005,^SSMI
Q1 2010,4.8,0.03891850365952432,^SSMI
Q2 2010,4.8,0.03891850365952432,^SSMI
Q3 2010,4.8,0.03891850365952432,^SSMI
Q4 2010,4.8,0.03891850365952432,^SSMI
Q1 2011,4.4,-0.021509062196443218,^SSMI
Q2 2011,4.4,-0.021509062196443218,^SSMI
Q3 2011,4.4,-0.021509062196443218,^SSMI
Q4 2011,4.4,-0.021509062196443218,^SSMI
Q1 2012,4.49,0.005086066162486524,^SSMI
Q2 2012,4.49,0.005086066162486524,^SSMI
Q3 2012,4.49,0.005086066162486524,^SSMI
Q4 2012,4.49,0.005086066162486524,^SSMI
Q1 2013,4.75,0.01417092165363898,^SSMI
Q2 2013,4.75,0.01417092165363898,^SSMI
Q3 2013,4.75,0.01417092165363898,^SSMI
Q4 2013,4.75,0.01417092165363898,^SSMI
Q1 2014,4.83,0.0041737963502346265,^SSMI
Q2 2014,4.83,0.0041737963502346265,^SSMI
Q3 2014,4.83,0.0041737963502346265,^SSMI
Q4 2014,4.83,0.0041737963502346265,^SSMI
Q1 2015,4.8,-0.0015536168393777139,^SSMI
Q2 2015,4.8,-0.0015536168393777139,^SSMI
Q3 2015,4.8,-0.0015536168393777139,^SSMI
Q4 2015,4.8,-0.0015536168393777139,^SSMI
Q1 2016,4.92,0.006192246325636086,^SSMI
Q2 2016,4.92,0.006192246325636086,^SSMI
Q3 2016,4.92,0.006192246325636086,^SSMI
Q4 2016,4.92,0.006192246325636086,^SSMI
Q1 2017,4.8,-0.006156623008806483,^SSMI
Q2 2017,4.8,-0.006156623008806483,^SSMI
Q3 2017,4.8,-0.006156623008806483,^SSMI
Q4 2017,4.8,-0.006156623008806483,^SSMI
Q1 2018,4.71,-0.004708145713172129,^SSMI
Q2 2018,4.71,-0.004708145713172129,^SSMI
Q3 2018,4.71,-0.004708145713172129,^SSMI
Q4 2018,4.71,-0.004708145713172129,^SSMI
Q1 2019,4.39,-0.017425187872707637,^SSMI
Q2 2019,4.39,-0.017425187872707637,^SSMI
Q3 2019,4.39,-0.017425187872707637,^SSMI
Q4 2019,4.39,-0.017425187872707637,^SSMI
Q1 2020,4.82,0.02362455723767587,^SSMI
Q2 2020,4.82,0.02362455723767587,^SSMI
Q3 2020,4.82,0.02362455723767587,^SSMI
Q4 2020,4.82,0.02362455723767587,^SSMI
Q1 2021,5.1,0.014218851468827731,^SSMI
Q2 2021,5.1,0.014218851468827731,^SSMI
