Quarter,Value,Percentage Change,index
Q1 1991,6.8,,^GSPC
Q2 1991,6.8,,^GSPC
Q3 1991,6.8,,^GSPC
Q4 1991,6.8,,^GSPC
Q1 1992,7.5,0.024788006817438202,^GSPC
Q2 1992,7.5,0.024788006817438202,^GSPC
Q3 1992,7.5,0.024788006817438202,^GSPC
Q4 1992,7.5,0.024788006817438202,^GSPC
Q1 1993,6.9,-0.020629638664440675,^GSPC
Q2 1993,6.9,-0.020629638664440675,^GSPC
Q3 1993,6.9,-0.020629638664440675,^GSPC
Q4 1993,6.9,-0.020629638664440675,^GSPC
Q1 1994,6.12,-0.029532703159097506,^GSPC
Q2 1994,6.12,-0.029532703159097506,^GSPC
Q3 1994,6.12,-0.029532703159097506,^GSPC
Q4 1994,6.12,-0.029532703159097506,^GSPC
Q1 1995,5.65,-0.01977912083186828,^GSPC
Q2 1995,5.65,-0.01977912083186828,^GSPC
Q3 1995,5.65,-0.01977912083186828,^GSPC
Q4 1995,5.65,-0.01977912083186828,^GSPC
Q1 1996,5.45,-0.008969970446032649,^GSPC
Q2 1996,5.45,-0.008969970446032649,^GSPC
Q3 1996,5.45,-0.008969970446032649,^GSPC
Q4 1996,5.45,-0.008969970446032649,^GSPC
Q1 1997,5.0,-0.02132231963945641,^GSPC
Q2 1997,5.0,-0.02132231963945641,^GSPC
Q3 1997,5.0,-0.02132231963945641,^GSPC
Q4 1997,5.0,-0.02132231963945641,^GSPC
Q1 1998,4.51,-0.0254555907262608,^GSPC
Q2 1998,4.51,-0.0254555907262608,^GSPC
Q3 1998,4.51,-0.0254555907262608,^GSPC
Q4 1998,4.51,-0.0254555907262608,^GSPC
Q1 1999,4.22,-0.01647782233838402,^GSPC
Q2 1999,4.22,-0.01647782233838402,^GSPC
Q3 1999,4.22,-0.01647782233838402,^GSPC
Q4 1999,4.22,-0.01647782233838402,^GSPC
Q1 2000,3.99,-0.013912659546519213,^GSPC
Q2 2000,3.99,-0.013912659546519213,^GSPC
Q3 2000,3.99,-0.013912659546519213,^GSPC
Q4 2000,3.99,-0.013912659546519213,^GSPC
Q1 2001,4.73,0.04345900074683007,^GSPC
Q2 2001,4.73,0.04345900074683007,^GSPC
Q3 2001,4.73,0.04345900074683007,^GSPC
Q4 2001,4.73,0.04345900074683007,^GSPC
Q1 2002,5.78,0.05139958552152679,^GSPC
Q2 2002,5.78,0.05139958552152679,^GSPC
Q3 2002,5.78,0.05139958552152679,^GSPC
Q4 2002,5.78,0.05139958552152679,^GSPC
Q1 2003,5.99,0.008954018829648192,^GSPC
Q2 2003,5.99,0.008954018829648192,^GSPC
Q3 2003,5.99,0.008954018829648192,^GSPC
Q4 2003,5.99,0.008954018829648192,^GSPC
Q1 2004,5.53,-0.01977912083186828,^GSPC
Q2 2004,5.53,-0.01977912083186828,^GSPC
Q3 2004,5.53,-0.01977912083186828,^GSPC
Q4 2004,5.53,-0.01977912083186828,^GSPC
Q1 2005,5.08,-0.021002438021207936,^GSPC
Q2 2005,5.08,-0.021002438021207936,^GSPC
Q3 2005,5.08,-0.021002438021207936,^GSPC
Q4 2005,5.08,-0.021002438021207936,^GSPC
Q1 2006,4.62,-0.02346292230628988,^GSPC
Q2 2006,4.62,-0.02346292230628988,^GSPC
Q3 2006,4.62,-0.02346292230628988,^GSPC
Q4 2006,4.62,-0.02346292230628988,^GSPC
Q1 2007,4.62,0.0,^GSPC
Q2 2007,4.62,0.0,^GSPC
Q3 2007,4.62,0.0,^GSPC
Q4 2007,4.62,0.0,^GSPC
Q1 2008,5.78,0.0576038083927497,^GSPC
Q2 2008,5.78,0.0576038083927497,^GSPC
Q3 2008,5.78,0.0576038083927497,^GSPC
Q4 2008,5.78,0.0576038083927497,^GSPC
Q1 2009,9.25,0.12473536617350045,^GSPC
Q2 2009,9.25,0.12473536617350045,^GSPC
Q3 2009,9.25,0.12473536617350045,^GSPC
Q4 2009,9.25,0.12473536617350045,^GSPC
Q1 2010,9.63,0.010120329246504856,^GSPC
Q2 2010,9.63,0.010120329246504856,^GSPC
Q3 2010,9.63,0.010120329246504856,^GSPC
Q4 2010,9.63,0.010120329246504856,^GSPC
Q1 2011,8.95,-0.018137514516619158,^GSPC
Q2 2011,8.95,-0.018137514516619158,^GSPC
Q3 2011,8.95,-0.018137514516619158,^GSPC
Q4 2011,8.95,-0.018137514516619158,^GSPC
Q1 2012,8.07,-0.02553663279783558,^GSPC
Q2 2012,8.07,-0.02553663279783558,^GSPC
Q3 2012,8.07,-0.02553663279783558,^GSPC
Q4 2012,8.07,-0.02553663279783558,^GSPC
Q1 2013,7.38,-0.02209666449856995,^GSPC
Q2 2013,7.38,-0.02209666449856995,^GSPC
Q3 2013,7.38,-0.02209666449856995,^GSPC
Q4 2013,7.38,-0.02209666449856995,^GSPC
Q1 2014,6.17,-0.04379376907855448,^GSPC
Q2 2014,6.17,-0.04379376907855448,^GSPC
Q3 2014,6.17,-0.04379376907855448,^GSPC
Q4 2014,6.17,-0.04379376907855448,^GSPC
Q1 2015,5.28,-0.038181623299773815,^GSPC
Q2 2015,5.28,-0.038181623299773815,^GSPC
Q3 2015,5.28,-0.038181623299773815,^GSPC
Q4 2015,5.28,-0.038181623299773815,^GSPC
Q1 2016,4.87,-0.020018105202998404,^GSPC
Q2 2016,4.87,-0.020018105202998404,^GSPC
Q3 2016,4.87,-0.020018105202998404,^GSPC
Q4 2016,4.87,-0.020018105202998404,^GSPC
Q1 2017,4.36,-0.02727036743836153,^GSPC
Q2 2017,4.36,-0.02727036743836153,^GSPC
Q3 2017,4.36,-0.02727036743836153,^GSPC
Q4 2017,4.36,-0.02727036743836153,^GSPC
Q1 2018,3.9,-0.027487737202224416,^GSPC
Q2 2018,3.9,-0.027487737202224416,^GSPC
Q3 2018,3.9,-0.027487737202224416,^GSPC
Q4 2018,3.9,-0.027487737202224416,^GSPC
