Quarter,Value,index,Percentage Change
Q1 1975,-1781000000.0,^BVSP,
Q2 1975,-1797000000.0,^BVSP,
Q3 1975,-1624000000.0,^BVSP,-0.08815272318921952
Q4 1975,-1766000000.0,^BVSP,-0.017250973845297723
Q1 1976,-1900000000.0,^BVSP,0.16995073891625623
Q2 1976,-1575000000.0,^BVSP,-0.10815402038505095
Q3 1976,-1646000000.0,^BVSP,-0.13368421052631574
Q4 1976,-1399000000.0,^BVSP,-0.1117460317460317
Q1 1977,-1264000000.0,^BVSP,-0.2320777642770352
Q2 1977,-787000000.0,^BVSP,-0.4374553252323088
Q3 1977,-1462000000.0,^BVSP,0.1566455696202531
Q4 1977,-1536000000.0,^BVSP,0.9517153748411691
Q1 1978,-1619000000.0,^BVSP,0.10738714090287282
Q2 1978,-1706000000.0,^BVSP,0.11067708333333326
Q3 1978,-1863000000.0,^BVSP,0.15071031500926502
Q4 1978,-1808000000.0,^BVSP,0.05978898007033995
Q1 1979,-2250000000.0,^BVSP,0.20772946859903385
Q2 1979,-2274000000.0,^BVSP,0.2577433628318584
Q3 1979,-2878000000.0,^BVSP,0.2791111111111111
Q4 1979,-3114000000.0,^BVSP,0.36939313984168876
Q1 1980,-3652000000.0,^BVSP,0.2689367616400278
Q2 1980,-3188000000.0,^BVSP,0.023763648041104757
Q3 1980,-3515000000.0,^BVSP,-0.03751369112814895
Q4 1980,-2476000000.0,^BVSP,-0.22333751568381432
Q1 1981,-2883000000.0,^BVSP,-0.17980085348506403
Q2 1981,-3082000000.0,^BVSP,0.24474959612277858
Q3 1981,-3122000000.0,^BVSP,0.08289975719736375
Q4 1981,-2677000000.0,^BVSP,-0.13140817650876058
Q1 1982,-3643000000.0,^BVSP,0.166880204996797
Q2 1982,-4182000000.0,^BVSP,0.5621964886066493
Q3 1982,-4497000000.0,^BVSP,0.23442217952237177
Q4 1982,-3995000000.0,^BVSP,-0.04471544715447151
Q1 1983,-3032000000.0,^BVSP,-0.32577273738047585
Q2 1983,-1377000000.0,^BVSP,-0.6553191489361703
Q3 1983,-825000000.0,^BVSP,-0.7279023746701847
Q4 1983,-1600000000.0,^BVSP,0.16194625998547574
Q1 1984,-504000000.0,^BVSP,-0.38909090909090904
Q2 1984,117000000.0,^BVSP,-1.073125
Q3 1984,585000000.0,^BVSP,-2.1607142857142856
Q4 1984,-165000000.0,^BVSP,-2.4102564102564106
Q1 1985,-1316000000.0,^BVSP,-3.2495726495726496
Q2 1985,339000000.0,^BVSP,-3.0545454545454547
Q3 1985,719000000.0,^BVSP,-1.5463525835866263
Q4 1985,-22000000.0,^BVSP,-1.064896755162242
Q1 1986,-703000000.0,^BVSP,-1.9777468706536858
