Quarter,Value,index,Percentage Change
Q1 2005,23836189754.593018,000001.SS,
Q2 2005,29422188444.453003,000001.SS,
Q3 2005,33494071840.424988,000001.SS,0.4051772613519735
Q4 2005,45626043726.927,000001.SS,0.5507358948864638
Q1 2006,33957280276.831024,000001.SS,0.013829564784266557
Q2 2006,47404027527.12701,000001.SS,0.03896861649546657
Q3 2006,60535417716.38797,000001.SS,0.7826933494933381
Q4 2006,89946315544.06702,000001.SS,0.8974403702848905
Q1 2007,66624451936.77997,000001.SS,0.10058630881047992
Q2 2007,86550566865.818,000001.SS,-0.037753060341703004
Q3 2007,98478627532.659,000001.SS,0.47811538661669584
Q4 2007,101529030902.06,000001.SS,0.17306026498316962
Q1 2008,82204291052.17596,000001.SS,-0.16525754763474831
Q2 2008,95472884801.15302,000001.SS,-0.05964940320122869
Q3 2008,109806013102.46704,000001.SS,0.335769844821993
Q4 2008,133085327187.74896,000001.SS,0.3939594206767041
Q1 2009,67331914421.00397,000001.SS,-0.3868103164972192
Q2 2009,39691924008.01898,000001.SS,-0.7017558220221832
Q3 2009,45350193593.448,000001.SS,-0.32646808005653327
Q4 2009,90882535897.14703,000001.SS,1.2896984252712462
Q1 2010,24995404447.532043,000001.SS,-0.4488357718688267
Q2 2010,43764170493.68597,000001.SS,-0.5184534623548087
Q3 2010,82631711223.35199,000001.SS,2.305876142024609
Q4 2010,86419103443.38501,000001.SS,0.9746542084204028
Q1 2011,1502135178.669983,000001.SS,-0.9818213231163792
Q2 2011,43728219357.46301,000001.SS,-0.49399822938327176
Q3 2011,42432779625.334045,000001.SS,27.248309624773437
Q4 2011,48433627416.083984,000001.SS,0.10760575499669667
Q1 2012,28568475763.862976,000001.SS,-0.3267356978234236
Q2 2012,59004848643.21106,000001.SS,0.21826201734410144
Q3 2012,76194910947.99695,000001.SS,1.6670975230809448
Q4 2012,51623512114.37,000001.SS,-0.1250971182635231
Q1 2013,40978807658.525024,000001.SS,-0.4621844536770563
Q2 2013,42671216833.73401,000001.SS,-0.17341507607623652
Q3 2013,32587397249.797,000001.SS,-0.20477439164783307
Q4 2013,31966528137.823,000001.SS,-0.2508643879929936
Q1 2014,5476876256.876953,000001.SS,-0.8319326881219067
Q2 2014,75483562250.901,000001.SS,1.3613312626712304
Q3 2014,78504800813.7799,000001.SS,13.333864256145388
Q4 2014,76581338552.07092,000001.SS,0.014543249794187085
Q1 2015,75172812492.62006,000001.SS,-0.04244311540976475
Q2 2015,67600051595.42908,000001.SS,-0.11727774842346328
Q3 2015,66765709772.76709,000001.SS,-0.11183701182762473
Q4 2015,83483743174.73096,000001.SS,0.23496567242821298
Q1 2016,45509623268.14703,000001.SS,-0.31836831476762273
Q2 2016,59098497699.37402,000001.SS,-0.2920957368229018
Q3 2016,72009578287.65894,000001.SS,0.5822934385409355
Q4 2016,14719336686.81604,000001.SS,-0.7509355185018189
Q1 2017,20916864889.606934,000001.SS,-0.7095266298318028
Q2 2017,53801578872.85999,000001.SS,2.6551632738348543
Q3 2017,43150168108.906006,000001.SS,1.0629366942244887
Q4 2017,70807514249.78796,000001.SS,0.3160861768966887
Q1 2018,-39773208761.13403,000001.SS,-1.9217393698386314
Q2 2018,-2642131463.453003,000001.SS,-1.0373142807150713
Q3 2018,17574326621.682983,000001.SS,-1.4418634344346999
Q4 2018,48971922787.401,000001.SS,-19.53500609822025
Q1 2019,22297890144.125,000001.SS,0.26877635906767217
Q2 2019,19812644961.946045,000001.SS,-0.5954284856660101
Q3 2019,30634105981.18701,000001.SS,0.3738567094545677
Q4 2019,30165234921.130005,000001.SS,0.5225243766830769
Q1 2020,-52251501318.22998,000001.SS,-2.7056643125253474
Q2 2020,91091595723.42004,000001.SS,2.0197542290516894
Q3 2020,89302811245.08997,000001.SS,-2.7090956047598422
Q4 2020,120692738285.76,000001.SS,0.32496019338839366
Q1 2021,76236459609.31006,000001.SS,-0.14631512103151534
Q2 2021,55486782915.01001,000001.SS,-0.5402641144520568
Q3 2021,92305350938.3501,000001.SS,0.21077698795810407
Q4 2021,128857161171.95996,000001.SS,1.3223036983299705
Q1 2022,85329688898.6051,000001.SS,-0.07557158895808735
Q2 2022,73773192961.63306,000001.SS,-0.4274808455295497
Q3 2022,139636350199.09998,000001.SS,0.636433368051136
Q4 2022,103116178566.66296,000001.SS,0.3977459077891641
Q1 2023,81529664314.10999,000001.SS,-0.41612864989767195
Q2 2023,64727735745.67993,000001.SS,-0.37228341230823947
Q3 2023,62780532580.17993,000001.SS,-0.22996699289347156
