Quarter,Value,index,Percentage Change
Q1 1975,214878742.35289764,^FCHI,
Q2 1975,1849731423.8892968,^FCHI,
Q3 1975,449735746.9673977,^FCHI,1.0929745867033787
Q4 1975,226013269.1833,^FCHI,-0.877812926642032
Q1 1976,-674381215.6765976,^FCHI,-2.499505476769417
Q2 1976,10526173.353298187,^FCHI,-0.953426746175857
Q3 1976,-1690948067.7120972,^FCHI,1.5074068322255858
Q4 1976,-1001407808.7987022,^FCHI,-96.13502914949896
Q1 1977,-1067148961.0837976,^FCHI,-0.36890494660330897
Q2 1977,351950821.6543999,^FCHI,-1.3514560387506895
Q3 1977,-504714207.8543015,^FCHI,-0.527044277547051
Q4 1977,814807155.5816002,^FCHI,1.315116503355417
Q1 1978,496170099.5485992,^FCHI,-1.9830713933296509
Q2 1978,2709568162.7702026,^FCHI,2.3254103676055022
Q3 1978,1536322399.996399,^FCHI,2.0963623188783433
Q4 1978,2321654052.989998,^FCHI,-0.14316455113039483
Q1 1979,1091769557.137001,^FCHI,-0.2893616879246439
Q2 1979,2402688451.1848984,^FCHI,0.03490373515836187
Q3 1979,854983467.1706009,^FCHI,-0.21688284713427575
Q4 1979,792060080.7823944,^FCHI,-0.6703442427619837
Q1 1980,-2390860742.578598,^FCHI,-3.796382426540574
Q2 1980,778708957.7120056,^FCHI,-0.016856199920087578
Q3 1980,-1657203863.1671982,^FCHI,-0.3068588924255513
Q4 1980,-938984840.6274033,^FCHI,-2.205822575081605
Q1 1981,-2417828139.049797,^FCHI,0.45898051096074366
Q2 1981,1110988078.238098,^FCHI,-2.183179994147474
Q3 1981,-1637283933.8953018,^FCHI,-0.3228286545880171
Q4 1981,-1866694976.952797,^FCHI,-2.6802115283839636
Q1 1982,-2660609633.1296005,^FCHI,0.6250141945750849
Q2 1982,-3574007220.5961,^FCHI,0.9146176877972472
Q3 1982,-3657570359.657402,^FCHI,0.37471138723763264
Q4 1982,-2189987417.425194,^FCHI,-0.38724594488649877
Q1 1983,-4750727177.501503,^FCHI,0.29887513030548907
Q2 1983,-413658310.2404938,^FCHI,-0.8111138415914558
Q3 1983,-285171102.6973953,^FCHI,-0.9399731678872428
Q4 1983,284044532.9937973,^FCHI,-1.6866646359132944
Q1 1984,-1789139944.6879044,^FCHI,5.273917405251335
