Quarter,Value,index,Percentage Change
Q1 1999,1305167147.0979996,^HSI,
Q2 1999,1953728390.814499,^HSI,
Q3 1999,3581085724.102394,^HSI,1.7437755632026382
Q4 1999,3825389334.591805,^HSI,0.957994444149435
Q1 2000,1284667780.4909973,^HSI,-0.6412630471690253
Q2 2000,1743463562.8396988,^HSI,-0.5442389230622617
Q3 2000,2577768277.0414886,^HSI,1.006564122014698
Q4 2000,1938739740.0820923,^HSI,0.1120047366658663
Q1 2001,1380818053.5966034,^HSI,-0.46433584977569364
Q2 2001,688638112.3364944,^HSI,-0.6448011571128494
Q3 2001,3900153872.4568014,^HSI,1.8245241017077585
Q4 2001,4422044619.198204,^HSI,5.421434625792868
Q1 2002,2195025003.2055054,^HSI,-0.43719528126647833
Q2 2002,1442236184.1261978,^HSI,-0.6738530909740795
Q3 2002,4231183485.062096,^HSI,0.9276242771189787
Q4 2002,5260386390.836006,^HSI,2.647382064556296
Q1 2003,4918020174.388802,^HSI,0.16232732325401056
Q2 2003,2236888223.9795,^HSI,-0.5747673159758132
Q3 2003,5778153201.317291,^HSI,0.17489416399870406
Q4 2003,4475697279.642502,^HSI,1.0008587070479922
Q1 2004,1431400282.8853912,^HSI,-0.7522737398933861
Q2 2004,848255515.6491089,^HSI,-0.8104752259480642
Q3 2004,6787887853.662704,^HSI,3.742131138873188
Q4 2004,7754702429.409988,^HSI,8.141941651243933
Q1 2005,5588723122.301605,^HSI,-0.17666242536903976
Q2 2005,4808680020.544403,^HSI,-0.3799014128114948
Q3 2005,4928865625.536392,^HSI,-0.1180694556386368
Q4 2005,6248377251.428787,^HSI,0.29939551492997696
Q1 2006,5996519272.914703,^HSI,0.21661244766885313
Q2 2006,2793623512.223999,^HSI,-0.5529041541809605
Q3 2006,8165802220.412994,^HSI,0.3617570208264964
Q4 2006,7599160275.908997,^HSI,1.720180526351354
Q1 2007,8831447722.324005,^HSI,0.08151624101879662
Q2 2007,3614534908.5169983,^HSI,-0.5243507470192639
Q3 2007,8296310530.360992,^HSI,-0.060594503731285276
Q4 2007,6812465172.102997,^HSI,0.8847418394136002
Q1 2008,6731397536.777008,^HSI,-0.1886275818458173
Q2 2008,3838240950.4680014,^HSI,-0.43658560396234025
Q3 2008,10434481579.62201,^HSI,0.5501211334813003
Q4 2008,11867933450.841003,^HSI,2.092024081863316
Q1 2009,7432102480.333496,^HSI,-0.28773629781013754
Q2 2009,6380079989.679001,^HSI,-0.46241019836297736
Q3 2009,2660674350.5940094,^HSI,-0.6420024673186935
Q4 2009,4682750612.824005,^HSI,-0.26603575184022
Q1 2010,3680606242.753998,^HSI,0.38333586067467573
Q2 2010,232292068.39001465,^HSI,-0.950394097914617
Q3 2010,7410954791.113007,^HSI,1.0135147044601522
Q4 2010,4688208519.408997,^HSI,19.182387422447718
Q1 2011,5916402705.247986,^HSI,-0.20166795345415445
Q2 2011,1219569689.696991,^HSI,-0.7398644525626321
Q3 2011,3764018991.4029846,^HSI,-0.3637993931575664
Q4 2011,2908335118.9200134,^HSI,1.3847223684630978
Q1 2012,354525538.0379944,^HSI,-0.9058119688429495
Q2 2012,-969762047.9339904,^HSI,-1.333442333252883
Q3 2012,3101096067.0539856,^HSI,7.74717258512881
Q4 2012,1661605952.4320068,^HSI,-2.7134161477776337
Q1 2013,-874366027.6799927,^HSI,-1.2819538668825028
Q2 2013,-2652106687.282989,^HSI,-2.5961104878092414
Q3 2013,4062411347.5169983,^HSI,-5.646122126103224
Q4 2013,3654742454.209992,^HSI,-2.378052576743878
Q1 2014,-5542427.497009277,^HSI,-1.0013643196178046
Q2 2014,-3748419830.587982,^HSI,-2.0256317312510164
Q3 2014,4665147084.121002,^HSI,-842.7154913868228
Q4 2014,3146099290.779999,^HSI,-1.839313479537989
Q1 2015,210453920.2200012,^HSI,-0.9548880418076562
Q2 2015,62053840.19998169,^HSI,-0.9802759434891843
Q3 2015,6451812669.333008,^HSI,29.656652356907905
Q4 2015,3539612903.226013,^HSI,56.040996847557835
Q1 2016,3318782161.2349854,^HSI,-0.48560469261453576
Q2 2016,1484472316.481018,^HSI,-0.58061167786792
Q3 2016,4872244424.390991,^HSI,0.46808202156237066
Q4 2016,3012631578.946991,^HSI,1.0294292763158532
Q1 2017,2690001717.918,^HSI,-0.44789269921444086
Q2 2017,2877621778.958008,^HSI,-0.044814573721016826
Q3 2017,7358227416.190002,^HSI,1.7353987795536066
Q4 2017,2695223460.1099854,^HSI,-0.06338509118250735
Q1 2018,1471194379.3909912,^HSI,-0.8000613060485215
Q2 2018,1565040132.5009766,^HSI,-0.4193282465576672
Q3 2018,5841072263.052002,^HSI,2.970292671638635
Q4 2018,4637222766.166016,^HSI,1.9630056570853602
Q1 2019,3083977571.998993,^HSI,-0.4720185895478731
Q2 2019,3823469387.756012,^HSI,-0.1754829171346457
Q3 2019,8717357060.752014,^HSI,1.8266603297966073
Q4 2019,5628449744.46402,^HSI,0.47207919657684183
Q1 2020,-902123096.718994,^HSI,-1.1034858490287849
Q2 2020,7955669260.867981,^HSI,0.4134743352186714
Q3 2020,12752450980.393003,^HSI,-15.13604310406578
Q4 2020,4319747194.634003,^HSI,-0.4570227779727096
Q1 2021,8670533642.692017,^HSI,-0.3200888475460104
Q2 2021,10659799124.388,^HSI,1.4676905022658784
Q3 2021,12532973389.895996,^HSI,0.4454673617995182
Q4 2021,11795250320.924011,^HSI,0.10651712882077402
Q1 2022,9393415321.546995,^HSI,-0.25050384858233987
Q2 2022,4800101945.458984,^HSI,-0.5930478951392906
Q3 2022,14943432284.368011,^HSI,0.5908412193901575
Q4 2022,6857946314.444,^HSI,0.42870847168814574
Q1 2023,5436686793.095001,^HSI,-0.6361821909694604
Q2 2023,6380468517.494995,^HSI,-0.06962402081558383
Q3 2023,13234737783.837006,^HSI,1.4343388331007247
