Quarter,Value,index,Percentage Change
Q1 1975,-188720881.3746202,^BSESN,
Q2 1975,-139073264.6738801,^BSESN,
Q3 1975,-240580168.22443008,^BSESN,0.27479358125117415
Q4 1975,420857509.8715,^BSESN,-4.0261568307782944
Q1 1976,269630404.06753993,^BSESN,-2.1207507503943956
Q2 1976,698960051.4530499,^BSESN,0.6607997601527003
Q3 1976,215490759.64016983,^BSESN,-0.20079206057863053
Q4 1976,394786183.7013302,^BSESN,-0.4351806188628099
Q1 1977,396266215.51315,^BSESN,0.838901195461198
Q2 1977,957618299.52913,^BSESN,1.425663154041891
Q3 1977,372959077.0294502,^BSESN,-0.05881687000118829
Q4 1977,392400734.7124503,^BSESN,-0.5902326272321681
Q1 1978,283838651.50338984,^BSESN,-0.23895497124212117
Q2 1978,119910999.25077964,^BSESN,-0.6944169858941525
Q3 1978,432143597.1242702,^BSESN,0.5224973583948598
Q4 1978,-143515349.2831602,^BSESN,-2.196848914443744
Q1 1979,-43826556.62912989,^BSESN,-1.1014166515963137
Q2 1979,207657492.5267496,^BSESN,-2.446935770730941
Q3 1979,-169039035.23825026,^BSESN,2.857000144197874
Q4 1979,55545077.28469992,^BSESN,-0.7325159010212703
Q1 1980,-399723861.6154103,^BSESN,1.364683761073434
Q2 1980,-711179280.78824,^BSESN,-13.803641934694665
Q3 1980,-248226062.2339497,^BSESN,-0.3790061438144078
Q4 1980,-425996526.7896495,^BSESN,-0.4009998065220719
Q1 1981,-701562700.9791894,^BSESN,1.8263055646347728
Q2 1981,-479451329.7486596,^BSESN,0.12548178118223308
Q3 1981,-448115498.19306993,^BSESN,-0.36126094279581367
Q4 1981,-1069202738.1447597,^BSESN,1.2300547976481
Q1 1982,-582365349.70544,^BSESN,0.2995876109032247
Q2 1982,-683787423.1484399,^BSESN,-0.36046981666459055
Q3 1982,-483812900.5305,^BSESN,-0.16922787254562421
Q4 1982,-773578172.1714201,^BSESN,0.1313138352407046
Q1 1983,-448328578.7641797,^BSESN,-0.07334306656025869
Q2 1983,-242903054.15903,^BSESN,-0.6860006358798808
Q3 1983,-384907613.08319,^BSESN,-0.1414609031969587
Q4 1983,-860802391.1946502,^BSESN,2.5438104892294935
Q1 1984,-671466699.83285,^BSESN,0.7444879680457919
Q2 1984,-143000364.57303,^BSESN,-0.8338755026289258
Q3 1984,-621318300.0043898,^BSESN,-0.07468486499917837
Q4 1984,-875284441.4462099,^BSESN,5.1208546150188585
Q1 1985,-726222314.5619993,^BSESN,0.16884101845522403
Q2 1985,-1654868908.9512596,^BSESN,0.8906641436662148
Q3 1985,-763902797.4994798,^BSESN,0.0518856033227324
Q4 1985,-995589127.1985496,^BSESN,-0.3983879195425307
Q1 1986,-1396404689.0651703,^BSESN,0.8279874005385106
Q2 1986,-1430998159.9891005,^BSESN,0.4373380754124261
Q3 1986,-904756862.6412896,^BSESN,-0.3520811912720063
Q4 1986,-835539539.2861204,^BSESN,-0.41611417635052406
Q1 1987,-1392754171.7608595,^BSESN,0.539368452751982
Q2 1987,-1069919674.5253496,^BSESN,0.28051351757629805
Q3 1987,-1215071702.3611908,^BSESN,-0.12757633256630252
Q4 1987,-1493423245.5578098,^BSESN,0.39582744491575017
Q1 1988,-1069178103.1971196,^BSESN,-0.1200699505062649
Q2 1988,-1811745023.08494,^BSESN,0.21314907108482406
Q3 1988,-1717433234.1632204,^BSESN,0.6063116416503949
Q4 1988,-2544876119.8364706,^BSESN,0.4046546767950798
Q1 1989,-1129201204.0834093,^BSESN,-0.3425064907203881
Q2 1989,-2328765989.15428,^BSESN,-0.08491970552031325
Q3 1989,-2170129479.07257,^BSESN,0.9218271032876719
Q4 1989,-1184672698.2437496,^BSESN,-0.49128735830001624
Q1 1990,-277702742.38064003,^BSESN,-0.8720340214449694
Q2 1990,-1683669350.96385,^BSESN,0.4212105617525006
Q3 1990,-2256066993.2778893,^BSESN,7.124035700682985
Q4 1990,-2818215325.642261,^BSESN,0.6738531969052697
Q1 1991,-2866021585.41124,^BSESN,0.27036191476173066
Q2 1991,-1435540499.72231,^BSESN,-0.49062071777813654
Q3 1991,-1654812284.0392904,^BSESN,-0.4226099717941083
Q4 1991,1664640037.0976295,^BSESN,-2.159591134781385
