Quarter,Value,index,Percentage Change
Q1 1970,662399471.0077906,^FTLC,
Q2 1970,455999635.8386898,^FTLC,
Q3 1970,271199783.4198599,^FTLC,-0.5905797101449222
Q4 1970,580799536.1734896,^FTLC,0.27368421052631686
Q1 1971,182399854.3354797,^FTLC,-0.3274336283185888
Q2 1971,854399317.6766996,^FTLC,0.47107438016528236
Q3 1971,951654888.3765192,^FTLC,4.21741035289526
Q4 1971,728440193.69104,^FTLC,-0.14742418606813767
Q1 1972,44180293.18239975,^FTLC,-0.953575299489325
Q2 1972,644608514.0963001,^FTLC,-0.11508381926313116
Q3 1972,-268912663.8832607,^FTLC,-7.086710714504456
Q4 1972,113477719.47200012,^FTLC,-0.8239587020796822
Q1 1973,-950527776.5224,^FTLC,2.5347081197151775
Q2 1973,-63235740.912900925,^FTLC,-1.5572524827528273
Q3 1973,-572652657.8831997,^FTLC,-0.3975424263998827
Q4 1973,-825213311.983099,^FTLC,12.049792729079016
Q1 1974,-1981926823.012001,^FTLC,2.4609580445119352
Q2 1974,-2049370253.009903,^FTLC,1.4834430361829591
Q3 1974,-1597806935.4167976,^FTLC,-0.19381133709641385
Q4 1974,-1819349402.4086,^FTLC,-0.112239772321996
Q1 1975,-1436913293.7277985,^FTLC,-0.10069654732536826
Q2 1975,-804133153.3039017,^FTLC,-0.5580105986022663
Q3 1975,-1036117306.8526992,^FTLC,-0.27892844239425907
Q4 1975,-187906194.3439026,^FTLC,-0.766324527757795
Q1 1976,-229887202.47249985,^FTLC,-0.7781262787986785
Q2 1976,-597854588.153801,^FTLC,2.1816651401050575
Q3 1976,-220733530.28379825,^FTLC,-0.039818102487878204
Q4 1976,-331763098.5876999,^FTLC,-0.4450772726990393
Q1 1977,-1034945992.671402,^FTLC,3.688666879656963
Q2 1977,-799322954.7777977,^FTLC,1.4093184509684122
Q3 1977,1186745923.9211998,^FTLC,-2.1466742538496835
Q4 1977,792565004.1609993,^FTLC,-1.991545406551377
Q1 1978,-774674442.3108978,^FTLC,-1.6527719427518643
Q2 1978,612701261.5642014,^FTLC,-0.22693878943999013
Q3 1978,1143210996.0866966,^FTLC,-2.4757308795116995
Q4 1978,1182248814.145401,^FTLC,0.9295681081628067
Q1 1979,-1868351433.8841968,^FTLC,-2.6343014896460186
Q2 1979,-401358102.3761978,^FTLC,-1.339486999330444
Q3 1979,1525912632.264603,^FTLC,-1.8167160656131576
Q4 1979,-38839839.68969727,^FTLC,-0.9032289632132747
Q1 1980,-903378321.5563048,^FTLC,-1.5920249314769768
Q2 1980,-815087724.6307068,^FTLC,19.985867375938692
Q3 1980,3154761912.273201,^FTLC,-4.4921824411707165
Q4 1980,5425696588.907997,^FTLC,-7.65657992992868
Q1 1981,6146897953.526497,^FTLC,0.9484506674220867
Q2 1981,3452968375.7397995,^FTLC,-0.3635898507854526
Q3 1981,1147337750.1912005,^FTLC,-0.8133468688002266
Q4 1981,3379703584.0794067,^FTLC,-0.021217915627360973
Q1 1982,2139976763.9391024,^FTLC,0.8651672217553039
Q2 1982,274021190.2733993,^FTLC,-0.9189215315910494
Q3 1982,1592280690.3776016,^FTLC,-0.25593552359575367
Q4 1982,3978429980.366303,^FTLC,13.518694617729754
Q1 1983,2145204249.390602,^FTLC,0.34725256819002026
Q2 1983,-685796040.2444,^FTLC,-1.1723785623044338
Q3 1983,1967351728.1149976,^FTLC,-0.08290703382958886
Q4 1983,1864932270.967697,^FTLC,-3.719368677461426
Q1 1984,1127210862.231102,^FTLC,-0.427041516713877
Q2 1984,-1093335680.2054975,^FTLC,-1.5862602611504895
Q3 1984,10375502.401298525,^FTLC,-0.9907954201392611
Q4 1984,1789173313.6049042,^FTLC,-2.6364354936890204
Q1 1985,-1021376887.3289032,^FTLC,-99.44119810536354
Q2 1985,928822921.5770036,^FTLC,-0.48086475775475834
Q3 1985,1546690814.9021988,^FTLC,-2.5143193801331183
Q4 1985,1860134189.9943008,^FTLC,1.0026790325502182
Q1 1986,603224588.1444016,^FTLC,-0.6099901917484749
Q2 1986,-457003464.9812012,^FTLC,-1.245683062780864
Q3 1986,-1724393818.9863052,^FTLC,-3.858626542878115
Q4 1986,254418738.9405976,^FTLC,-1.5567107438694432
Q1 1987,-582342392.6774979,^FTLC,-0.6622915332532152
Q2 1987,-3049720127.5506973,^FTLC,-12.98701062763602
Q3 1987,-3948261558.186897,^FTLC,5.7799658891971655
Q4 1987,-5009268314.042603,^FTLC,0.6425337750797693
Q1 1988,-7951929258.717789,^FTLC,1.0140330475900483
Q2 1988,-8135645655.617996,^FTLC,0.6241185629468369
Q3 1988,-8113766787.128098,^FTLC,0.020351982914446065
Q4 1988,-11124814526.786896,^FTLC,0.3674163056873987
Q1 1989,-10803532777.940598,^FTLC,0.3315064459431616
Q2 1989,-11774222298.313904,^FTLC,0.05837470548055701
Q3 1989,-12772797336.260406,^FTLC,0.18227968561735564
Q4 1989,-7757992073.976196,^FTLC,-0.3411036519085291
Q1 1990,-12240448264.169497,^FTLC,-0.041678346416695766
Q2 1990,-12110696722.11171,^FTLC,0.5610607237839862
Q3 1990,-9525179713.351011,^FTLC,-0.22182754195094945
Q4 1990,-4934597617.311005,^FTLC,-0.5925422186238537
Q1 1991,-8385557612.875,^FTLC,-0.11964310750784624
Q2 1991,-4301722338.411896,^FTLC,-0.12825266171225924
Q3 1991,-5682073344.889893,^FTLC,-0.3223976738093406
Q4 1991,-652499623.2170105,^FTLC,-0.8483166574024164
Q1 1992,-6001890303.404297,^FTLC,0.05628525700077902
Q2 1992,-6897797038.641907,^FTLC,9.571342562059709
Q3 1992,-8241199277.675003,^FTLC,0.3731006168174318
Q4 1992,-2063322511.4422915,^FTLC,-0.700872249519169
Q1 1993,-4228558557.273697,^FTLC,-0.48690009611481544
Q2 1993,-6781654373.606308,^FTLC,2.2867641078882217
Q3 1993,-4985962097.663712,^FTLC,0.17911624732905196
Q4 1993,-1724928918.368393,^FTLC,-0.7456477692107567
Q1 1994,-2662248345.7695923,^FTLC,-0.46605122669964727
Q2 1994,-5176765316.429794,^FTLC,2.001147039337996
Q3 1994,-1717747804.421997,^FTLC,-0.3547755200405853
Q4 1994,-469073305.0110016,^FTLC,-0.909388725132608
Q1 1995,615438565.9519958,^FTLC,-1.3582822602757358
Q2 1995,-7575851698.039993,^FTLC,15.150677553186085
Q3 1995,-5474195856.520996,^FTLC,-9.89478846365956
Q4 1995,-1001754568.4459991,^FTLC,-0.8677700398088348
Q1 1996,-2745266296.3430023,^FTLC,-0.49850784146263716
Q2 1996,-4364411140.818008,^FTLC,3.356766895097297
Q3 1996,-2873630445.9649963,^FTLC,0.046758359942344896
Q4 1996,-345304432.4970093,^FTLC,-0.9208817819046512
Q1 1997,-182550089.1360016,^FTLC,-0.9364740551825901
Q2 1997,-417002001.2330017,^FTLC,0.20763581926106145
