Quarter,Value,index,Percentage Change
Q1 1973,950000000.0,^GSPC,
Q2 1973,1020000000.0,^GSPC,
Q3 1973,1060000000.0,^GSPC,0.11578947368421044
Q4 1973,4550000000.0,^GSPC,3.4607843137254903
Q1 1974,2230000000.0,^GSPC,1.1037735849056602
Q2 1974,670000000.0,^GSPC,-0.8527472527472527
Q3 1974,-2690000000.0,^GSPC,-2.2062780269058297
Q4 1974,1490000000.0,^GSPC,1.2238805970149254
Q1 1975,4520000000.0,^GSPC,-2.680297397769517
Q2 1975,5540000000.0,^GSPC,2.7181208053691277
Q3 1975,1820000000.0,^GSPC,-0.5973451327433628
Q4 1975,6000000000.0,^GSPC,0.08303249097472931
Q1 1976,2680000000.0,^GSPC,0.4725274725274726
Q2 1976,2390000000.0,^GSPC,-0.6016666666666667
Q3 1976,-2640000000.0,^GSPC,-1.9850746268656716
Q4 1976,1410000000.0,^GSPC,-0.41004184100418406
Q1 1977,-2690000000.0,^GSPC,0.018939393939394034
Q2 1977,-2270000000.0,^GSPC,-2.6099290780141846
Q3 1977,-5440000000.0,^GSPC,1.0223048327137545
Q4 1977,-4700000000.0,^GSPC,1.0704845814977975
Q1 1978,-6036000000.0,^GSPC,0.10955882352941182
Q2 1978,-3542000000.0,^GSPC,-0.2463829787234042
Q3 1978,-6750000000.0,^GSPC,0.11829025844930419
Q4 1978,581000000.0,^GSPC,-1.1640316205533596
Q1 1979,1345000000.0,^GSPC,-1.1992592592592592
Q2 1979,51300000.0,^GSPC,-0.9117039586919105
Q3 1979,-2892000000.0,^GSPC,-3.150185873605948
Q4 1979,1339000000.0,^GSPC,25.101364522417153
Q1 1980,-1679000000.0,^GSPC,-0.41943291839557395
Q2 1980,-189000000.0,^GSPC,-1.1411501120238985
Q3 1980,157000000.0,^GSPC,-1.0935080405002977
Q4 1980,3838000000.0,^GSPC,-21.306878306878307
Q1 1981,2808000000.0,^GSPC,16.88535031847134
Q2 1981,1416000000.0,^GSPC,-0.6310578426263679
Q3 1981,-1692000000.0,^GSPC,-1.6025641025641026
Q4 1981,2278000000.0,^GSPC,0.6087570621468927
Q1 1982,-32000000.0,^GSPC,-0.9810874704491725
Q2 1982,1820000000.0,^GSPC,-0.20105355575065842
Q3 1982,-8346000000.0,^GSPC,259.8125
Q4 1982,-5049000000.0,^GSPC,-3.774175824175824
Q1 1983,-1669000000.0,^GSPC,-0.8000239635753654
Q2 1983,-9611000000.0,^GSPC,0.903545256486433
Q3 1983,-17727000000.0,^GSPC,9.62133013780707
Q4 1983,-15215000000.0,^GSPC,0.5830818853397148
Q1 1984,-18529000000.0,^GSPC,0.045241721667512724
Q2 1984,-25568000000.0,^GSPC,0.6804469273743017
Q3 1984,-28759000000.0,^GSPC,0.5521075071509525
Q4 1984,-26152000000.0,^GSPC,0.022841051314142602
Q1 1985,-21258000000.0,^GSPC,-0.2608226989811885
Q2 1985,-31146000000.0,^GSPC,0.19096053839094518
Q3 1985,-36960000000.0,^GSPC,0.7386395709850408
Q4 1985,-35091000000.0,^GSPC,0.12666152957041033
Q1 1986,-29999000000.0,^GSPC,-0.18833874458874456
Q2 1986,-36691000000.0,^GSPC,0.04559573679860929
Q3 1986,-41707000000.0,^GSPC,0.39027967598919955
Q4 1986,-38777000000.0,^GSPC,0.05685317925376787
Q1 1987,-34220000000.0,^GSPC,-0.179514230225142
Q2 1987,-40445000000.0,^GSPC,0.043015189416406585
Q3 1987,-44628000000.0,^GSPC,0.30414962010520163
Q4 1987,-41354000000.0,^GSPC,0.022474966003214192
Q1 1988,-27289000000.0,^GSPC,-0.38852290042126014
Q2 1988,-29242000000.0,^GSPC,-0.2928858151569377
Q3 1988,-32889000000.0,^GSPC,0.2052108908351351
Q4 1988,-31838000000.0,^GSPC,0.0887764174817045
Q1 1989,-21729000000.0,^GSPC,-0.33932317796223666
Q2 1989,-23823000000.0,^GSPC,-0.2517431999497456
Q3 1989,-29298000000.0,^GSPC,0.348336324727323
Q4 1989,-24656000000.0,^GSPC,0.03496620912563486
Q1 1990,-15910000000.0,^GSPC,-0.4569595194211209
Q2 1990,-17769000000.0,^GSPC,-0.2793234912394549
Q3 1990,-29207000000.0,^GSPC,0.8357636706473917
Q4 1990,-16066000000.0,^GSPC,-0.09584107152906751
Q1 1991,17737000000.0,^GSPC,-1.6072859246071147
Q2 1991,4269000000.0,^GSPC,-1.2657164197684552
Q3 1991,-11584000000.0,^GSPC,-1.6530980436375937
Q4 1991,-7571000000.0,^GSPC,-2.77348325134692
Q1 1992,1129150000.0,^GSPC,-1.0974749654696132
Q2 1992,-10196100000.0,^GSPC,0.3467309470347377
Q3 1992,-22404700000.0,^GSPC,-20.84209361023779
Q4 1992,-20133400000.0,^GSPC,0.974617746000922
Q1 1993,-7087800000.0,^GSPC,-0.6836467348368869
Q2 1993,-19819900000.0,^GSPC,-0.015571140492912305
Q3 1993,-28417800000.0,^GSPC,3.009396427664438
Q4 1993,-29457300000.0,^GSPC,0.48624866926674715
Q1 1994,-17159200000.0,^GSPC,-0.3961812666708894
Q2 1994,-27561200000.0,^GSPC,-0.06436774585586591
Q3 1994,-39430400000.0,^GSPC,1.2979159867592895
Q4 1994,-37491600000.0,^GSPC,0.36030361522720344
Q1 1995,-22620500000.0,^GSPC,-0.4263182721960721
Q2 1995,-32015000000.0,^GSPC,-0.1460753875534786
Q3 1995,-35176900000.0,^GSPC,0.5550894100484074
Q4 1995,-23748600000.0,^GSPC,-0.25820396689052005
Q1 1996,-17592100000.0,^GSPC,-0.499896238724845
Q2 1996,-30364000000.0,^GSPC,0.27855957824882305
Q3 1996,-45713100000.0,^GSPC,1.5985016001500671
Q4 1996,-31057900000.0,^GSPC,0.022852720326702602
Q1 1997,-25638600000.0,^GSPC,-0.4391410777217034
Q2 1997,-29326300000.0,^GSPC,-0.05575393056195044
Q3 1997,-43988300000.0,^GSPC,0.7157060057881475
Q4 1997,-41771300000.0,^GSPC,0.4243631143376423
Q1 1998,-33904500000.0,^GSPC,-0.2292382292564159
Q2 1998,-51735500000.0,^GSPC,0.23854177389738895
Q3 1998,-69793900000.0,^GSPC,1.0585438511112093
Q4 1998,-59603100000.0,^GSPC,0.15207352784838268
Q1 1999,-52415000000.0,^GSPC,-0.2490031363772479
Q2 1999,-67690000000.0,^GSPC,0.1356791844719487
Q3 1999,-86711000000.0,^GSPC,0.6543165124487265
Q4 1999,-79806000000.0,^GSPC,0.17899246565223814
Q1 2000,-84585000000.0,^GSPC,-0.024518227214540222
Q2 2000,-96104000000.0,^GSPC,0.20422023406761403
Q3 2000,-114965000000.0,^GSPC,0.35916533664361294
Q4 2000,-106274000000.0,^GSPC,0.1058228585698826
Q1 2001,-96454000000.0,^GSPC,-0.16101422171965385
Q2 2001,-95128000000.0,^GSPC,-0.10487983890697627
Q3 2001,-113956000000.0,^GSPC,0.1814543720322641
Q4 2001,-88541000000.0,^GSPC,-0.06924354553864265
Q1 2002,-90445000000.0,^GSPC,-0.20631647302467615
Q2 2002,-114317000000.0,^GSPC,0.29111936842818587
Q3 2002,-127723000000.0,^GSPC,0.4121620874564653
Q4 2002,-123624000000.0,^GSPC,0.08141396292764846
Q1 2003,-123418000000.0,^GSPC,-0.033705753857958265
Q2 2003,-128394000000.0,^GSPC,0.0385847408270239
Q3 2003,-143201000000.0,^GSPC,0.16029266395501462
Q4 2003,-127284000000.0,^GSPC,-0.008645263797373737
Q1 2004,-125763000000.0,^GSPC,-0.12177289264739777
Q2 2004,-156344000000.0,^GSPC,0.2283083498318721
Q3 2004,-174150000000.0,^GSPC,0.3847475012523556
Q4 2004,-179630000000.0,^GSPC,0.14894079721639453
Q1 2005,-155179000000.0,^GSPC,-0.1089348262991674
Q2 2005,-182097000000.0,^GSPC,0.013733786115904811
Q3 2005,-203326000000.0,^GSPC,0.3102674975351045
Q4 2005,-208628000000.0,^GSPC,0.14569707353772987
Q1 2006,-183714000000.0,^GSPC,-0.09645593775513217
Q2 2006,-206887000000.0,^GSPC,-0.008344996836474494
Q3 2006,-235072000000.0,^GSPC,0.27955408950869276
Q4 2006,-190969000000.0,^GSPC,-0.07694055208882145
Q1 2007,-183935000000.0,^GSPC,-0.21753760549959167
Q2 2007,-192344000000.0,^GSPC,0.007200121485686051
Q3 2007,-191125000000.0,^GSPC,0.03908989588713396
Q4 2007,-169150000000.0,^GSPC,-0.12058603335690221
Q1 2008,-160406000000.0,^GSPC,-0.16072727272727272
Q2 2008,-180281000000.0,^GSPC,0.06580549807862845
Q3 2008,-202887000000.0,^GSPC,0.2648342331334239
Q4 2008,-152952000000.0,^GSPC,-0.15159112718478374
Q1 2009,-83678000000.0,^GSPC,-0.5875635205804216
Q2 2009,-87632000000.0,^GSPC,-0.4270620848370731
Q3 2009,-111200000000.0,^GSPC,0.3289036544850499
Q4 2009,-97226000000.0,^GSPC,0.10948055504838416
Q1 2010,-86827000000.0,^GSPC,-0.21918165467625894
Q2 2010,-114039000000.0,^GSPC,0.17292699483677199
Q3 2010,-133305000000.0,^GSPC,0.5352943208909671
Q4 2010,-97831000000.0,^GSPC,-0.1421268162646112
Q1 2011,-100113000000.0,^GSPC,-0.24899291099358611
Q2 2011,-122625000000.0,^GSPC,0.25343704960595304
Q3 2011,-128341000000.0,^GSPC,0.2819613836364907
Q4 2011,-104218000000.0,^GSPC,-0.1501080530071356
Q1 2012,-96177000000.0,^GSPC,-0.25061359970703045
Q2 2012,-116778000000.0,^GSPC,0.1205166094148804
Q3 2012,-117834000000.0,^GSPC,0.22517857699865873
Q4 2012,-87323000000.0,^GSPC,-0.25223072839062155
Q1 2013,-73385000000.0,^GSPC,-0.37721710202488246
Q2 2013,-92838000000.0,^GSPC,0.06315632765708923
Q3 2013,-104051000000.0,^GSPC,0.41787831300674516
Q4 2013,-69181000000.0,^GSPC,-0.254820224477046
Q1 2014,-72032000000.0,^GSPC,-0.307724096837128
Q2 2014,-92506000000.0,^GSPC,0.3371590465590264
Q3 2014,-107488000000.0,^GSPC,0.4922256774766771
Q4 2014,-97952000000.0,^GSPC,0.05887185696062969
Q1 2015,-84864000000.0,^GSPC,-0.21047930931824943
Q2 2015,-103115000000.0,^GSPC,0.05270949036262662
Q3 2015,-123304000000.0,^GSPC,0.45296003016591246
Q4 2015,-97164000000.0,^GSPC,-0.05771226300732191
Q1 2016,-91920000000.0,^GSPC,-0.25452540063582685
Q2 2016,-101920000000.0,^GSPC,0.048948170104153865
Q3 2016,-113607000000.0,^GSPC,0.23593342036553522
Q4 2016,-88772000000.0,^GSPC,-0.12900313971742539
Q1 2017,-71123000000.0,^GSPC,-0.37395583018652023
Q2 2017,-107374000000.0,^GSPC,0.20954805569323653
Q3 2017,-99825000000.0,^GSPC,0.4035544057477891
Q4 2017,-89292000000.0,^GSPC,-0.1684020340119582
Q1 2018,-78893000000.0,^GSPC,-0.20968695216629096
Q2 2018,-96830000000.0,^GSPC,0.08441965685615727
Q3 2018,-133695000000.0,^GSPC,0.6946370400415753
Q4 2018,-130433000000.0,^GSPC,0.3470308788598575
Q1 2019,-94985000000.0,^GSPC,-0.28953962377052245
Q2 2019,-119258000000.0,^GSPC,-0.0856761709076691
Q3 2019,-129814000000.0,^GSPC,0.36667894930778533
Q4 2019,-97691000000.0,^GSPC,-0.18084321387244462
Q1 2020,-85785000000.0,^GSPC,-0.33916988922612357
Q2 2020,-147909000000.0,^GSPC,0.5140494006612686
Q3 2020,-184639000000.0,^GSPC,1.1523459812321502
Q4 2020,-178812000000.0,^GSPC,0.20893251931931123
Q1 2021,-151452000000.0,^GSPC,-0.1797399249346021
Q2 2021,-202919000000.0,^GSPC,0.13481757376462422
Q3 2021,-252009000000.0,^GSPC,0.6639529355835512
Q4 2021,-225073000000.0,^GSPC,0.10917656799018327
Q1 2022,-254427000000.0,^GSPC,0.009594895420401706
Q2 2022,-258278000000.0,^GSPC,0.1475299125172722
Q3 2022,-254575000000.0,^GSPC,0.0005816992693385981
Q4 2022,-204314000000.0,^GSPC,-0.20893765632380612
Q1 2023,-189748000000.0,^GSPC,-0.25464794264951385
Q2 2023,-223772000000.0,^GSPC,0.09523576455847382
Q3 2023,-221289000000.0,^GSPC,0.16622573096949633
