Date,YOY (%),index
1/4/2005,0,000001.SS
1/7/2005,0.015777507,000001.SS
1/10/2005,0.011094603,000001.SS
1/1/2006,0.001097286,000001.SS
1/4/2006,0.019729505,000001.SS
1/7/2006,0.016481444,000001.SS
1/10/2006,0.011984417,000001.SS
1/1/2007,0.003831394,000001.SS
1/4/2007,0.025329478,000001.SS
1/7/2007,0.027072597,000001.SS
1/10/2007,0.030643483,000001.SS
1/1/2008,0.007992274,000001.SS
1/4/2008,0.010783309,000001.SS
1/7/2008,0.00470659,000001.SS
1/10/2008,-0.00562145,000001.SS
1/1/2009,-0.011620526,000001.SS
1/4/2009,0.007944021,000001.SS
1/7/2009,0.021437437,000001.SS
1/10/2009,0.026234397,000001.SS
1/1/2010,0.031578747,000001.SS
1/4/2010,0.023031929,000001.SS
1/7/2010,0.003704737,000001.SS
1/10/2010,0.01476425,000001.SS
1/1/2011,0.01622822,000001.SS
1/4/2011,0.007434844,000001.SS
1/7/2011,0.001913078,000001.SS
1/10/2011,-0.00272775,000001.SS
1/1/2012,-0.005197861,000001.SS
1/4/2012,-0.005224056,000001.SS
1/7/2012,0.001381971,000001.SS
1/10/2012,0.003864178,000001.SS
1/1/2013,0.018697585,000001.SS
1/4/2013,0.028069989,000001.SS
1/7/2013,0.022577959,000001.SS
1/10/2013,0.018485121,000001.SS
1/1/2014,0.010839358,000001.SS
1/4/2014,0.00049875,000001.SS
1/7/2014,-0.022931066,000001.SS
1/10/2014,-0.02295904,000001.SS
1/1/2015,-0.012271462,000001.SS
1/4/2015,-0.00211471,000001.SS
1/7/2015,0.006092676,000001.SS
1/10/2015,0.00552919,000001.SS
1/1/2016,0.024723866,000001.SS
1/4/2016,0.020615386,000001.SS
1/7/2016,0.022764149,000001.SS
1/10/2016,0.023824167,000001.SS
1/1/2017,0.011941526,000001.SS
1/4/2017,0.019666575,000001.SS
1/7/2017,0.011276242,000001.SS
1/10/2017,0.006161762,000001.SS
1/1/2018,0.005833168,000001.SS
1/4/2018,0.01449676,000001.SS
1/7/2018,0.030294155,000001.SS
1/10/2018,0.019695249,000001.SS
1/1/2019,0.009520643,000001.SS
1/4/2019,0.012665537,000001.SS
1/7/2019,0.009845152,000001.SS
1/10/2019,0.005270602,000001.SS
1/1/2020,0.001834321,000001.SS
1/4/2020,0.005495037,000001.SS
1/7/2020,0.009367157,000001.SS
1/10/2020,0.00618776,000001.SS
1/1/2021,0.008966919,000001.SS
1/4/2021,0.01168149,000001.SS
1/7/2021,0.003513707,000001.SS
1/10/2021,-0.00800409,000001.SS
1/1/2022,-0.008572317,000001.SS
1/4/2022,-0.008901482,000001.SS
1/7/2022,-0.007769984,000001.SS
1/10/2022,-0.012395684,000001.SS
1/1/2023,-0.00503543,000001.SS
