Quarter,Percentage Change,index
Q1 1970,0,^GDAXI
Q2 1970,0.045091936,^GDAXI
Q3 1970,0.010153885,^GDAXI
Q4 1970,0.012562257,^GDAXI
Q1 1971,0.032258145,^GDAXI
Q2 1971,0.048077224,^GDAXI
Q3 1971,0.01376132,^GDAXI
Q4 1971,0.002262797,^GDAXI
Q1 1972,0.020314674,^GDAXI
Q2 1972,0.024337897,^GDAXI
Q3 1972,0.010798655,^GDAXI
Q4 1972,0.006409117,^GDAXI
Q1 1973,0.014862208,^GDAXI
Q2 1973,0.046026052,^GDAXI
Q3 1973,0.009999559,^GDAXI
Q4 1973,0,^GDAXI
Q1 1974,0.021781624,^GDAXI
Q2 1974,0.04069825,^GDAXI
Q3 1974,0.00931058,^GDAXI
Q4 1974,-0.005534076,^GDAXI
Q1 1975,0.003796682,^GDAXI
Q2 1975,0.01216011,^GDAXI
Q3 1975,0.000768604,^GDAXI
Q4 1975,-0.001320253,^GDAXI
Q1 1976,0.001785247,^GDAXI
Q2 1976,0.014176101,^GDAXI
Q3 1976,0.007005194,^GDAXI
Q4 1976,0.013902187,^GDAXI
Q1 1977,0.010622581,^GDAXI
Q2 1977,0.020819252,^GDAXI
Q3 1977,0.015097516,^GDAXI
Q4 1977,0.012491341,^GDAXI
Q1 1978,0.017875752,^GDAXI
Q2 1978,0.023050504,^GDAXI
Q3 1978,0.020208334,^GDAXI
Q4 1978,0.014930074,^GDAXI
Q1 1979,0.019811549,^GDAXI
Q2 1979,0.036034427,^GDAXI
Q3 1979,0.020272176,^GDAXI
Q4 1979,0.00770685,^GDAXI
Q1 1980,0.018473801,^GDAXI
Q2 1980,0.024041675,^GDAXI
Q3 1980,0.013262162,^GDAXI
Q4 1980,0.018075473,^GDAXI
Q1 1981,0.017611881,^GDAXI
Q2 1981,0.029333226,^GDAXI
Q3 1981,0.007665367,^GDAXI
Q4 1981,-0.003071358,^GDAXI
Q1 1982,0.000151907,^GDAXI
Q2 1982,0.001238919,^GDAXI
Q3 1982,-0.000226917,^GDAXI
Q4 1982,-0.002614525,^GDAXI
Q1 1983,0.000580852,^GDAXI
Q2 1983,0.006968694,^GDAXI
Q3 1983,0.001610949,^GDAXI
Q4 1983,-0.009322496,^GDAXI
Q1 1984,-0.009347346,^GDAXI
Q2 1984,-0.005072572,^GDAXI
Q3 1984,-0.005906069,^GDAXI
Q4 1984,-0.00328567,^GDAXI
Q1 1985,-0.002182644,^GDAXI
Q2 1985,-0.003267577,^GDAXI
Q3 1985,0.002127263,^GDAXI
Q4 1985,-6.07E-05,^GDAXI
Q1 1986,0.001033659,^GDAXI
Q2 1986,0.005406905,^GDAXI
Q3 1986,-0.002375026,^GDAXI
Q4 1986,-0.006018616,^GDAXI
Q1 1987,-0.00488211,^GDAXI
Q2 1987,-0.000457951,^GDAXI
Q3 1987,-0.000482891,^GDAXI
Q4 1987,0.003139658,^GDAXI
Q1 1988,0.003119446,^GDAXI
Q2 1988,0.009676058,^GDAXI
Q3 1988,0.007059647,^GDAXI
Q4 1988,0.003410897,^GDAXI
Q1 1989,0.006608346,^GDAXI
Q2 1989,0.00869322,^GDAXI
Q3 1989,0.014248488,^GDAXI
Q4 1989,0.015788657,^GDAXI
Q1 1990,0.026705677,^GDAXI
Q2 1990,0.026946369,^GDAXI
Q3 1990,0.013484779,^GDAXI
Q4 1990,0.0041019,^GDAXI
Q1 1991,0.009834854,^GDAXI
Q2 1991,0.019221881,^GDAXI
Q3 1991,0.008872478,^GDAXI
Q4 1991,0.009179703,^GDAXI
Q1 1992,0.015470555,^GDAXI
Q2 1992,0.016115227,^GDAXI
Q3 1992,0.011588253,^GDAXI
Q4 1992,0.004575796,^GDAXI
Q1 1993,0.013244229,^GDAXI
Q2 1993,0.012201261,^GDAXI
Q3 1993,0.008961671,^GDAXI
Q4 1993,0.007676528,^GDAXI
Q1 1994,0.010877713,^GDAXI
Q2 1994,0.014026228,^GDAXI
Q3 1994,0.005959706,^GDAXI
Q4 1994,-0.000631273,^GDAXI
Q1 1995,0.002634836,^GDAXI
Q2 1995,0.004256396,^GDAXI
Q3 1995,-0.002655745,^GDAXI
Q4 1995,-0.003134575,^GDAXI
Q1 1996,-0.004747719,^GDAXI
Q2 1996,-0.003938483,^GDAXI
Q3 1996,-0.00324329,^GDAXI
Q4 1996,-0.005823635,^GDAXI
Q1 1997,-0.004171176,^GDAXI
Q2 1997,-0.004998817,^GDAXI
Q3 1997,-0.002818902,^GDAXI
Q4 1997,-0.004731807,^GDAXI
Q1 1998,-0.003891324,^GDAXI
Q2 1998,0.001154472,^GDAXI
Q3 1998,-0.001444899,^GDAXI
Q4 1998,0.000279261,^GDAXI
Q1 1999,-0.000574263,^GDAXI
Q2 1999,0.001104451,^GDAXI
Q3 1999,0.001226365,^GDAXI
Q4 1999,0.001350821,^GDAXI
Q1 2000,0.002179989,^GDAXI
Q2 2000,0.002168329,^GDAXI
Q3 2000,0.000579863,^GDAXI
Q4 2000,-0.000202046,^GDAXI
Q1 2001,-0.000200115,^GDAXI
Q2 2001,-0.000198183,^GDAXI
Q3 2001,-0.000921094,^GDAXI
Q4 2001,-0.003364993,^GDAXI
Q1 2002,-0.00084087,^GDAXI
Q2 2002,-0.000832656,^GDAXI
Q3 2002,-0.002610171,^GDAXI
Q4 2002,-0.004448207,^GDAXI
Q1 2003,-0.0027366,^GDAXI
Q2 2003,-0.003573654,^GDAXI
Q3 2003,-0.004588913,^GDAXI
Q4 2003,-0.005661576,^GDAXI
Q1 2004,-0.0048019,^GDAXI
Q2 2004,0.002123153,^GDAXI
Q3 2004,-0.00330225,^GDAXI
Q4 2004,-0.00352678,^GDAXI
Q1 2005,-0.000885072,^GDAXI
Q2 2005,-0.005209408,^GDAXI
Q3 2005,-0.001558108,^GDAXI
Q4 2005,0.000528103,^GDAXI
Q1 2006,-0.01045836,^GDAXI
Q2 2006,0.01565762,^GDAXI
Q3 2006,0.008221994,^GDAXI
Q4 2006,-0.01019368,^GDAXI
Q1 2007,-0.005149331,^GDAXI
Q2 2007,-0.001035197,^GDAXI
Q3 2007,0.006217617,^GDAXI
Q4 2007,0.002059732,^GDAXI
Q1 2008,0.021582734,^GDAXI
Q2 2008,0.009054326,^GDAXI
Q3 2008,-0.003988036,^GDAXI
Q4 2008,0.007007007,^GDAXI
Q1 2009,-0.002982107,^GDAXI
Q2 2009,-0.012961117,^GDAXI
Q3 2009,0,^GDAXI
Q4 2009,0.004040404,^GDAXI
Q1 2010,-0.00804829,^GDAXI
Q2 2010,0.012170385,^GDAXI
Q3 2010,0.008016032,^GDAXI
Q4 2010,0.003976143,^GDAXI
Q1 2011,0.004950495,^GDAXI
Q2 2011,0.003940887,^GDAXI
Q3 2011,0.011776251,^GDAXI
Q4 2011,0.000969932,^GDAXI
Q1 2012,0.00872093,^GDAXI
Q2 2012,0.012487992,^GDAXI
Q3 2012,0.003795066,^GDAXI
Q4 2012,0.007561437,^GDAXI
