Quarter,Percentage Change,index
Q2 1968,0,^FTLC
Q3 1968,0.027770115,^FTLC
Q4 1968,0,^FTLC
Q1 1969,0,^FTLC
Q2 1969,0.027019773,^FTLC
Q3 1969,0,^FTLC
Q4 1969,0.026308912,^FTLC
Q1 1970,0,^FTLC
Q2 1970,0,^FTLC
Q3 1970,0.051268992,^FTLC
Q4 1970,0,^FTLC
Q1 1971,0.024424707,^FTLC
Q2 1971,0.023802956,^FTLC
Q3 1971,0.069748643,^FTLC
Q4 1971,0.043503292,^FTLC
Q1 1972,0.062482759,^FTLC
Q2 1972,0.098046216,^FTLC
Q3 1972,0.142848698,^FTLC
Q4 1972,0.078130657,^FTLC
Q1 1973,0.115935424,^FTLC
Q2 1973,0.051956148,^FTLC
Q3 1973,0.061732431,^FTLC
Q4 1973,0.011624774,^FTLC
Q1 1974,0.011491191,^FTLC
Q2 1974,0,^FTLC
Q3 1974,0.011360644,^FTLC
Q4 1974,0.01123303,^FTLC
Q1 1975,0.01110825,^FTLC
Q2 1975,0.021990614,^FTLC
Q3 1975,0.032249453,^FTLC
Q4 1975,0.010413973,^FTLC
Q1 1976,0.020630343,^FTLC
Q2 1976,0.030294924,^FTLC
Q3 1976,0.019602752,^FTLC
Q4 1976,0.019241788,^FTLC
Q1 1977,0,^FTLC
Q2 1977,0.018862916,^FTLC
Q3 1977,0.027785866,^FTLC
Q4 1977,0.036026364,^FTLC
Q1 1978,0.017386799,^FTLC
Q2 1978,0.05128314,^FTLC
Q3 1978,0.065050935,^FTLC
Q4 1978,0.076328258,^FTLC
Q1 1979,0.049644308,^FTLC
Q2 1979,0.081082592,^FTLC
Q3 1979,0.075001293,^FTLC
Q4 1979,0.063956118,^FTLC
Q1 1980,0.043713425,^FTLC
Q2 1980,0.036648353,^FTLC
Q3 1980,0.040401929,^FTLC
Q4 1980,0.004861156,^FTLC
Q1 1981,0,^FTLC
Q2 1981,0.028985855,^FTLC
Q3 1981,0.014080786,^FTLC
Q4 1981,-0.018521357,^FTLC
Q1 1982,-0.023578829,^FTLC
Q2 1982,0.043474784,^FTLC
Q3 1982,0.02314978,^FTLC
Q4 1982,0.013571102,^FTLC
Q1 1983,0.031249307,^FTLC
Q2 1983,0.034637432,^FTLC
Q3 1983,0.041836918,^FTLC
Q4 1983,0.008036694,^FTLC
Q1 1984,0.007966026,^FTLC
Q2 1984,0.031618821,^FTLC
Q3 1984,0.038316898,^FTLC
Q4 1984,0.014756271,^FTLC
Q1 1985,0,^FTLC
Q2 1985,0.036366263,^FTLC
Q3 1985,0.021052937,^FTLC
Q4 1985,0.034360958,^FTLC
Q1 1986,0.019933902,^FTLC
Q2 1986,0.045606979,^FTLC
Q3 1986,0.043612551,^FTLC
Q4 1986,0.02984787,^FTLC
Q1 1987,0.028987593,^FTLC
Q2 1987,0.045072642,^FTLC
Q3 1987,0.048513672,^FTLC
Q4 1987,0.061697664,^FTLC
Q1 1988,0.041163528,^FTLC
Q2 1988,0.060464687,^FTLC
Q3 1988,0.131577228,^FTLC
Q4 1988,0.062015429,^FTLC
Q1 1989,0.021898163,^FTLC
Q2 1989,0.035713863,^FTLC
Q3 1989,0.034485219,^FTLC
Q4 1989,-0.020000276,^FTLC
Q1 1990,-0.020408451,^FTLC
Q2 1990,-0.008681159,^FTLC
Q3 1990,0.017514363,^FTLC
Q4 1990,-0.015492171,^FTLC
