Quarter,Percentage Change,index
Q1 1960,,^FCHI
Q2 1960,,^FCHI
Q3 1960,,^FCHI
Q4 1960,,^FCHI
Q1 1961,0.1850955918498418,^FCHI
Q2 1961,0.1850955918498418,^FCHI
Q3 1961,0.1850955918498418,^FCHI
Q4 1961,0.1850955918498418,^FCHI
Q1 1962,0.04101608745668783,^FCHI
Q2 1962,0.04101608745668783,^FCHI
Q3 1962,0.04101608745668783,^FCHI
Q4 1962,0.04101608745668783,^FCHI
Q1 1963,0.04344158529516018,^FCHI
Q2 1963,0.04344158529516018,^FCHI
Q3 1963,0.04344158529516018,^FCHI
Q4 1963,0.04344158529516018,^FCHI
Q1 1964,0.03591508891995798,^FCHI
Q2 1964,0.03591508891995798,^FCHI
Q3 1964,0.03591508891995798,^FCHI
Q4 1964,0.03591508891995798,^FCHI
Q1 1965,-0.048207246778743995,^FCHI
Q2 1965,-0.048207246778743995,^FCHI
Q3 1965,-0.048207246778743995,^FCHI
Q4 1965,-0.048207246778743995,^FCHI
Q1 1966,-0.022523730004270104,^FCHI
Q2 1966,-0.022523730004270104,^FCHI
Q3 1966,-0.022523730004270104,^FCHI
Q4 1966,-0.022523730004270104,^FCHI
Q1 1967,0.041664317753315805,^FCHI
Q2 1967,0.041664317753315805,^FCHI
Q3 1967,0.041664317753315805,^FCHI
Q4 1967,0.041664317753315805,^FCHI
Q1 1968,-0.34503016401766373,^FCHI
Q2 1968,-0.34503016401766373,^FCHI
Q3 1968,-0.34503016401766373,^FCHI
Q4 1968,-0.34503016401766373,^FCHI
Q1 1969,-0.03060934681401173,^FCHI
Q2 1969,-0.03060934681401173,^FCHI
Q3 1969,-0.03060934681401173,^FCHI
Q4 1969,-0.03060934681401173,^FCHI
Q1 1970,0.49494079188365947,^FCHI
Q2 1970,0.49494079188365947,^FCHI
Q3 1970,0.49494079188365947,^FCHI
Q4 1970,0.49494079188365947,^FCHI
Q1 1971,0.32689749029555215,^FCHI
Q2 1971,0.32689749029555215,^FCHI
Q3 1971,0.32689749029555215,^FCHI
Q4 1971,0.32689749029555215,^FCHI
Q1 1972,0.08729158868163767,^FCHI
Q2 1972,0.08729158868163767,^FCHI
Q3 1972,0.08729158868163767,^FCHI
Q4 1972,0.08729158868163767,^FCHI
Q1 1973,-0.0887261258240507,^FCHI
Q2 1973,-0.0887261258240507,^FCHI
Q3 1973,-0.0887261258240507,^FCHI
Q4 1973,-0.0887261258240507,^FCHI
Q1 1974,0.014793596697272982,^FCHI
Q2 1974,0.014793596697272982,^FCHI
Q3 1974,0.014793596697272982,^FCHI
Q4 1974,0.014793596697272982,^FCHI
Q1 1975,0.16917344973998616,^FCHI
Q2 1975,0.16917344973998616,^FCHI
Q3 1975,0.16917344973998616,^FCHI
Q4 1975,0.16917344973998616,^FCHI
Q1 1976,-0.09712616155810849,^FCHI
Q2 1976,-0.09712616155810849,^FCHI
Q3 1976,-0.09712616155810849,^FCHI
Q4 1976,-0.09712616155810849,^FCHI
Q1 1977,0.011035964433307566,^FCHI
Q2 1977,0.011035964433307566,^FCHI
Q3 1977,0.011035964433307566,^FCHI
Q4 1977,0.011035964433307566,^FCHI
Q1 1978,0.12115696750973526,^FCHI
Q2 1978,0.12115696750973526,^FCHI
Q3 1978,0.12115696750973526,^FCHI
Q4 1978,0.12115696750973526,^FCHI
Q1 1979,0.17323648724732976,^FCHI
Q2 1979,0.17323648724732976,^FCHI
Q3 1979,0.17323648724732976,^FCHI
Q4 1979,0.17323648724732976,^FCHI
Q1 1980,0.11673663751580765,^FCHI
Q2 1980,0.11673663751580765,^FCHI
Q3 1980,0.11673663751580765,^FCHI
Q4 1980,0.11673663751580765,^FCHI
Q1 1981,-0.050075855850138073,^FCHI
Q2 1981,-0.050075855850138073,^FCHI
Q3 1981,-0.050075855850138073,^FCHI
Q4 1981,-0.050075855850138073,^FCHI
Q1 1982,-0.07171219839185272,^FCHI
Q2 1982,-0.07171219839185272,^FCHI
Q3 1982,-0.07171219839185272,^FCHI
Q4 1982,-0.07171219839185272,^FCHI
Q1 1983,0.046822832716431506,^FCHI
Q2 1983,0.046822832716431506,^FCHI
Q3 1983,0.046822832716431506,^FCHI
Q4 1983,0.046822832716431506,^FCHI
Q1 1984,0.013435171079749786,^FCHI
Q2 1984,0.013435171079749786,^FCHI
